meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1254,9693,4,,1,0.0,25.0
1254,9693,1,,2,0.0,18.0
1254,9693,63,,3,0.0,15.0
1254,9693,23,,4,0.0,12.0
1254,9693,12,,5,0.0,10.0
1254,9693,18,,6,0.0,8.0
1254,9693,27,,7,0.0,6.0
1254,9693,16,,8,0.0,4.0
1254,9693,81,,9,0.0,2.0
1254,9693,44,,10,0.0,1.0
1254,9693,10,,11,0.0,0.0
1254,9693,22,,12,0.0,0.0
1254,9693,31,,13,0.0,0.0
1254,9693,87,,14,0.0,0.0
1254,9693,30,,15,0.0,0.0
1254,9693,5,,16,0.0,0.0
1254,9693,14,,17,0.0,0.0
1254,9693,55,,18,0.0,0.0
1254,9693,6,,19,0.0,0.0
1254,9693,7,,19,0.0,0.0
