meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1254,9693,81,1,2025-03-16T04:18:22.973000+00:00,44.302,20.844,56.056,244.0,298.0,False,121.202,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]",226.0
1254,9693,1,1,2025-03-16T04:18:22.973000+00:00,43.749,20.705,55.25,249.0,292.0,False,119.704,"[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2051]","[2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049]",215.0
1254,9693,63,1,2025-03-16T04:18:22.973000+00:00,45.13,21.03,58.93,241.0,297.0,False,125.09,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",207.0
1254,9693,22,1,2025-03-16T04:18:22.973000+00:00,45.686,21.598,63.68,211.0,291.0,False,130.964,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",193.0
1254,9693,23,1,2025-03-16T04:18:22.973000+00:00,46.22,21.334,65.027,205.0,282.0,False,132.581,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",192.0
1254,9693,4,1,2025-03-16T04:18:22.973000+00:00,42.51,20.913,54.007,242.0,284.0,False,117.43,"[2049, 2051, 2051, 2049, 2051, 2049, 2051, 2049, 2049]","[2051, 2049, 2049, 2049, 2049]","[2051, 2051, 2049, 2049, 2051, 2049, 2049, 2051]",227.0
1254,9693,16,1,2025-03-16T04:18:22.973000+00:00,45.608,20.69,62.574,233.0,297.0,False,128.872,"[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",191.0
1254,9693,44,1,2025-03-16T04:18:22.973000+00:00,47.042,21.082,65.193,223.0,291.0,False,133.317,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",190.0
1254,9693,55,1,2025-03-16T04:18:22.973000+00:00,,21.762,,217.0,283.0,False,,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 0]",194.0
1254,9693,10,1,2025-03-16T04:18:22.973000+00:00,47.124,21.554,65.755,225.0,284.0,False,134.433,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",186.0
