meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1254,9693,16,23,2025-03-16T04:18:34.631000+00:00,6
1254,9693,44,23,2025-03-16T04:18:34.909000+00:00,7
1254,9693,23,44,2025-03-16T04:18:34.935000+00:00,7
1254,9693,14,6,2025-03-16T04:18:35.319000+00:00,11
1254,9693,7,18,2025-03-16T04:18:35.720000+00:00,13
1254,9693,7,6,2025-03-16T04:18:35.720000+00:00,12
1254,9693,12,5,2025-03-16T04:18:35.924000+00:00,15
1254,9693,12,18,2025-03-16T04:18:35.924000+00:00,14
1254,9693,12,6,2025-03-16T04:18:35.924000+00:00,13
1254,9693,18,6,2025-03-16T04:18:36.004000+00:00,14
1254,9693,18,12,2025-03-16T04:18:36.004000+00:00,13
1254,9693,18,7,2025-03-16T04:18:36.004000+00:00,12
1254,9693,5,6,2025-03-16T04:18:36.152000+00:00,15
1254,9693,27,6,2025-03-16T04:18:36.267000+00:00,16
1254,9693,31,30,2025-03-16T04:18:37.143000+00:00,18
1254,9693,31,6,2025-03-16T04:18:37.143000+00:00,17
1254,9693,1,81,2025-03-16T04:18:40.490000+00:00,2
1254,9693,30,6,2025-03-16T04:18:41.936000+00:00,18
1254,9693,87,6,2025-03-16T04:18:42.562000+00:00,19
1254,9693,16,22,2025-03-16T04:18:49.863000+00:00,5
1254,9693,27,5,2025-03-16T04:18:52.880000+00:00,15
1254,9693,5,27,2025-03-16T04:18:58.644000+00:00,15
1254,9693,27,5,2025-03-16T04:19:05.581000+00:00,15
1254,9693,27,12,2025-03-16T04:19:12.731000+00:00,14
1254,9693,27,7,2025-03-16T04:19:12.731000+00:00,13
1254,9693,12,7,2025-03-16T04:19:12.835000+00:00,14
1254,9693,5,7,2025-03-16T04:19:13.190000+00:00,15
1254,9693,31,7,2025-03-16T04:19:13.887000+00:00,16
1254,9693,7,31,2025-03-16T04:19:14.028000+00:00,16
1254,9693,31,7,2025-03-16T04:19:20.075000+00:00,16
1254,9693,30,7,2025-03-16T04:19:22.305000+00:00,17
1254,9693,87,7,2025-03-16T04:19:24.366000+00:00,18
1254,9693,14,55,2025-03-16T04:20:32.838000+00:00,10
1254,9693,18,55,2025-03-16T04:20:35.102000+00:00,11
1254,9693,27,55,2025-03-16T04:20:36.247000+00:00,12
1254,9693,12,55,2025-03-16T04:20:37.167000+00:00,13
1254,9693,5,55,2025-03-16T04:20:38.201000+00:00,14
1254,9693,31,55,2025-03-16T04:20:39.392000+00:00,15
1254,9693,30,55,2025-03-16T04:20:42.062000+00:00,16
1254,9693,87,55,2025-03-16T04:20:43.306000+00:00,17
1254,9693,12,27,2025-03-16T04:46:20.460000+00:00,12
1254,9693,27,12,2025-03-16T04:48:48.444000+00:00,12
1254,9693,81,1,2025-03-16T04:50:32.866000+00:00,2
1254,9693,12,27,2025-03-16T04:51:09.202000+00:00,12
1254,9693,30,31,2025-03-16T04:54:08.500000+00:00,15
1254,9693,12,18,2025-03-16T04:58:47.328000+00:00,11
1254,9693,12,14,2025-03-16T05:14:48.334000+00:00,10
1254,9693,18,14,2025-03-16T05:15:02.689000+00:00,11
1254,9693,27,14,2025-03-16T05:15:09.411000+00:00,12
1254,9693,5,14,2025-03-16T05:15:13.174000+00:00,13
1254,9693,30,14,2025-03-16T05:15:29.556000+00:00,14
1254,9693,31,14,2025-03-16T05:15:45.139000+00:00,15
1254,9693,87,14,2025-03-16T05:15:47.565000+00:00,16
1254,9693,31,30,2025-03-16T05:16:48.689000+00:00,14
1254,9693,87,30,2025-03-16T05:16:56.286000+00:00,15
1254,9693,30,87,2025-03-16T05:30:05.438000+00:00,15
1254,9693,30,31,2025-03-16T05:30:05.438000+00:00,14
1254,9693,22,16,2025-03-16T05:35:11.999000+00:00,5
1254,9693,30,5,2025-03-16T05:35:52.559000+00:00,13
1254,9693,1,81,2025-03-16T05:36:40.897000+00:00,2
1254,9693,1,4,2025-03-16T05:36:40.897000+00:00,1
1254,9693,23,16,2025-03-16T05:36:44.445000+00:00,6
1254,9693,44,16,2025-03-16T05:36:44.981000+00:00,7
1254,9693,10,16,2025-03-16T05:36:46.284000+00:00,8
1254,9693,63,81,2025-03-16T05:36:46.662000+00:00,3
1254,9693,63,4,2025-03-16T05:36:46.662000+00:00,2
1254,9693,12,16,2025-03-16T05:36:46.859000+00:00,9
1254,9693,22,81,2025-03-16T05:36:47.379000+00:00,4
1254,9693,22,4,2025-03-16T05:36:47.379000+00:00,3
1254,9693,4,22,2025-03-16T05:36:47.630000+00:00,3
1254,9693,4,63,2025-03-16T05:36:47.630000+00:00,2
1254,9693,4,1,2025-03-16T05:36:47.630000+00:00,1
1254,9693,18,16,2025-03-16T05:36:47.726000+00:00,10
1254,9693,27,16,2025-03-16T05:36:49.901000+00:00,11
1254,9693,16,81,2025-03-16T05:36:56.642000+00:00,11
1254,9693,1,4,2025-03-16T05:36:56.762000+00:00,1
1254,9693,30,81,2025-03-16T05:37:01.319000+00:00,12
1254,9693,5,81,2025-03-16T05:37:02.762000+00:00,13
1254,9693,22,63,2025-03-16T05:37:03.186000+00:00,3
1254,9693,22,4,2025-03-16T05:37:03.186000+00:00,2
1254,9693,44,23,2025-03-16T05:37:05.579000+00:00,5
1254,9693,44,63,2025-03-16T05:37:05.579000+00:00,4
1254,9693,44,4,2025-03-16T05:37:05.579000+00:00,3
1254,9693,10,23,2025-03-16T05:37:06.286000+00:00,6
1254,9693,10,63,2025-03-16T05:37:06.286000+00:00,5
1254,9693,10,4,2025-03-16T05:37:06.286000+00:00,4
1254,9693,16,27,2025-03-16T05:37:11.677000+00:00,10
1254,9693,16,18,2025-03-16T05:37:11.677000+00:00,9
1254,9693,16,12,2025-03-16T05:37:11.677000+00:00,8
1254,9693,16,23,2025-03-16T05:37:11.677000+00:00,7
1254,9693,16,63,2025-03-16T05:37:11.677000+00:00,6
1254,9693,16,4,2025-03-16T05:37:11.677000+00:00,5
1254,9693,30,27,2025-03-16T05:37:16.349000+00:00,11
1254,9693,30,18,2025-03-16T05:37:16.349000+00:00,10
1254,9693,30,12,2025-03-16T05:37:16.349000+00:00,9
1254,9693,30,23,2025-03-16T05:37:16.349000+00:00,8
1254,9693,30,63,2025-03-16T05:37:16.349000+00:00,7
1254,9693,18,12,2025-03-16T05:37:24.344000+00:00,10
1254,9693,30,4,2025-03-16T05:37:27.142000+00:00,6
1254,9693,31,81,2025-03-16T05:37:40.183000+00:00,14
1254,9693,44,22,2025-03-16T05:38:20.461000+00:00,2
1254,9693,10,22,2025-03-16T05:38:21.953000+00:00,3
1254,9693,16,22,2025-03-16T05:38:25.839000+00:00,4
1254,9693,22,16,2025-03-16T05:38:28.980000+00:00,4
1254,9693,22,10,2025-03-16T05:38:28.980000+00:00,3
1254,9693,4,30,2025-03-16T05:38:39.620000+00:00,6
1254,9693,10,22,2025-03-16T05:38:41.870000+00:00,3
1254,9693,22,10,2025-03-16T05:38:41.899000+00:00,3
1254,9693,10,22,2025-03-16T05:38:43.609000+00:00,3
1254,9693,16,22,2025-03-16T05:39:47.762000+00:00,4
1254,9693,12,18,2025-03-16T05:39:56.261000+00:00,10
