meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1254,9693,2025-03-16T03:15:05+00:00,,1,Other,,,,LOW GRIP CONDITIONS
1254,9693,2025-03-16T03:15:08+00:00,,1,Drs,,,,DRS DISABLED
1254,9693,2025-03-16T03:20:01+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1254,9693,2025-03-16T03:25:03+00:00,,1,Flag,YELLOW,Sector,17.0,YELLOW IN TRACK SECTOR 17
1254,9693,2025-03-16T03:25:08+00:00,,1,Flag,CLEAR,Sector,17.0,CLEAR IN TRACK SECTOR 17
1254,9693,2025-03-16T03:30:01+00:00,,1,Other,,,,PIT EXIT CLOSED
1254,9693,2025-03-16T03:41:43+00:00,,1,Flag,DOUBLE YELLOW,Sector,10.0,DOUBLE YELLOW IN TRACK SECTOR 10
1254,9693,2025-03-16T03:42:22+00:00,,1,Flag,YELLOW,Sector,9.0,YELLOW IN TRACK SECTOR 9
1254,9693,2025-03-16T03:43:16+00:00,,1,Flag,CLEAR,Sector,10.0,CLEAR IN TRACK SECTOR 10
1254,9693,2025-03-16T03:43:17+00:00,,1,Flag,CLEAR,Sector,9.0,CLEAR IN TRACK SECTOR 9
1254,9693,2025-03-16T03:45:05+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 40%
1254,9693,2025-03-16T03:49:00+00:00,,1,Flag,DOUBLE YELLOW,Sector,3.0,DOUBLE YELLOW IN TRACK SECTOR 3
1254,9693,2025-03-16T03:49:47+00:00,,1,Flag,CLEAR,Sector,3.0,CLEAR IN TRACK SECTOR 3
1254,9693,2025-03-16T04:00:59+00:00,,1,Flag,DOUBLE YELLOW,Sector,2.0,DOUBLE YELLOW IN TRACK SECTOR 2
1254,9693,2025-03-16T04:02:17+00:00,,1,Other,,,,ABORTED START
1254,9693,2025-03-16T04:04:15+00:00,,1,Other,,,,FORMATION LAP WILL START AT 15:15
1254,9693,2025-03-16T04:05:17+00:00,,1,Flag,CLEAR,Sector,2.0,CLEAR IN TRACK SECTOR 2
1254,9693,2025-03-16T04:18:23+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1254,9693,2025-03-16T04:19:27+00:00,,1,Flag,DOUBLE YELLOW,Sector,8.0,DOUBLE YELLOW IN TRACK SECTOR 8
1254,9693,2025-03-16T04:19:31+00:00,,1,SafetyCar,,,,SAFETY CAR DEPLOYED
1254,9693,2025-03-16T04:20:18+00:00,,1,Flag,DOUBLE YELLOW,Sector,8.0,DOUBLE YELLOW IN TRACK SECTOR 8
1254,9693,2025-03-16T04:20:58+00:00,,2,Flag,DOUBLE YELLOW,Sector,20.0,DOUBLE YELLOW IN TRACK SECTOR 20
1254,9693,2025-03-16T04:21:22+00:00,,2,SafetyCar,,,,SAFETY CAR THROUGH THE PIT LANE
1254,9693,2025-03-16T04:24:24+00:00,,3,Other,,,,RECOVERY VEHICLE ON TRACK AT TURN 14
1254,9693,2025-03-16T04:26:13+00:00,,4,Other,,,,RECOVERY VEHICLE ON TRACK BEFORE TURN 6
