position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,4,57,25.0,False,False,False,6126.304,0.0,1254,9693
2.0,1,57,18.0,False,False,False,6127.199,0.895,1254,9693
3.0,63,57,15.0,False,False,False,6134.785,8.481,1254,9693
4.0,12,57,12.0,False,False,False,6136.439,10.135,1254,9693
5.0,23,57,10.0,False,False,False,6139.077,12.773,1254,9693
6.0,18,57,8.0,False,False,False,6143.717,17.413,1254,9693
7.0,27,57,6.0,False,False,False,6144.727,18.423,1254,9693
8.0,16,57,4.0,False,False,False,6146.13,19.826,1254,9693
9.0,81,57,2.0,False,False,False,6146.752,20.448,1254,9693
10.0,44,57,1.0,False,False,False,6148.777,22.473,1254,9693
11.0,10,57,0.0,False,False,False,6152.806,26.502,1254,9693
12.0,22,57,0.0,False,False,False,6156.188,29.884,1254,9693
13.0,31,57,0.0,False,False,False,6159.465,33.161,1254,9693
14.0,87,57,0.0,False,False,False,6166.655,40.351,1254,9693
,30,46,0.0,True,False,False,,,1254,9693
,5,45,0.0,True,False,False,,,1254,9693
,14,32,0.0,True,False,False,,,1254,9693
,55,0,0.0,True,False,False,,,1254,9693
,7,0,0.0,True,False,False,,,1254,9693
,6,0,0.0,False,True,False,,,1254,9693
