meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1264,9955,81,1,1,198.0,216.0
1264,9955,4,2,2,176.0,201.0
1264,9955,1,3,3,155.0,155.0
1264,9955,63,4,4,136.0,146.0
1264,9955,16,5,5,104.0,119.0
1264,9955,44,6,6,79.0,91.0
1264,9955,12,7,7,63.0,63.0
1264,9955,23,8,8,42.0,42.0
1264,9955,31,9,9,22.0,23.0
1264,9955,27,11,10,20.0,22.0
1264,9955,6,10,11,21.0,21.0
1264,9955,18,12,12,14.0,14.0
1264,9955,14,16,13,8.0,14.0
1264,9955,55,13,14,13.0,13.0
1264,9955,30,18,15,4.0,12.0
1264,9955,10,14,16,11.0,11.0
1264,9955,22,15,17,10.0,10.0
1264,9955,87,17,18,6.0,6.0
1264,9955,5,19,19,0.0,4.0
1264,9955,43,20,20,0.0,0.0
1264,9955,7,21,21,0.0,0.0
