meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1264,9955,16,1,2025-06-29T13:18:01.079000+00:00,21.506,32.122,40.939,305.0,221.0,False,94.567,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",298.0
1264,9955,4,1,2025-06-29T13:18:01.079000+00:00,21.006,31.326,36.909,297.0,233.0,False,89.241,"[2048, 2049, 2051, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2051, 2049, 2051]","[2051, 2051, 2049, 2051, 2049, 2051, 2051, 2051]",293.0
1264,9955,81,1,2025-06-29T13:18:01.079000+00:00,21.121,31.807,38.205,305.0,231.0,False,91.133,"[2048, 2051, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",292.0
1264,9955,44,1,2025-06-29T13:18:01.079000+00:00,21.74,32.125,43.25,310.0,223.0,False,97.115,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]",296.0
1264,9955,63,1,2025-06-29T13:18:01.079000+00:00,21.68,32.252,44.094,302.0,225.0,False,98.026,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",293.0
1264,9955,30,1,2025-06-29T13:18:01.079000+00:00,22.175,34.157,48.821,309.0,213.0,False,105.153,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",302.0
1264,9955,1,1,2025-06-29T13:18:01.079000+00:00,,,,316.0,,False,,"[2048, 2049, 2049, 2049, 2049, 2051]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",
1264,9955,5,1,2025-06-29T13:18:01.079000+00:00,22.257,33.604,47.118,306.0,222.0,False,102.979,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",290.0
1264,9955,31,1,2025-06-29T13:18:01.079000+00:00,24.444,33.57,54.166,311.0,148.0,False,112.18,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",308.0
1264,9955,12,1,2025-06-29T13:18:01.079000+00:00,,,,311.0,,False,,"[2048, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",
1264,9955,22,1,2025-06-29T13:18:01.079000+00:00,23.644,35.103,55.96,280.0,124.0,False,114.707,"[2049, 2049, 2049, 2051, 2051, 2049]","[2049, 2049, 2051, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",304.0
1264,9955,10,1,2025-06-29T13:18:01.079000+00:00,22.627,32.568,45.458,316.0,224.0,False,100.653,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",300.0
1264,9955,14,1,2025-06-29T13:18:01.079000+00:00,23.055,33.672,49.509,309.0,201.0,False,106.236,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",295.0
1264,9955,23,1,2025-06-29T13:18:01.079000+00:00,23.101,32.657,46.687,311.0,222.0,False,102.445,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",300.0
1264,9955,6,1,2025-06-29T13:18:01.079000+00:00,23.41,35.265,58.741,300.0,134.0,False,117.416,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]",306.0
1264,9955,27,1,2025-06-29T13:18:01.079000+00:00,23.96,34.93,60.162,295.0,126.0,False,119.052,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",293.0
1264,9955,43,1,2025-06-29T13:18:01.079000+00:00,23.552,33.757,50.852,289.0,160.0,False,108.161,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",305.0
1264,9955,87,1,2025-06-29T13:18:01.079000+00:00,23.32,34.136,52.276,311.0,157.0,False,109.732,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 0]",294.0
1264,9955,18,1,2025-06-29T13:18:01.079000+00:00,23.722,33.827,53.57,293.0,163.0,False,111.119,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]",297.0
1264,9955,55,1,2025-06-29T13:18:01.079000+00:00,,,,,,False,,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064, 2064]",
1264,9955,4,2,2025-06-29T13:19:30.319000+00:00,26.438,53.661,34.327,131.0,186.0,False,114.426,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2049, 2048, 2048, 2048]",165.0
1264,9955,81,2,2025-06-29T13:19:32.211000+00:00,26.102,53.522,33.884,146.0,157.0,False,113.508,"[2051, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2051, 2049, 2048]",125.0
1264,9955,16,2,2025-06-29T13:19:35.645000+00:00,24.098,53.387,34.047,121.0,162.0,False,111.532,"[2049, 2051, 2051, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2051, 2049, 2048, 2048, 2049, 2048]",170.0
