date,session_key,meeting_key,driver_number,stop_duration,pit_duration,lap_number,lane_duration
2025-06-29T13:21:58.785000+00:00,9955,1264,6,2.2,21.297,2,21.297
2025-06-29T13:33:15.023000+00:00,9955,1264,87,3.1,21.91,11,21.91
2025-06-29T13:34:25.507000+00:00,9955,1264,10,3.0,21.959,12,21.959
2025-06-29T13:34:29.788000+00:00,9955,1264,27,2.3,21.236,12,21.236
2025-06-29T13:35:33.152000+00:00,9955,1264,23,2.5,21.21,13,21.21
2025-06-29T13:35:43.334000+00:00,9955,1264,43,3.9,23.038,13,23.038
2025-06-29T13:41:30.636000+00:00,9955,1264,63,2.4,21.344,18,21.344
2025-06-29T13:41:42.896000+00:00,9955,1264,22,2.4,21.492,18,21.492
2025-06-29T13:42:53.542000+00:00,9955,1264,31,3.9,23.188,19,23.188
2025-06-29T13:43:35.564000+00:00,9955,1264,4,3.1,22.131,20,22.131
2025-06-29T13:45:08.630000+00:00,9955,1264,5,2.4,21.676,21,21.676
2025-06-29T13:48:21.332000+00:00,9955,1264,81,3.4,22.599,24,22.599
2025-06-29T13:49:38.562000+00:00,9955,1264,16,2.3,21.308,25,21.308
2025-06-29T13:50:52.763000+00:00,9955,1264,44,2.2,21.287,26,21.287
2025-06-29T13:51:27.716000+00:00,9955,1264,18,3.6,22.907,26,22.907
2025-06-29T13:53:45.441000+00:00,9955,1264,6,2.7,21.68,28,21.68
2025-06-29T13:56:28.687000+00:00,9955,1264,22,10.6,30.0,30,30.0
2025-06-29T13:58:21.124000+00:00,9955,1264,30,2.2,21.434,32,21.434
2025-06-29T13:59:35.606000+00:00,9955,1264,14,2.8,21.865,33,21.865
2025-06-29T14:05:48.294000+00:00,9955,1264,10,2.7,22.105,38,22.105
2025-06-29T14:06:55.950000+00:00,9955,1264,87,3.0,21.771,39,21.771
2025-06-29T14:07:09.171000+00:00,9955,1264,43,2.2,21.087,39,21.087
2025-06-29T14:10:20.552000+00:00,9955,1264,27,2.3,21.045,42,21.045
2025-06-29T14:13:44.466000+00:00,9955,1264,63,2.9,21.854,45,21.854
2025-06-29T14:17:56.986000+00:00,9955,1264,16,2.4,21.536,49,21.536
2025-06-29T14:18:32.536000+00:00,9955,1264,5,2.2,21.286,49,21.286
2025-06-29T14:19:16.051000+00:00,9955,1264,44,2.2,21.158,50,21.158
2025-06-29T14:19:50.397000+00:00,9955,1264,31,3.0,22.284,50,22.284
2025-06-29T14:21:10.318000+00:00,9955,1264,4,2.5,21.427,52,21.427
2025-06-29T14:22:22.916000+00:00,9955,1264,81,2.0,21.033,53,21.033
2025-06-29T14:23:47.998000+00:00,9955,1264,18,2.5,21.763,53,21.763
2025-06-29T14:32:24.688000+00:00,9955,1264,22,13.6,32.643,60,32.643
