date,session_key,driver_number,position,meeting_key
2025-06-29T12:06:55.658000+00:00,9955,4,1,1264
2025-06-29T12:06:55.658000+00:00,9955,16,2,1264
2025-06-29T12:06:55.658000+00:00,9955,81,3,1264
2025-06-29T12:06:55.658000+00:00,9955,44,4,1264
2025-06-29T12:06:55.658000+00:00,9955,63,5,1264
2025-06-29T12:06:55.658000+00:00,9955,30,6,1264
2025-06-29T12:06:55.658000+00:00,9955,1,7,1264
2025-06-29T12:06:55.658000+00:00,9955,5,8,1264
2025-06-29T12:06:55.658000+00:00,9955,12,9,1264
2025-06-29T12:06:55.658000+00:00,9955,10,10,1264
2025-06-29T12:06:55.658000+00:00,9955,14,11,1264
2025-06-29T12:06:55.658000+00:00,9955,23,12,1264
2025-06-29T12:06:55.658000+00:00,9955,6,13,1264
2025-06-29T12:06:55.658000+00:00,9955,43,14,1264
2025-06-29T12:06:55.658000+00:00,9955,87,15,1264
2025-06-29T12:06:55.658000+00:00,9955,18,16,1264
2025-06-29T12:06:55.658000+00:00,9955,31,17,1264
2025-06-29T12:06:55.658000+00:00,9955,22,18,1264
2025-06-29T12:06:55.658000+00:00,9955,55,19,1264
2025-06-29T12:06:55.658000+00:00,9955,27,20,1264
2025-06-29T13:18:09.288000+00:00,9955,16,3,1264
2025-06-29T13:18:09.288000+00:00,9955,81,2,1264
2025-06-29T13:18:09.585000+00:00,9955,44,5,1264
2025-06-29T13:18:09.585000+00:00,9955,63,4,1264
2025-06-29T13:18:09.757000+00:00,9955,30,7,1264
2025-06-29T13:18:09.757000+00:00,9955,1,6,1264
2025-06-29T13:18:11.327000+00:00,9955,18,17,1264
2025-06-29T13:18:11.327000+00:00,9955,31,18,1264
2025-06-29T13:18:11.327000+00:00,9955,22,16,1264
2025-06-29T13:18:11.530000+00:00,9955,55,20,1264
2025-06-29T13:18:11.530000+00:00,9955,27,19,1264
2025-06-29T13:18:15.781000+00:00,9955,43,15,1264
2025-06-29T13:18:15.781000+00:00,9955,87,14,1264
2025-06-29T13:18:16.346000+00:00,9955,31,19,1264
2025-06-29T13:18:16.346000+00:00,9955,27,18,1264
2025-06-29T13:18:23.990000+00:00,9955,6,14,1264
2025-06-29T13:18:23.990000+00:00,9955,87,13,1264
2025-06-29T13:18:25.251000+00:00,9955,30,8,1264
2025-06-29T13:18:25.251000+00:00,9955,5,7,1264
2025-06-29T13:18:31.959000+00:00,9955,30,9,1264
2025-06-29T13:18:31.959000+00:00,9955,1,7,1264
2025-06-29T13:18:31.959000+00:00,9955,5,8,1264
2025-06-29T13:18:31.959000+00:00,9955,12,10,1264
2025-06-29T13:18:31.959000+00:00,9955,10,6,1264
2025-06-29T13:18:31.986000+00:00,9955,1,8,1264
2025-06-29T13:18:31.986000+00:00,9955,5,7,1264
2025-06-29T13:18:32.037000+00:00,9955,30,10,1264
2025-06-29T13:18:32.037000+00:00,9955,1,9,1264
2025-06-29T13:18:32.037000+00:00,9955,5,8,1264
2025-06-29T13:18:32.037000+00:00,9955,12,11,1264
2025-06-29T13:18:32.037000+00:00,9955,14,12,1264
2025-06-29T13:18:32.037000+00:00,9955,23,7,1264
2025-06-29T13:18:32.343000+00:00,9955,30,9,1264
2025-06-29T13:18:32.343000+00:00,9955,1,10,1264
2025-06-29T13:18:32.711000+00:00,9955,1,11,1264
2025-06-29T13:18:32.711000+00:00,9955,12,12,1264
2025-06-29T13:18:32.711000+00:00,9955,14,10,1264
2025-06-29T13:18:32.750000+00:00,9955,1,12,1264
2025-06-29T13:18:32.750000+00:00,9955,12,13,1264
2025-06-29T13:18:32.750000+00:00,9955,6,15,1264
2025-06-29T13:18:32.750000+00:00,9955,43,11,1264
2025-06-29T13:18:32.750000+00:00,9955,87,14,1264
2025-06-29T13:18:32.821000+00:00,9955,1,13,1264
2025-06-29T13:18:32.821000+00:00,9955,12,14,1264
2025-06-29T13:18:32.821000+00:00,9955,87,12,1264
2025-06-29T13:18:32.963000+00:00,9955,1,14,1264
2025-06-29T13:18:32.963000+00:00,9955,12,15,1264
2025-06-29T13:18:32.963000+00:00,9955,6,16,1264
2025-06-29T13:18:32.963000+00:00,9955,18,13,1264
2025-06-29T13:18:32.963000+00:00,9955,22,17,1264
2025-06-29T13:18:33.221000+00:00,9955,1,15,1264
2025-06-29T13:18:33.221000+00:00,9955,12,16,1264
2025-06-29T13:18:33.221000+00:00,9955,6,17,1264
2025-06-29T13:18:33.221000+00:00,9955,22,14,1264
2025-06-29T13:18:33.719000+00:00,9955,1,16,1264
2025-06-29T13:18:33.719000+00:00,9955,12,17,1264
2025-06-29T13:18:33.719000+00:00,9955,6,15,1264
2025-06-29T13:18:33.757000+00:00,9955,1,17,1264
2025-06-29T13:18:33.757000+00:00,9955,12,18,1264
2025-06-29T13:18:33.757000+00:00,9955,31,16,1264
2025-06-29T13:18:33.757000+00:00,9955,27,19,1264
2025-06-29T13:18:33.944000+00:00,9955,1,18,1264
2025-06-29T13:18:33.944000+00:00,9955,12,19,1264
