meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1264,9955,2025-06-29T12:20:01+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1264,9955,2025-06-29T12:20:26+00:00,,1,Flag,YELLOW,Sector,3.0,YELLOW IN TRACK SECTOR 3
1264,9955,2025-06-29T12:20:27+00:00,,1,Other,,,,DRS DISABLED IN ZONE 1
1264,9955,2025-06-29T12:20:36+00:00,,1,Flag,CLEAR,Sector,3.0,CLEAR IN TRACK SECTOR 3
1264,9955,2025-06-29T12:20:36+00:00,,1,Other,,,,DRS ENABLED IN ZONE 1
1264,9955,2025-06-29T12:20:38+00:00,,1,Flag,YELLOW,Sector,3.0,YELLOW IN TRACK SECTOR 3
1264,9955,2025-06-29T12:20:39+00:00,,1,Other,,,,DRS DISABLED IN ZONE 1
1264,9955,2025-06-29T12:20:45+00:00,,1,Other,,,,DRS ENABLED IN ZONE 1
1264,9955,2025-06-29T12:20:45+00:00,,1,Flag,CLEAR,Sector,3.0,CLEAR IN TRACK SECTOR 3
1264,9955,2025-06-29T12:30:01+00:00,,1,Other,,,,PIT EXIT CLOSED
1264,9955,2025-06-29T12:31:31+00:00,,1,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 81 (PIA) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1264,9955,2025-06-29T12:45:09+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 0 %
1264,9955,2025-06-29T12:49:28+00:00,,1,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 81 (PIA) REVIEWED NO FURTHER INVESTIGATION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1264,9955,2025-06-29T12:57:30+00:00,,1,Drs,,,,DRS DISABLED
1264,9955,2025-06-29T13:01:31+00:00,,1,Flag,YELLOW,Sector,16.0,YELLOW IN TRACK SECTOR 16
1264,9955,2025-06-29T13:01:36+00:00,,1,Other,,,,ABORTED START
1264,9955,2025-06-29T13:01:41+00:00,,1,Flag,CLEAR,Sector,16.0,CLEAR IN TRACK SECTOR 16
1264,9955,2025-06-29T13:04:23+00:00,,1,Other,,,,FORMATION LAP WILL START AT 15:15
1264,9955,2025-06-29T13:18:01+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1264,9955,2025-06-29T13:18:29+00:00,,1,Flag,DOUBLE YELLOW,Sector,6.0,DOUBLE YELLOW IN TRACK SECTOR 6
1264,9955,2025-06-29T13:18:36+00:00,,1,Flag,YELLOW,Sector,5.0,YELLOW IN TRACK SECTOR 5
1264,9955,2025-06-29T13:18:56+00:00,,1,SafetyCar,,,,SAFETY CAR DEPLOYED
1264,9955,2025-06-29T13:19:15+00:00,,1,Other,,,,RECOVERY VEHICLE ON TRACK AT TURN 3
1264,9955,2025-06-29T13:19:28+00:00,,1,Flag,DOUBLE YELLOW,Sector,6.0,DOUBLE YELLOW IN TRACK SECTOR 6
1264,9955,2025-06-29T13:22:13+00:00,,3,SafetyCar,,,,SAFETY CAR IN THIS LAP
1264,9955,2025-06-29T13:22:20+00:00,,3,Flag,CLEAR,Sector,6.0,CLEAR IN TRACK SECTOR 6
1264,9955,2025-06-29T13:22:21+00:00,,3,Flag,CLEAR,Sector,5.0,CLEAR IN TRACK SECTOR 5
1264,9955,2025-06-29T13:22:46+00:00,,3,Other,,,,TURN 3 INCIDENT INVOLVING CARS 12 (ANT) AND 1 (VER) NOTED - CAUSING A COLLISION
1264,9955,2025-06-29T13:23:02+00:00,,3,Flag,CLEAR,Track,,TRACK CLEAR
1264,9955,2025-06-29T13:23:31+00:00,,4,Other,,,,FIA STEWARDS: TURN 3 INCIDENT INVOLVING CARS 12 (ANT) AND 1 (VER) WILL BE INVESTIGATED AFTER THE RACE - CAUSING A COLLISION
