meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1269,9904,81,1,1,324.0,324.0
1269,9904,4,2,2,293.0,299.0
1269,9904,1,3,3,230.0,255.0
1269,9904,63,4,4,194.0,212.0
1269,9904,16,5,5,163.0,165.0
1269,9904,44,6,6,117.0,121.0
1269,9904,12,8,7,66.0,78.0
1269,9904,23,7,8,70.0,70.0
1269,9904,6,9,9,38.0,39.0
1269,9904,27,10,10,37.0,37.0
1269,9904,18,11,11,32.0,32.0
1269,9904,55,18,12,16.0,31.0
1269,9904,30,15,13,20.0,30.0
1269,9904,14,12,14,30.0,30.0
1269,9904,31,13,15,28.0,28.0
1269,9904,10,14,16,20.0,20.0
1269,9904,22,19,17,12.0,20.0
1269,9904,5,16,18,18.0,18.0
1269,9904,87,17,19,16.0,16.0
1269,9904,43,20,20,0.0,0.0
1269,9904,7,21,21,0.0,0.0
