date,session_key,stop_duration,lap_number,lane_duration,driver_number,meeting_key,pit_duration
2025-09-21T11:06:46.440000+00:00,9904,2.5,1,20.691,31,1269,20.691
2025-09-21T11:06:49.890000+00:00,9904,2.6,1,20.758,23,1269,20.758
2025-09-21T11:09:33.338000+00:00,9904,2.5,2,20.759,31,1269,20.759
2025-09-21T11:35:01.462000+00:00,9904,2.4,15,20.489,23,1269,20.489
2025-09-21T11:36:47.589000+00:00,9904,2.8,16,21.088,43,1269,21.088
2025-09-21T11:39:57.929000+00:00,9904,2.7,18,20.669,12,1269,20.669
2025-09-21T11:41:48.078000+00:00,9904,,19,20.5,16,1269,20.5
2025-09-21T11:43:29.987000+00:00,9904,2.3,20,20.283,30,1269,20.283
2025-09-21T11:45:39.568000+00:00,9904,8.2,21,25.768,14,1269,25.768
2025-09-21T11:54:26.724000+00:00,9904,2.4,26,20.845,5,1269,20.845
2025-09-21T11:55:46.106000+00:00,9904,2.6,27,20.508,55,1269,20.508
2025-09-21T11:58:15.827000+00:00,9904,3.4,28,21.194,87,1269,21.194
2025-09-21T11:59:39.966000+00:00,9904,2.2,29,20.294,6,1269,20.294
2025-09-21T12:10:52.502000+00:00,9904,3.3,35,21.5,10,1269,21.5
2025-09-21T12:11:50.527000+00:00,9904,2.2,36,20.062,44,1269,20.062
2025-09-21T12:12:31.329000+00:00,9904,2.3,36,19.97,27,1269,19.97
2025-09-21T12:13:29.850000+00:00,9904,4.1,37,21.975,4,1269,21.975
2025-09-21T12:14:16.997000+00:00,9904,4.0,37,21.82,18,1269,21.82
2025-09-21T12:15:11.802000+00:00,9904,2.2,38,20.323,22,1269,20.323
2025-09-21T12:16:46.908000+00:00,9904,2.3,39,19.809,63,1269,19.809
2025-09-21T12:18:18.941000+00:00,9904,2.4,40,20.221,1,1269,20.221
