date,session_key,meeting_key,position,driver_number
2025-09-21T10:06:40.203000+00:00,9904,1269,1,1
2025-09-21T10:06:40.203000+00:00,9904,1269,2,55
2025-09-21T10:06:40.203000+00:00,9904,1269,3,30
2025-09-21T10:06:40.203000+00:00,9904,1269,4,12
2025-09-21T10:06:40.203000+00:00,9904,1269,5,63
2025-09-21T10:06:40.203000+00:00,9904,1269,6,22
2025-09-21T10:06:40.203000+00:00,9904,1269,7,4
2025-09-21T10:06:40.203000+00:00,9904,1269,8,6
2025-09-21T10:06:40.203000+00:00,9904,1269,9,81
2025-09-21T10:06:40.203000+00:00,9904,1269,10,16
2025-09-21T10:06:40.203000+00:00,9904,1269,11,14
2025-09-21T10:06:40.203000+00:00,9904,1269,12,44
2025-09-21T10:06:40.203000+00:00,9904,1269,13,5
2025-09-21T10:06:40.203000+00:00,9904,1269,14,18
2025-09-21T10:06:40.203000+00:00,9904,1269,15,87
2025-09-21T10:06:40.203000+00:00,9904,1269,16,43
2025-09-21T10:06:40.203000+00:00,9904,1269,17,27
2025-09-21T10:06:40.203000+00:00,9904,1269,18,10
2025-09-21T10:06:40.203000+00:00,9904,1269,19,23
2025-09-21T10:06:40.203000+00:00,9904,1269,20,31
2025-09-21T11:04:08.607000+00:00,9904,1269,10,81
2025-09-21T11:04:08.607000+00:00,9904,1269,9,16
2025-09-21T11:04:08.906000+00:00,9904,1269,11,81
2025-09-21T11:04:08.906000+00:00,9904,1269,10,14
2025-09-21T11:04:08.910000+00:00,9904,1269,12,81
2025-09-21T11:04:08.910000+00:00,9904,1269,11,44
2025-09-21T11:04:09.154000+00:00,9904,1269,13,81
2025-09-21T11:04:09.154000+00:00,9904,1269,12,5
2025-09-21T11:04:09.325000+00:00,9904,1269,14,81
2025-09-21T11:04:09.325000+00:00,9904,1269,13,18
2025-09-21T11:04:09.562000+00:00,9904,1269,15,81
2025-09-21T11:04:09.562000+00:00,9904,1269,14,87
2025-09-21T11:04:09.861000+00:00,9904,1269,16,81
2025-09-21T11:04:09.861000+00:00,9904,1269,15,43
2025-09-21T11:04:09.945000+00:00,9904,1269,17,81
2025-09-21T11:04:09.945000+00:00,9904,1269,16,27
2025-09-21T11:04:10.329000+00:00,9904,1269,18,81
2025-09-21T11:04:10.329000+00:00,9904,1269,19,10
2025-09-21T11:04:10.329000+00:00,9904,1269,20,23
