meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1269,9904,2025-09-21T10:20:00+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1269,9904,2025-09-21T10:30:00+00:00,,1,Other,,,,PIT EXIT CLOSED
1269,9904,2025-09-21T10:30:28+00:00,,1,Flag,DOUBLE YELLOW,Sector,5.0,DOUBLE YELLOW IN TRACK SECTOR 5
1269,9904,2025-09-21T10:30:29+00:00,,1,Other,,,,DRS DISABLED IN ZONE 1
1269,9904,2025-09-21T10:31:53+00:00,,1,Flag,DOUBLE YELLOW,Sector,4.0,DOUBLE YELLOW IN TRACK SECTOR 4
1269,9904,2025-09-21T10:32:46+00:00,,1,Flag,YELLOW,Sector,3.0,YELLOW IN TRACK SECTOR 3
1269,9904,2025-09-21T10:33:19+00:00,,1,Flag,CLEAR,Sector,5.0,CLEAR IN TRACK SECTOR 5
1269,9904,2025-09-21T10:34:10+00:00,,1,Flag,DOUBLE YELLOW,Sector,3.0,DOUBLE YELLOW IN TRACK SECTOR 3
1269,9904,2025-09-21T10:36:02+00:00,,1,Flag,DOUBLE YELLOW,Sector,21.0,DOUBLE YELLOW IN TRACK SECTOR 21
1269,9904,2025-09-21T10:36:03+00:00,,1,Other,,,,DRS DISABLED IN ZONE 2
1269,9904,2025-09-21T10:36:10+00:00,,1,Flag,DOUBLE YELLOW,Sector,18.0,DOUBLE YELLOW IN TRACK SECTOR 18
1269,9904,2025-09-21T10:36:24+00:00,,1,Flag,CLEAR,Sector,18.0,CLEAR IN TRACK SECTOR 18
1269,9904,2025-09-21T10:37:12+00:00,,1,Flag,CLEAR,Sector,21.0,CLEAR IN TRACK SECTOR 21
1269,9904,2025-09-21T10:37:12+00:00,,1,Other,,,,DRS ENABLED IN ZONE 2
1269,9904,2025-09-21T10:38:16+00:00,,1,Flag,CLEAR,Sector,4.0,CLEAR IN TRACK SECTOR 4
1269,9904,2025-09-21T10:38:18+00:00,,1,Other,,,,DRS ENABLED IN ZONE 1
1269,9904,2025-09-21T10:38:18+00:00,,1,Flag,CLEAR,Sector,3.0,CLEAR IN TRACK SECTOR 3
1269,9904,2025-09-21T10:45:39+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 10 %
1269,9904,2025-09-21T10:47:24+00:00,,1,Flag,DOUBLE YELLOW,Sector,2.0,DOUBLE YELLOW IN TRACK SECTOR 2
1269,9904,2025-09-21T10:47:26+00:00,,1,Other,,,,DRS DISABLED IN ZONE 2
1269,9904,2025-09-21T10:48:47+00:00,,1,Other,,,,DRS ENABLED IN ZONE 2
1269,9904,2025-09-21T10:48:47+00:00,,1,Flag,CLEAR,Sector,2.0,CLEAR IN TRACK SECTOR 2
1269,9904,2025-09-21T10:48:49+00:00,,1,Flag,DOUBLE YELLOW,Sector,2.0,DOUBLE YELLOW IN TRACK SECTOR 2
1269,9904,2025-09-21T10:48:50+00:00,,1,Other,,,,DRS DISABLED IN ZONE 2
1269,9904,2025-09-21T10:49:18+00:00,,1,Other,,,,DRS ENABLED IN ZONE 2
1269,9904,2025-09-21T10:49:18+00:00,,1,Flag,CLEAR,Sector,2.0,CLEAR IN TRACK SECTOR 2
