meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1269,9904,1,31,1,1,HARD,0
1269,9904,1,23,1,1,MEDIUM,0
1269,9904,2,31,2,2,MEDIUM,0
1269,9904,2,23,2,15,MEDIUM,0
1269,9904,1,43,1,16,MEDIUM,0
1269,9904,1,12,1,18,MEDIUM,5
1269,9904,1,16,1,19,MEDIUM,3
1269,9904,1,30,1,20,MEDIUM,6
1269,9904,1,14,1,21,MEDIUM,3
1269,9904,1,81,1,1,MEDIUM,0
1269,9904,1,5,1,26,HARD,0
1269,9904,1,55,1,27,MEDIUM,5
1269,9904,1,87,1,28,HARD,0
1269,9904,1,6,1,29,MEDIUM,4
1269,9904,1,10,1,35,HARD,0
1269,9904,1,44,1,36,HARD,0
1269,9904,1,27,1,36,HARD,0
1269,9904,1,4,1,37,MEDIUM,0
1269,9904,1,18,1,37,MEDIUM,3
1269,9904,1,22,1,38,HARD,0
1269,9904,1,63,1,39,HARD,0
1269,9904,1,1,1,40,HARD,0
1269,9904,2,1,41,51,MEDIUM,4
1269,9904,2,10,36,50,MEDIUM,0
1269,9904,2,43,17,50,HARD,0
1269,9904,2,63,40,51,MEDIUM,6
1269,9904,2,55,28,51,HARD,0
1269,9904,2,12,19,51,HARD,0
1269,9904,2,30,21,51,HARD,1
1269,9904,2,22,39,51,MEDIUM,6
1269,9904,2,4,38,51,HARD,0
1269,9904,2,44,37,51,MEDIUM,0
1269,9904,2,16,20,51,HARD,0
1269,9904,2,6,30,51,HARD,1
1269,9904,3,23,16,51,HARD,0
1269,9904,2,5,27,51,MEDIUM,0
1269,9904,2,87,29,51,MEDIUM,0
1269,9904,3,31,3,51,HARD,1
1269,9904,2,14,22,51,HARD,0
1269,9904,2,27,37,51,MEDIUM,0
1269,9904,2,18,38,51,HARD,0
