meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1265,9939,81,1,1,241.0,266.0
1265,9939,4,2,2,232.0,250.0
1265,9939,1,3,3,173.0,185.0
1265,9939,63,4,4,147.0,157.0
1265,9939,16,5,5,124.0,139.0
1265,9939,44,6,6,103.0,109.0
1265,9939,12,7,7,63.0,63.0
1265,9939,23,8,8,46.0,54.0
1265,9939,27,9,9,37.0,37.0
1265,9939,31,10,10,27.0,27.0
1265,9939,6,11,11,22.0,22.0
1265,9939,10,13,12,19.0,20.0
1265,9939,18,12,13,20.0,20.0
1265,9939,30,16,14,12.0,16.0
1265,9939,14,14,15,16.0,16.0
1265,9939,55,15,16,16.0,16.0
1265,9939,22,17,17,10.0,10.0
1265,9939,87,18,18,8.0,8.0
1265,9939,5,19,19,4.0,6.0
1265,9939,43,20,20,0.0,0.0
1265,9939,7,21,21,0.0,0.0
