meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1265,9939,81,4,2025-07-27T14:32:22.206000+00:00,1
1265,9939,55,18,2025-07-27T14:32:45.561000+00:00,16
1265,9939,18,55,2025-07-27T14:32:54.415000+00:00,16
1265,9939,55,18,2025-07-27T14:34:00.610000+00:00,16
1265,9939,63,23,2025-07-27T14:34:33.790000+00:00,5
1265,9939,44,18,2025-07-27T14:34:40.029000+00:00,17
1265,9939,12,18,2025-07-27T14:36:22.005000+00:00,18
1265,9939,14,18,2025-07-27T14:37:52.794000+00:00,19
1265,9939,18,14,2025-07-27T14:37:56.825000+00:00,19
1265,9939,44,55,2025-07-27T14:38:05.712000+00:00,16
1265,9939,18,12,2025-07-27T14:38:07.731000+00:00,18
1265,9939,14,12,2025-07-27T14:38:08.393000+00:00,19
1265,9939,12,14,2025-07-27T14:38:12.289000+00:00,19
1265,9939,12,18,2025-07-27T14:38:12.289000+00:00,18
1265,9939,44,43,2025-07-27T14:38:33.667000+00:00,15
1265,9939,43,44,2025-07-27T14:38:33.752000+00:00,15
1265,9939,44,43,2025-07-27T14:38:48.265000+00:00,15
1265,9939,44,27,2025-07-27T14:40:07.176000+00:00,14
1265,9939,44,10,2025-07-27T14:41:44.747000+00:00,13
1265,9939,14,18,2025-07-27T14:44:04.550000+00:00,19
1265,9939,87,31,2025-07-27T14:44:57.219000+00:00,11
1265,9939,43,27,2025-07-27T14:46:31.015000+00:00,15
1265,9939,43,10,2025-07-27T14:46:31.015000+00:00,14
1265,9939,43,44,2025-07-27T14:46:31.015000+00:00,13
1265,9939,55,27,2025-07-27T14:46:31.968000+00:00,16
1265,9939,55,10,2025-07-27T14:46:31.968000+00:00,15
1265,9939,12,27,2025-07-27T14:46:32.968000+00:00,17
1265,9939,12,10,2025-07-27T14:46:32.968000+00:00,16
1265,9939,18,14,2025-07-27T14:46:34.530000+00:00,19
1265,9939,18,27,2025-07-27T14:46:34.530000+00:00,18
