date,session_key,meeting_key,lap_number,driver_number,pit_duration,lane_duration,stop_duration
2025-07-27T14:46:51.232000+00:00,9939,1265,11,44,23.284,23.284,2.2
2025-07-27T14:46:55.195000+00:00,9939,1265,11,27,23.599,23.599,2.9
2025-07-27T14:46:57.838000+00:00,9939,1265,11,10,26.825,26.825,3.9
2025-07-27T14:46:58.342000+00:00,9939,1265,11,14,23.404,23.404,2.5
2025-07-27T14:48:23.686000+00:00,9939,1265,12,81,23.844,23.844,2.8
2025-07-27T14:48:33.936000+00:00,9939,1265,12,16,23.806,23.806,2.5
2025-07-27T14:48:36.639000+00:00,9939,1265,12,1,25.913,25.913,4.8
2025-07-27T14:48:38.404000+00:00,9939,1265,12,63,23.635,23.635,2.8
2025-07-27T14:48:40.404000+00:00,9939,1265,12,23,24.029,24.029,2.7
2025-07-27T14:48:46.326000+00:00,9939,1265,12,30,23.269,23.269,2.3
2025-07-27T14:48:48.514000+00:00,9939,1265,12,5,23.274,23.274,2.2
2025-07-27T14:48:50.448000+00:00,9939,1265,12,87,24.13,24.13,3.2
2025-07-27T14:48:58.204000+00:00,9939,1265,12,43,23.665,23.665,2.6
2025-07-27T14:49:01.423000+00:00,9939,1265,12,12,23.609,23.609,2.4
2025-07-27T14:49:02.220000+00:00,9939,1265,12,18,23.787,23.787,2.7
2025-07-27T14:49:03.120000+00:00,9939,1265,12,55,27.528,27.528,6.2
2025-07-27T14:50:23.650000+00:00,9939,1265,13,4,24.376,24.376,3.5
2025-07-27T14:50:46.228000+00:00,9939,1265,13,22,23.33,23.33,2.2
2025-07-27T14:50:48.009000+00:00,9939,1265,13,6,23.58,23.58,2.8
2025-07-27T14:50:58.918000+00:00,9939,1265,13,31,23.802,23.802,2.6
2025-07-27T15:04:04.883000+00:00,9939,1265,20,6,23.376,23.376,2.8
2025-07-27T15:14:55.941000+00:00,9939,1265,26,55,23.77,23.77,3.1
2025-07-27T15:18:31.792000+00:00,9939,1265,28,43,23.449,23.449,2.9
2025-07-27T15:20:11.108000+00:00,9939,1265,29,14,23.692,23.692,3.3
2025-07-27T15:21:56.569000+00:00,9939,1265,30,12,23.059,23.059,2.3
2025-07-27T15:25:26.166000+00:00,9939,1265,32,27,23.89,23.89,3.4
