meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1265,9939,2025-07-27T12:19:00+00:00,,1,Other,,,,LOW GRIP CONDITIONS
1265,9939,2025-07-27T12:20:00+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1265,9939,2025-07-27T12:22:08+00:00,,1,Other,,,,AWNINGS MAY BE USED
1265,9939,2025-07-27T12:26:06+00:00,,1,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11
1265,9939,2025-07-27T12:26:17+00:00,,1,Flag,CLEAR,Sector,11.0,CLEAR IN TRACK SECTOR 11
1265,9939,2025-07-27T12:28:44+00:00,,1,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 14
1265,9939,2025-07-27T12:28:52+00:00,,1,Flag,CLEAR,Sector,14.0,CLEAR IN TRACK SECTOR 14
1265,9939,2025-07-27T12:28:59+00:00,,1,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 8
1265,9939,2025-07-27T12:29:06+00:00,,1,Flag,CLEAR,Sector,8.0,CLEAR IN TRACK SECTOR 8
1265,9939,2025-07-27T12:30:00+00:00,,1,Other,,,,PIT EXIT CLOSED
1265,9939,2025-07-27T12:30:53+00:00,,1,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 14
1265,9939,2025-07-27T12:30:54+00:00,,1,Flag,CLEAR,Sector,14.0,CLEAR IN TRACK SECTOR 14
1265,9939,2025-07-27T12:31:00+00:00,,1,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 14
1265,9939,2025-07-27T12:31:03+00:00,,1,Flag,CLEAR,Sector,14.0,CLEAR IN TRACK SECTOR 14
1265,9939,2025-07-27T12:31:08+00:00,,1,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 14
1265,9939,2025-07-27T12:31:10+00:00,,1,Flag,CLEAR,Sector,14.0,CLEAR IN TRACK SECTOR 14
1265,9939,2025-07-27T12:38:46+00:00,,1,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 20
1265,9939,2025-07-27T12:38:53+00:00,,1,Flag,CLEAR,Sector,20.0,CLEAR IN TRACK SECTOR 20
1265,9939,2025-07-27T12:42:58+00:00,,1,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 15
1265,9939,2025-07-27T12:43:01+00:00,,1,Flag,CLEAR,Sector,15.0,CLEAR IN TRACK SECTOR 15
1265,9939,2025-07-27T12:43:44+00:00,,1,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 14
1265,9939,2025-07-27T12:43:48+00:00,,1,Flag,CLEAR,Sector,14.0,CLEAR IN TRACK SECTOR 14
1265,9939,2025-07-27T12:43:50+00:00,,1,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11
1265,9939,2025-07-27T12:43:55+00:00,,1,Flag,CLEAR,Sector,14.0,CLEAR IN TRACK SECTOR 14
1265,9939,2025-07-27T12:44:02+00:00,,1,Flag,CLEAR,Sector,11.0,CLEAR IN TRACK SECTOR 11
1265,9939,2025-07-27T12:44:06+00:00,,1,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11
1265,9939,2025-07-27T12:44:08+00:00,,1,Flag,CLEAR,Sector,11.0,CLEAR IN TRACK SECTOR 11
1265,9939,2025-07-27T12:50:18+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 100%
1265,9939,2025-07-27T12:55:01+00:00,,1,Other,,,,FORMATION LAP WILL BE STARTED BEHIND THE SAFETY CAR
1265,9939,2025-07-27T12:57:01+00:00,,1,Drs,,,,DRS DISABLED
1265,9939,2025-07-27T13:01:44+00:00,,1,Other,,,,STARTING PROCEDURE SUSPENDED
1265,9939,2025-07-27T13:01:58+00:00,,1,Flag,RED,Track,,RED FLAG
1265,9939,2025-07-27T13:09:08+00:00,,1,Other,,,,AWNINGS MAY BE USED
1265,9939,2025-07-27T13:54:50+00:00,,1,Flag,CLEAR,Track,,TRACK CLEAR
1265,9939,2025-07-27T13:55:46+00:00,,1,Flag,DOUBLE YELLOW,Sector,4.0,DOUBLE YELLOW IN TRACK SECTOR 4
1265,9939,2025-07-27T13:56:16+00:00,,1,Flag,CLEAR,Sector,4.0,CLEAR IN TRACK SECTOR 4
1265,9939,2025-07-27T13:56:17+00:00,,1,Flag,DOUBLE YELLOW,Sector,7.0,DOUBLE YELLOW IN TRACK SECTOR 7
1265,9939,2025-07-27T13:56:26+00:00,,1,Flag,CLEAR,Sector,7.0,CLEAR IN TRACK SECTOR 7
1265,9939,2025-07-27T13:56:34+00:00,,1,Flag,DOUBLE YELLOW,Sector,16.0,DOUBLE YELLOW IN TRACK SECTOR 16
1265,9939,2025-07-27T13:56:52+00:00,,1,Flag,DOUBLE YELLOW,Sector,4.0,DOUBLE YELLOW IN TRACK SECTOR 4
1265,9939,2025-07-27T13:56:52+00:00,,1,Flag,DOUBLE YELLOW,Sector,5.0,DOUBLE YELLOW IN TRACK SECTOR 5
1265,9939,2025-07-27T13:56:52+00:00,,1,Flag,DOUBLE YELLOW,Sector,6.0,DOUBLE YELLOW IN TRACK SECTOR 6
1265,9939,2025-07-27T13:57:29+00:00,,1,Flag,CLEAR,Sector,16.0,CLEAR IN TRACK SECTOR 16
1265,9939,2025-07-27T13:58:11+00:00,,1,Flag,DOUBLE YELLOW,Sector,14.0,DOUBLE YELLOW IN TRACK SECTOR 14
1265,9939,2025-07-27T14:00:01+00:00,,1,Flag,CLEAR,Sector,14.0,CLEAR IN TRACK SECTOR 14
1265,9939,2025-07-27T14:00:12+00:00,,1,Flag,DOUBLE YELLOW,Sector,7.0,DOUBLE YELLOW IN TRACK SECTOR 7
1265,9939,2025-07-27T14:00:30+00:00,,1,Flag,DOUBLE YELLOW,Sector,13.0,DOUBLE YELLOW IN TRACK SECTOR 13
1265,9939,2025-07-27T14:00:43+00:00,,1,Flag,YELLOW,Sector,12.0,YELLOW IN TRACK SECTOR 12
1265,9939,2025-07-27T14:02:04+00:00,,1,Flag,YELLOW,Sector,11.0,YELLOW IN TRACK SECTOR 11
1265,9939,2025-07-27T14:02:18+00:00,,1,Flag,CLEAR,Sector,7.0,CLEAR IN TRACK SECTOR 7
1265,9939,2025-07-27T14:03:15+00:00,,1,Flag,YELLOW,Sector,20.0,YELLOW IN TRACK SECTOR 20
1265,9939,2025-07-27T14:03:21+00:00,,1,Flag,CLEAR,Sector,13.0,CLEAR IN TRACK SECTOR 13
1265,9939,2025-07-27T14:03:22+00:00,,1,Flag,DOUBLE YELLOW,Sector,14.0,DOUBLE YELLOW IN TRACK SECTOR 14
1265,9939,2025-07-27T14:03:27+00:00,,1,Flag,CLEAR,Sector,12.0,CLEAR IN TRACK SECTOR 12
1265,9939,2025-07-27T14:03:30+00:00,,1,Flag,CLEAR,Sector,20.0,CLEAR IN TRACK SECTOR 20
1265,9939,2025-07-27T14:03:50+00:00,,1,Flag,CLEAR,Sector,14.0,CLEAR IN TRACK SECTOR 14
1265,9939,2025-07-27T14:04:09+00:00,,1,Flag,CLEAR,Sector,11.0,CLEAR IN TRACK SECTOR 11
1265,9939,2025-07-27T14:04:18+00:00,,1,Flag,DOUBLE YELLOW,Sector,16.0,DOUBLE YELLOW IN TRACK SECTOR 16
1265,9939,2025-07-27T14:04:44+00:00,,1,Other,,,,RACE WILL RESUME AT 16:20
1265,9939,2025-07-27T14:05:31+00:00,,1,Flag,CLEAR,Sector,16.0,CLEAR IN TRACK SECTOR 16
1265,9939,2025-07-27T14:06:18+00:00,,1,Flag,DOUBLE YELLOW,Sector,7.0,DOUBLE YELLOW IN TRACK SECTOR 7
1265,9939,2025-07-27T14:06:30+00:00,,1,Flag,DOUBLE YELLOW,Sector,14.0,DOUBLE YELLOW IN TRACK SECTOR 14
1265,9939,2025-07-27T14:06:40+00:00,,1,Flag,DOUBLE YELLOW,Sector,13.0,DOUBLE YELLOW IN TRACK SECTOR 13
1265,9939,2025-07-27T14:06:41+00:00,,1,Flag,CLEAR,Sector,14.0,CLEAR IN TRACK SECTOR 14
1265,9939,2025-07-27T14:06:56+00:00,,1,Flag,YELLOW,Sector,12.0,YELLOW IN TRACK SECTOR 12
1265,9939,2025-07-27T14:07:18+00:00,,1,Flag,CLEAR,Sector,7.0,CLEAR IN TRACK SECTOR 7
1265,9939,2025-07-27T14:08:26+00:00,,1,Flag,DOUBLE YELLOW,Sector,14.0,DOUBLE YELLOW IN TRACK SECTOR 14
1265,9939,2025-07-27T14:08:27+00:00,,1,Flag,CLEAR,Sector,13.0,CLEAR IN TRACK SECTOR 13
1265,9939,2025-07-27T14:08:31+00:00,,1,Flag,CLEAR,Sector,12.0,CLEAR IN TRACK SECTOR 12
1265,9939,2025-07-27T14:10:27+00:00,,1,Flag,DOUBLE YELLOW,Sector,15.0,DOUBLE YELLOW IN TRACK SECTOR 15
1265,9939,2025-07-27T14:10:32+00:00,,1,Flag,CLEAR,Sector,14.0,CLEAR IN TRACK SECTOR 14
1265,9939,2025-07-27T14:11:04+00:00,,1,Flag,DOUBLE YELLOW,Sector,16.0,DOUBLE YELLOW IN TRACK SECTOR 16
1265,9939,2025-07-27T14:11:05+00:00,,1,Flag,DOUBLE YELLOW,Sector,7.0,DOUBLE YELLOW IN TRACK SECTOR 7
1265,9939,2025-07-27T14:11:16+00:00,,1,Flag,CLEAR,Sector,15.0,CLEAR IN TRACK SECTOR 15
1265,9939,2025-07-27T14:12:13+00:00,,1,Flag,CLEAR,Sector,16.0,CLEAR IN TRACK SECTOR 16
1265,9939,2025-07-27T14:12:17+00:00,,1,Flag,DOUBLE YELLOW,Sector,15.0,DOUBLE YELLOW IN TRACK SECTOR 15
1265,9939,2025-07-27T14:12:18+00:00,,1,Flag,CLEAR,Sector,7.0,CLEAR IN TRACK SECTOR 7
1265,9939,2025-07-27T14:12:50+00:00,,1,Flag,DOUBLE YELLOW,Sector,14.0,DOUBLE YELLOW IN TRACK SECTOR 14
1265,9939,2025-07-27T14:12:52+00:00,,1,Flag,CLEAR,Sector,15.0,CLEAR IN TRACK SECTOR 15
1265,9939,2025-07-27T14:13:08+00:00,,1,Flag,CLEAR,Sector,14.0,CLEAR IN TRACK SECTOR 14
1265,9939,2025-07-27T14:13:10+00:00,,1,Flag,DOUBLE YELLOW,Sector,13.0,DOUBLE YELLOW IN TRACK SECTOR 13
1265,9939,2025-07-27T14:13:15+00:00,,1,Flag,CLEAR,Sector,4.0,CLEAR IN TRACK SECTOR 4
1265,9939,2025-07-27T14:13:15+00:00,,1,Flag,CLEAR,Sector,5.0,CLEAR IN TRACK SECTOR 5
1265,9939,2025-07-27T14:13:15+00:00,,1,Flag,CLEAR,Sector,6.0,CLEAR IN TRACK SECTOR 6
1265,9939,2025-07-27T14:13:15+00:00,,1,Flag,YELLOW,Sector,12.0,YELLOW IN TRACK SECTOR 12
1265,9939,2025-07-27T14:14:02+00:00,,1,Flag,CLEAR,Sector,13.0,CLEAR IN TRACK SECTOR 13
1265,9939,2025-07-27T14:14:21+00:00,,1,Flag,CLEAR,Sector,12.0,CLEAR IN TRACK SECTOR 12
1265,9939,2025-07-27T14:15:01+00:00,,1,Other,,,,RACE WILL START BEHIND THE SAFETY CAR
1265,9939,2025-07-27T14:20:00+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1265,9939,2025-07-27T14:29:35+00:00,,4,Other,,,,ROLLING START
1265,9939,2025-07-27T14:34:11+00:00,,6,Other,,,,CAR 55 (SAI) TIME 2:03.311 DELETED - TRACK LIMITS AT TURN 6 LAP 5 16:32:41
1265,9939,2025-07-27T14:38:14+00:00,,8,Other,,,,CAR 10 (GAS) TIME 2:02.794 DELETED - TRACK LIMITS AT TURN 4 LAP 7 16:36:28
1265,9939,2025-07-27T14:38:33+00:00,,8,Other,,,,CAR 12 (ANT) TIME 2:02.188 DELETED - TRACK LIMITS AT TURN 18 LAP 7 16:38:08
1265,9939,2025-07-27T14:40:09+00:00,,9,Other,,,,CAR 6 (HAD) TIME 2:02.837 DELETED - TRACK LIMITS AT TURN 4 LAP 8 16:38:24
1265,9939,2025-07-27T14:40:19+00:00,,9,Other,,,,CAR 43 (COL) TIME 2:04.446 DELETED - TRACK LIMITS AT TURN 4 LAP 8 16:38:33
1265,9939,2025-07-27T14:42:18+00:00,,10,Other,,,,CAR 5 (BOR) TIME 2:03.996 DELETED - TRACK LIMITS AT TURN 4 LAP 9 16:40:29
