position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,81,44,25.0,False,False,False,5122.601,0,1265,9939
2,4,44,18.0,False,False,False,5126.016,3.415,1265,9939
3,16,44,15.0,False,False,False,5142.786,20.185,1265,9939
4,1,44,12.0,False,False,False,5144.332,21.731,1265,9939
5,63,44,10.0,False,False,False,5157.464,34.863,1265,9939
6,23,44,8.0,False,False,False,5162.527,39.926,1265,9939
7,44,44,6.0,False,False,False,5163.28,40.679,1265,9939
8,30,44,4.0,False,False,False,5174.634,52.033,1265,9939
9,5,44,2.0,False,False,False,5179.035,56.434,1265,9939
10,10,44,1.0,False,False,False,5195.315,72.714,1265,9939
11,87,44,0.0,False,False,False,5195.746,73.145,1265,9939
12,27,44,0.0,False,False,False,5196.229,73.628,1265,9939
13,22,44,0.0,False,False,False,5197.996,75.395,1265,9939
14,18,44,0.0,False,False,False,5202.432,79.831,1265,9939
15,31,44,0.0,False,False,False,5208.664,86.063,1265,9939
16,12,44,0.0,False,False,False,5209.322,86.721,1265,9939
17,14,44,0.0,False,False,False,5210.525,87.924,1265,9939
18,55,44,0.0,False,False,False,5214.625,92.024,1265,9939
19,43,44,0.0,False,False,False,5217.851,95.25,1265,9939
20,6,43,0.0,False,False,False,,+1 LAP,1265,9939
