meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1273,9869,4,1,1,365.0,390.0
1273,9869,81,2,2,356.0,366.0
1273,9869,1,3,3,326.0,341.0
1273,9869,63,4,4,264.0,276.0
1273,9869,16,5,5,214.0,214.0
1273,9869,44,6,6,148.0,148.0
1273,9869,12,7,7,104.0,122.0
1273,9869,23,8,8,73.0,73.0
1273,9869,27,9,9,41.0,43.0
1273,9869,6,11,10,39.0,43.0
1273,9869,87,13,11,32.0,40.0
1273,9869,14,10,12,40.0,40.0
1273,9869,55,12,13,38.0,38.0
1273,9869,30,15,14,30.0,36.0
1273,9869,18,14,15,32.0,32.0
1273,9869,31,16,16,30.0,30.0
1273,9869,22,17,17,28.0,28.0
1273,9869,10,18,18,21.0,22.0
1273,9869,5,19,19,19.0,19.0
1273,9869,43,20,20,0.0,0.0
1273,9869,7,21,21,0.0,0.0
