Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec,S1_sec,S2_sec,S3_sec,Race
0 days 00:58:21.863000,VER,1,0 days 00:01:27.191000,1.0,1.0,0 days 00:57:08.347000,,,0 days 00:00:39.288000,0 days 00:00:17.131000,,0 days 00:58:04.976000,0 days 00:58:22.006000,306.0,244.0,305.0,,False,HARD,1.0,True,Red Bull Racing,0 days 00:56:54.480000,2025-11-09 17:03:14.079,12,18.0,False,,False,False,87.191,,39.288,17.131,São Paulo Grand Prix
0 days 01:00:22.276000,VER,1,0 days 00:02:00.413000,2.0,1.0,,,0 days 00:00:21.320000,0 days 00:01:15.859000,0 days 00:00:23.234000,0 days 00:58:43.249000,0 days 00:59:59.108000,0 days 01:00:22.342000,120.0,199.0,243.0,271.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:58:21.863000,2025-11-09 17:04:41.462,24,17.0,False,,False,False,120.413,21.32,75.859,23.234,São Paulo Grand Prix
0 days 01:02:11.283000,VER,1,0 days 00:01:49.007000,3.0,1.0,,,0 days 00:00:21.675000,0 days 00:00:58.682000,0 days 00:00:28.650000,0 days 01:00:44.017000,0 days 01:01:42.699000,0 days 01:02:11.349000,167.0,197.0,253.0,258.0,True,HARD,3.0,True,Red Bull Racing,0 days 01:00:22.276000,2025-11-09 17:06:41.875,4,16.0,False,,False,False,109.007,21.675,58.682,28.65,São Paulo Grand Prix
0 days 01:03:57.903000,VER,1,0 days 00:01:46.620000,4.0,1.0,,,0 days 00:00:25.318000,0 days 00:00:59.748000,0 days 00:00:21.554000,0 days 01:02:36.667000,0 days 01:03:36.415000,0 days 01:03:57.969000,236.0,221.0,233.0,237.0,True,HARD,4.0,True,Red Bull Racing,0 days 01:02:11.283000,2025-11-09 17:08:30.882,4,16.0,False,,False,False,106.62,25.318,59.748,21.554,São Paulo Grand Prix
0 days 01:05:45.792000,VER,1,0 days 00:01:47.889000,5.0,1.0,,,0 days 00:00:30.078000,0 days 00:00:50.463000,0 days 00:00:27.348000,0 days 01:04:28.047000,0 days 01:05:18.510000,0 days 01:05:45.858000,250.0,229.0,291.0,247.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:03:57.903000,2025-11-09 17:10:17.502,41,16.0,False,,False,False,107.889,30.078,50.463,27.348,São Paulo Grand Prix
0 days 01:07:04.287000,VER,1,0 days 00:01:18.495000,6.0,1.0,,,0 days 00:00:20.374000,0 days 00:00:40.996000,0 days 00:00:17.125000,0 days 01:06:06.232000,0 days 01:06:47.228000,0 days 01:07:04.353000,317.0,249.0,314.0,290.0,True,HARD,6.0,True,Red Bull Racing,0 days 01:05:45.792000,2025-11-09 17:12:05.391,12,13.0,False,,False,True,78.495,20.374,40.996,17.125,São Paulo Grand Prix
0 days 01:08:51.748000,VER,1,0 days 00:01:47.461000,7.0,1.0,,0 days 01:08:48.918000,0 days 00:00:34.453000,0 days 00:00:45.325000,0 days 00:00:27.683000,0 days 01:07:38.806000,0 days 01:08:24.131000,0 days 01:08:51.814000,157.0,178.0,,287.0,False,HARD,7.0,True,Red Bull Racing,0 days 01:07:04.287000,2025-11-09 17:13:23.886,26,17.0,False,,False,False,107.461,34.453,45.325,27.683,São Paulo Grand Prix
0 days 01:10:36.096000,VER,1,0 days 00:01:44.348000,8.0,2.0,0 days 01:09:12.204000,,0 days 00:00:37.366000,0 days 00:00:49.826000,0 days 00:00:17.156000,0 days 01:09:29.180000,0 days 01:10:19.006000,0 days 01:10:36.162000,287.0,178.0,318.0,,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:08:51.748000,2025-11-09 17:15:11.347,671,18.0,False,,False,False,104.348,37.366,49.826,17.156,São Paulo Grand Prix
0 days 01:11:49.237000,VER,1,0 days 00:01:13.141000,9.0,2.0,,,0 days 00:00:18.886000,0 days 00:00:37.345000,0 days 00:00:16.910000,0 days 01:10:55.048000,0 days 01:11:32.393000,0 days 01:11:49.303000,313.0,252.0,311.0,310.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:10:36.096000,2025-11-09 17:16:55.695,1,16.0,False,,False,True,73.141,18.886,37.345,16.91,São Paulo Grand Prix
0 days 01:13:02.286000,VER,1,0 days 00:01:13.049000,10.0,2.0,,,0 days 00:00:18.826000,0 days 00:00:37.385000,0 days 00:00:16.838000,0 days 01:12:08.129000,0 days 01:12:45.514000,0 days 01:13:02.352000,,254.0,316.0,309.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:11:49.237000,2025-11-09 17:18:08.836,1,16.0,False,,False,True,73.049,18.826,37.385,16.838,São Paulo Grand Prix
0 days 01:14:16.021000,VER,1,0 days 00:01:13.735000,11.0,2.0,,,0 days 00:00:18.826000,0 days 00:00:38.060000,0 days 00:00:16.849000,,0 days 01:13:59.238000,0 days 01:14:16.087000,315.0,254.0,331.0,311.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:13:02.286000,2025-11-09 17:19:21.885,1,16.0,False,,False,True,73.735,18.826,38.06,16.849,São Paulo Grand Prix
0 days 01:15:30.837000,VER,1,0 days 00:01:14.816000,12.0,2.0,,,0 days 00:00:18.756000,0 days 00:00:39.077000,0 days 00:00:16.983000,0 days 01:14:34.843000,0 days 01:15:13.920000,0 days 01:15:30.903000,332.0,248.0,326.0,317.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:14:16.021000,2025-11-09 17:20:35.620,1,16.0,False,,False,True,74.816,18.756,39.077,16.983,São Paulo Grand Prix
0 days 01:16:45.902000,VER,1,0 days 00:01:15.065000,13.0,2.0,,,0 days 00:00:18.894000,0 days 00:00:39.130000,0 days 00:00:17.041000,0 days 01:15:49.797000,0 days 01:16:28.927000,0 days 01:16:45.968000,330.0,249.0,328.0,327.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:15:30.837000,2025-11-09 17:21:50.436,1,14.0,False,,False,True,75.065,18.894,39.13,17.041,São Paulo Grand Prix
0 days 01:18:00.983000,VER,1,0 days 00:01:15.081000,14.0,2.0,,,0 days 00:00:18.939000,0 days 00:00:39.121000,0 days 00:00:17.021000,0 days 01:17:04.907000,0 days 01:17:44.028000,0 days 01:18:01.049000,317.0,252.0,333.0,325.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:16:45.902000,2025-11-09 17:23:05.501,1,14.0,False,,False,True,75.081,18.939,39.121,17.021,São Paulo Grand Prix
0 days 01:19:16.337000,VER,1,0 days 00:01:15.354000,15.0,2.0,,,0 days 00:00:18.970000,0 days 00:00:39.334000,0 days 00:00:17.050000,0 days 01:18:20.019000,0 days 01:18:59.353000,0 days 01:19:16.403000,329.0,250.0,337.0,319.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:18:00.983000,2025-11-09 17:24:20.582,1,13.0,False,,False,True,75.354,18.97,39.334,17.05,São Paulo Grand Prix
0 days 01:20:32.062000,VER,1,0 days 00:01:15.725000,16.0,2.0,,,0 days 00:00:19.265000,0 days 00:00:39.450000,0 days 00:00:17.010000,0 days 01:19:35.668000,0 days 01:20:15.118000,0 days 01:20:32.128000,332.0,250.0,338.0,324.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:19:16.337000,2025-11-09 17:25:35.936,1,13.0,False,,False,True,75.725,19.265,39.45,17.01,São Paulo Grand Prix
0 days 01:21:47.871000,VER,1,0 days 00:01:15.809000,17.0,2.0,,,0 days 00:00:19.193000,0 days 00:00:39.654000,0 days 00:00:16.962000,0 days 01:20:51.321000,0 days 01:21:30.975000,0 days 01:21:47.937000,330.0,250.0,326.0,335.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:20:32.062000,2025-11-09 17:26:51.661,1,10.0,False,,False,True,75.809,19.193,39.654,16.962,São Paulo Grand Prix
0 days 01:23:02.919000,VER,1,0 days 00:01:15.048000,18.0,2.0,,,0 days 00:00:19.075000,0 days 00:00:38.831000,0 days 00:00:17.142000,0 days 01:22:07.012000,0 days 01:22:45.843000,0 days 01:23:02.985000,314.0,254.0,315.0,315.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:21:47.871000,2025-11-09 17:28:07.470,1,8.0,False,,False,True,75.048,19.075,38.831,17.142,São Paulo Grand Prix
0 days 01:24:18.089000,VER,1,0 days 00:01:15.170000,19.0,2.0,,,0 days 00:00:19.017000,0 days 00:00:38.986000,0 days 00:00:17.167000,0 days 01:23:22.002000,0 days 01:24:00.988000,0 days 01:24:18.155000,327.0,255.0,326.0,309.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:23:02.919000,2025-11-09 17:29:22.518,1,6.0,False,,False,True,75.17,19.017,38.986,17.167,São Paulo Grand Prix
0 days 01:25:33.251000,VER,1,0 days 00:01:15.162000,20.0,2.0,,,0 days 00:00:18.968000,0 days 00:00:39.047000,0 days 00:00:17.147000,0 days 01:24:37.123000,0 days 01:25:16.170000,0 days 01:25:33.317000,328.0,248.0,331.0,316.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:24:18.089000,2025-11-09 17:30:37.688,1,6.0,False,,False,True,75.162,18.968,39.047,17.147,São Paulo Grand Prix
0 days 01:26:48.080000,VER,1,0 days 00:01:14.829000,21.0,2.0,,,0 days 00:00:18.968000,0 days 00:00:38.683000,0 days 00:00:17.178000,,0 days 01:26:30.968000,0 days 01:26:48.146000,312.0,256.0,310.0,318.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:25:33.251000,2025-11-09 17:31:52.850,1,5.0,False,,False,True,74.829,18.968,38.683,17.178,São Paulo Grand Prix
0 days 01:28:03.028000,VER,1,0 days 00:01:14.948000,22.0,2.0,,,0 days 00:00:19.159000,0 days 00:00:38.608000,0 days 00:00:17.181000,0 days 01:27:07.305000,0 days 01:27:45.913000,0 days 01:28:03.094000,311.0,255.0,309.0,309.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:26:48.080000,2025-11-09 17:33:07.679,1,4.0,False,,False,True,74.948,19.159,38.608,17.181,São Paulo Grand Prix
0 days 01:29:17.755000,VER,1,0 days 00:01:14.727000,23.0,2.0,,,0 days 00:00:19.096000,0 days 00:00:38.472000,0 days 00:00:17.159000,0 days 01:28:22.190000,0 days 01:29:00.662000,0 days 01:29:17.821000,,256.0,309.0,307.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:28:03.028000,2025-11-09 17:34:22.627,1,4.0,False,,False,True,74.727,19.096,38.472,17.159,São Paulo Grand Prix
0 days 01:30:32.524000,VER,1,0 days 00:01:14.769000,24.0,2.0,,,0 days 00:00:18.994000,0 days 00:00:38.611000,0 days 00:00:17.164000,0 days 01:29:36.815000,0 days 01:30:15.426000,0 days 01:30:32.590000,312.0,256.0,308.0,309.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:29:17.755000,2025-11-09 17:35:37.354,1,4.0,False,,False,True,74.769,18.994,38.611,17.164,São Paulo Grand Prix
0 days 01:31:47.352000,VER,1,0 days 00:01:14.828000,25.0,2.0,,,0 days 00:00:19.019000,0 days 00:00:38.630000,0 days 00:00:17.179000,0 days 01:30:51.609000,0 days 01:31:30.239000,0 days 01:31:47.418000,311.0,256.0,309.0,306.0,False,MEDIUM,18.0,True,Red Bull Racing,0 days 01:30:32.524000,2025-11-09 17:36:52.123,1,4.0,False,,False,True,74.828,19.019,38.63,17.179,São Paulo Grand Prix
0 days 01:33:02.545000,VER,1,0 days 00:01:15.193000,26.0,2.0,,,0 days 00:00:19.298000,0 days 00:00:38.717000,0 days 00:00:17.178000,0 days 01:32:06.716000,0 days 01:32:45.433000,0 days 01:33:02.611000,310.0,256.0,308.0,304.0,False,MEDIUM,19.0,True,Red Bull Racing,0 days 01:31:47.352000,2025-11-09 17:38:06.951,1,4.0,False,,False,True,75.193,19.298,38.717,17.178,São Paulo Grand Prix
0 days 01:34:17.457000,VER,1,0 days 00:01:14.912000,27.0,2.0,,,0 days 00:00:19.078000,0 days 00:00:38.538000,0 days 00:00:17.296000,0 days 01:33:21.689000,0 days 01:34:00.227000,0 days 01:34:17.523000,311.0,255.0,309.0,308.0,False,MEDIUM,20.0,True,Red Bull Racing,0 days 01:33:02.545000,2025-11-09 17:39:22.144,1,4.0,False,,False,True,74.912,19.078,38.538,17.296,São Paulo Grand Prix
0 days 01:35:32.763000,VER,1,0 days 00:01:15.306000,28.0,2.0,,,0 days 00:00:19.070000,0 days 00:00:38.898000,0 days 00:00:17.338000,0 days 01:34:36.593000,0 days 01:35:15.491000,0 days 01:35:32.829000,,254.0,309.0,306.0,False,MEDIUM,21.0,True,Red Bull Racing,0 days 01:34:17.457000,2025-11-09 17:40:37.056,1,4.0,False,,False,True,75.306,19.07,38.898,17.338,São Paulo Grand Prix
0 days 01:36:47.928000,VER,1,0 days 00:01:15.165000,29.0,2.0,,,0 days 00:00:19.136000,0 days 00:00:38.790000,0 days 00:00:17.239000,0 days 01:35:51.965000,0 days 01:36:30.755000,0 days 01:36:47.994000,,255.0,309.0,309.0,False,MEDIUM,22.0,True,Red Bull Racing,0 days 01:35:32.763000,2025-11-09 17:41:52.362,1,4.0,False,,False,True,75.165,19.136,38.79,17.239,São Paulo Grand Prix
0 days 01:38:02.893000,VER,1,0 days 00:01:14.965000,30.0,2.0,,,0 days 00:00:19.136000,0 days 00:00:38.620000,0 days 00:00:17.209000,,0 days 01:37:45.750000,0 days 01:38:02.959000,312.0,255.0,309.0,308.0,False,MEDIUM,23.0,True,Red Bull Racing,0 days 01:36:47.928000,2025-11-09 17:43:07.527,1,4.0,False,,False,True,74.965,19.136,38.62,17.209,São Paulo Grand Prix
