date,session_key,lane_duration,meeting_key,stop_duration,driver_number,pit_duration,lap_number
2025-11-09T17:06:59.702000+00:00,9869,22.974,1273,2.0,22,22.974,2
2025-11-09T17:07:24.400000+00:00,9869,40.076,1273,18.5,44,40.076,2
2025-11-09T17:15:31.935000+00:00,9869,23.197,1273,2.2,1,23.197,7
2025-11-09T17:17:13.579000+00:00,9869,24.204,1273,2.9,31,24.204,8
2025-11-09T17:24:47.649000+00:00,9869,23.426,1273,2.4,44,23.426,14
2025-11-09T17:28:28.124000+00:00,9869,23.748,1273,3.0,87,23.748,17
2025-11-09T17:28:34.078000+00:00,9869,26.064,1273,5.2,55,26.064,17
2025-11-09T17:29:42.776000+00:00,9869,23.708,1273,2.4,6,23.708,18
2025-11-09T17:29:45.653000+00:00,9869,23.673,1273,2.8,10,23.673,18
2025-11-09T17:31:02.424000+00:00,9869,22.899,1273,2.0,30,22.899,19
2025-11-09T17:33:20.888000+00:00,9869,23.356,1273,2.2,12,23.356,21
2025-11-09T17:37:36.928000+00:00,9869,34.185,1273,13.3,22,34.185,24
2025-11-09T17:42:30.689000+00:00,9869,23.942,1273,3.2,14,23.942,28
2025-11-09T17:43:48.580000+00:00,9869,23.71,1273,2.6,43,23.71,29
2025-11-09T17:43:49.293000+00:00,9869,23.76,1273,2.9,18,23.76,29
2025-11-09T17:44:26.554000+00:00,9869,23.49,1273,2.2,4,23.49,30
2025-11-09T17:47:56.309000+00:00,9869,30.752,1273,9.8,44,30.752,32
2025-11-09T17:49:42.685000+00:00,9869,23.358,1273,2.4,63,23.358,34
2025-11-09T17:49:48.897000+00:00,9869,23.058,1273,2.3,1,23.058,34
2025-11-09T17:51:17.776000+00:00,9869,23.061,1273,2.4,23,23.061,35
2025-11-09T17:52:30.227000+00:00,9869,23.0,1273,,27,23.0,36
2025-11-09T17:53:50.990000+00:00,9869,23.46,1273,2.4,6,23.46,37
2025-11-09T17:54:47.696000+00:00,9869,34.644,1273,13.5,81,34.644,38
2025-11-09T17:55:10.135000+00:00,9869,23.234,1273,2.5,55,23.234,38
2025-11-09T17:56:21.926000+00:00,9869,23.648,1273,2.8,10,23.648,39
2025-11-09T17:59:59.590000+00:00,9869,24.654,1273,3.9,87,24.654,42
2025-11-09T18:01:41.658000+00:00,9869,26.124,1273,5.4,43,26.124,43
2025-11-09T18:05:21.290000+00:00,9869,23.563,1273,2.7,14,23.563,46
2025-11-09T18:06:00.862000+00:00,9869,23.401,1273,2.2,12,23.401,47
2025-11-09T18:06:32.445000+00:00,9869,24.177,1273,2.9,31,24.177,47
2025-11-09T18:06:55.174000+00:00,9869,33.841,1273,13.0,22,33.841,47
2025-11-09T18:07:18.286000+00:00,9869,23.128,1273,2.3,63,23.128,48
2025-11-09T18:09:35.109000+00:00,9869,23.238,1273,2.2,4,23.238,50
2025-11-09T18:11:07.234000+00:00,9869,23.113,1273,2.2,81,23.113,51
2025-11-09T18:14:45.259000+00:00,9869,23.311,1273,2.5,1,23.311,54
2025-11-09T18:15:22.847000+00:00,9869,22.968,1273,2.4,18,22.968,54
2025-11-09T18:16:32.416000+00:00,9869,23.112,1273,2.3,23,23.112,55
