date,session_key,position,driver_number,meeting_key
2025-11-09T16:06:27.529000+00:00,9869,1,4,1273
2025-11-09T16:06:27.529000+00:00,9869,2,12,1273
2025-11-09T16:06:27.529000+00:00,9869,3,16,1273
2025-11-09T16:06:27.529000+00:00,9869,4,81,1273
2025-11-09T16:06:27.529000+00:00,9869,5,6,1273
2025-11-09T16:06:27.529000+00:00,9869,6,63,1273
2025-11-09T16:06:27.529000+00:00,9869,7,30,1273
2025-11-09T16:06:27.529000+00:00,9869,8,87,1273
2025-11-09T16:06:27.529000+00:00,9869,9,10,1273
2025-11-09T16:06:27.529000+00:00,9869,10,27,1273
2025-11-09T16:06:27.529000+00:00,9869,11,14,1273
2025-11-09T16:06:27.529000+00:00,9869,12,23,1273
2025-11-09T16:06:27.529000+00:00,9869,13,44,1273
2025-11-09T16:06:27.529000+00:00,9869,14,18,1273
2025-11-09T16:06:27.529000+00:00,9869,15,55,1273
2025-11-09T16:06:27.529000+00:00,9869,16,43,1273
2025-11-09T16:06:27.529000+00:00,9869,17,22,1273
2025-11-09T16:06:27.529000+00:00,9869,18,5,1273
2025-11-09T16:06:27.529000+00:00,9869,19,1,1273
2025-11-09T16:06:27.529000+00:00,9869,20,31,1273
2025-11-09T17:03:23.462000+00:00,9869,7,63,1273
2025-11-09T17:03:23.462000+00:00,9869,6,30,1273
2025-11-09T17:03:24.424000+00:00,9869,14,44,1273
2025-11-09T17:03:24.424000+00:00,9869,15,18,1273
2025-11-09T17:03:24.424000+00:00,9869,13,55,1273
2025-11-09T17:03:24.733000+00:00,9869,17,43,1273
2025-11-09T17:03:24.733000+00:00,9869,16,22,1273
2025-11-09T17:03:29.818000+00:00,9869,15,44,1273
2025-11-09T17:03:29.818000+00:00,9869,16,18,1273
2025-11-09T17:03:29.818000+00:00,9869,14,22,1273
2025-11-09T17:03:29.872000+00:00,9869,16,44,1273
2025-11-09T17:03:29.872000+00:00,9869,15,18,1273
2025-11-09T17:03:30.144000+00:00,9869,17,44,1273
2025-11-09T17:03:30.144000+00:00,9869,16,43,1273
2025-11-09T17:03:31.899000+00:00,9869,9,87,1273
2025-11-09T17:03:31.899000+00:00,9869,8,10,1273
2025-11-09T17:03:32.199000+00:00,9869,11,27,1273
2025-11-09T17:03:32.199000+00:00,9869,10,14,1273
2025-11-09T17:03:33.750000+00:00,9869,18,44,1273
2025-11-09T17:03:33.750000+00:00,9869,17,5,1273
2025-11-09T17:03:46.230000+00:00,9869,8,63,1273
2025-11-09T17:03:46.230000+00:00,9869,7,10,1273
2025-11-09T17:03:49.518000+00:00,9869,7,63,1273
2025-11-09T17:03:49.518000+00:00,9869,8,10,1273
2025-11-09T17:03:58.121000+00:00,9869,11,27,1273
2025-11-09T17:03:58.121000+00:00,9869,9,14,1273
2025-11-09T17:03:58.121000+00:00,9869,10,87,1273
2025-11-09T17:03:59.742000+00:00,9869,17,43,1273
2025-11-09T17:03:59.742000+00:00,9869,16,5,1273
2025-11-09T17:04:03.300000+00:00,9869,9,87,1273
2025-11-09T17:04:03.300000+00:00,9869,10,14,1273
2025-11-09T17:04:16.432000+00:00,9869,12,27,1273
2025-11-09T17:04:16.432000+00:00,9869,11,23,1273
2025-11-09T17:04:18.253000+00:00,9869,16,43,1273
2025-11-09T17:04:18.253000+00:00,9869,17,5,1273
2025-11-09T17:04:18.612000+00:00,9869,17,44,1273
2025-11-09T17:04:18.612000+00:00,9869,18,5,1273
2025-11-09T17:04:19.393000+00:00,9869,19,5,1273
2025-11-09T17:04:19.393000+00:00,9869,18,1,1273
2025-11-09T17:04:20.334000+00:00,9869,20,5,1273
2025-11-09T17:04:20.334000+00:00,9869,19,31,1273
2025-11-09T17:04:42.019000+00:00,9869,8,87,1273
2025-11-09T17:04:42.019000+00:00,9869,9,10,1273
2025-11-09T17:04:46.156000+00:00,9869,18,44,1273
2025-11-09T17:04:46.156000+00:00,9869,17,1,1273
2025-11-09T17:04:56.863000+00:00,9869,13,27,1273
2025-11-09T17:04:56.863000+00:00,9869,12,55,1273
2025-11-09T17:05:00.867000+00:00,9869,19,44,1273
2025-11-09T17:05:00.867000+00:00,9869,18,31,1273
2025-11-09T17:06:36.679000+00:00,9869,14,18,1273
2025-11-09T17:06:36.679000+00:00,9869,15,22,1273
2025-11-09T17:06:39.065000+00:00,9869,15,43,1273
2025-11-09T17:06:39.065000+00:00,9869,16,22,1273
2025-11-09T17:06:47.133000+00:00,9869,17,22,1273
2025-11-09T17:06:47.133000+00:00,9869,16,1,1273
2025-11-09T17:06:48.378000+00:00,9869,18,22,1273
2025-11-09T17:06:48.378000+00:00,9869,17,31,1273
2025-11-09T17:12:07.388000+00:00,9869,3,12,1273
2025-11-09T17:12:07.388000+00:00,9869,2,16,1273
2025-11-09T17:12:09.985000+00:00,9869,16,43,1273
2025-11-09T17:12:09.985000+00:00,9869,15,1,1273
2025-11-09T17:12:10.471000+00:00,9869,17,22,1273
2025-11-09T17:12:10.471000+00:00,9869,18,31,1273
2025-11-09T17:12:20.536000+00:00,9869,4,12,1273
2025-11-09T17:12:20.536000+00:00,9869,3,16,1273
2025-11-09T17:12:20.536000+00:00,9869,2,81,1273
2025-11-09T17:12:21.149000+00:00,9869,3,12,1273
2025-11-09T17:12:21.149000+00:00,9869,4,16,1273
2025-11-09T17:12:21.225000+00:00,9869,5,16,1273
2025-11-09T17:12:21.225000+00:00,9869,4,6,1273
2025-11-09T17:12:21.373000+00:00,9869,6,16,1273
2025-11-09T17:12:21.373000+00:00,9869,5,30,1273
2025-11-09T17:12:21.647000+00:00,9869,7,16,1273
2025-11-09T17:12:21.647000+00:00,9869,6,63,1273
2025-11-09T17:12:21.821000+00:00,9869,8,16,1273
2025-11-09T17:12:21.821000+00:00,9869,7,87,1273
2025-11-09T17:12:22.101000+00:00,9869,9,16,1273
2025-11-09T17:12:22.101000+00:00,9869,8,10,1273
2025-11-09T17:12:22.406000+00:00,9869,10,16,1273
2025-11-09T17:12:22.406000+00:00,9869,11,14,1273
2025-11-09T17:12:22.406000+00:00,9869,9,23,1273
2025-11-09T17:12:22.847000+00:00,9869,11,16,1273
2025-11-09T17:12:22.847000+00:00,9869,10,14,1273
2025-11-09T17:12:23.066000+00:00,9869,12,16,1273
2025-11-09T17:12:23.066000+00:00,9869,11,55,1273
2025-11-09T17:12:23.168000+00:00,9869,13,16,1273
2025-11-09T17:12:23.168000+00:00,9869,12,27,1273
2025-11-09T17:12:23.461000+00:00,9869,14,16,1273
2025-11-09T17:12:23.461000+00:00,9869,15,18,1273
2025-11-09T17:12:23.461000+00:00,9869,13,1,1273
2025-11-09T17:12:23.875000+00:00,9869,15,16,1273
2025-11-09T17:12:23.875000+00:00,9869,14,18,1273
2025-11-09T17:12:24.302000+00:00,9869,16,16,1273
2025-11-09T17:12:24.302000+00:00,9869,15,43,1273
2025-11-09T17:12:24.335000+00:00,9869,17,16,1273
2025-11-09T17:12:24.335000+00:00,9869,16,22,1273
2025-11-09T17:12:24.522000+00:00,9869,18,16,1273
2025-11-09T17:12:24.522000+00:00,9869,17,31,1273
2025-11-09T17:12:24.821000+00:00,9869,19,16,1273
2025-11-09T17:12:24.821000+00:00,9869,18,44,1273
2025-11-09T17:12:49.852000+00:00,9869,15,18,1273
2025-11-09T17:12:49.852000+00:00,9869,14,43,1273
2025-11-09T17:12:50.326000+00:00,9869,16,18,1273
2025-11-09T17:12:50.326000+00:00,9869,15,22,1273
2025-11-09T17:12:50.809000+00:00,9869,17,18,1273
2025-11-09T17:12:50.809000+00:00,9869,16,31,1273
2025-11-09T17:12:51.401000+00:00,9869,17,44,1273
2025-11-09T17:12:51.401000+00:00,9869,18,18,1273
2025-11-09T17:15:08.902000+00:00,9869,13,43,1273
2025-11-09T17:15:08.902000+00:00,9869,14,1,1273
2025-11-09T17:15:09.789000+00:00,9869,14,22,1273
2025-11-09T17:15:09.789000+00:00,9869,15,1,1273
2025-11-09T17:15:10.364000+00:00,9869,16,1,1273
2025-11-09T17:15:10.364000+00:00,9869,15,31,1273
2025-11-09T17:15:10.888000+00:00,9869,16,44,1273
2025-11-09T17:15:10.888000+00:00,9869,17,1,1273
2025-11-09T17:15:25.886000+00:00,9869,17,18,1273
2025-11-09T17:15:25.886000+00:00,9869,18,1,1273
