meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1273,9869,2025-11-09T16:16:20+00:00,,1,Other,,,,,AWNINGS MAY BE USED
1273,9869,2025-11-09T16:20:01+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1273,9869,2025-11-09T16:30:01+00:00,,1,Other,,,,,PIT EXIT CLOSED
1273,9869,2025-11-09T16:45:06+00:00,,1,Other,,,,,RISK OF RAIN FOR F1 RACE IS 40%
1273,9869,2025-11-09T16:52:51+00:00,,1,Flag,DOUBLE YELLOW,Sector,14.0,,DOUBLE YELLOW IN TRACK SECTOR 14
1273,9869,2025-11-09T16:52:51+00:00,,1,Flag,DOUBLE YELLOW,Sector,15.0,,DOUBLE YELLOW IN TRACK SECTOR 15
1273,9869,2025-11-09T16:52:53+00:00,,1,Other,,,,,DRS DISABLED IN ZONE 2
1273,9869,2025-11-09T16:52:55+00:00,,1,Other,,,,,DRS ENABLED IN ZONE 2
1273,9869,2025-11-09T16:52:55+00:00,,1,Flag,CLEAR,Sector,14.0,,CLEAR IN TRACK SECTOR 14
1273,9869,2025-11-09T16:52:55+00:00,,1,Flag,CLEAR,Sector,15.0,,CLEAR IN TRACK SECTOR 15
1273,9869,2025-11-09T16:57:08+00:00,,1,Drs,,,,,DRS DISABLED
1273,9869,2025-11-09T17:03:14+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1273,9869,2025-11-09T17:03:14.078000+00:00,,1,SessionStatus,,,,,SESSION STARTED
1273,9869,2025-11-09T17:04:16+00:00,,1,Flag,DOUBLE YELLOW,Sector,11.0,,DOUBLE YELLOW IN TRACK SECTOR 11
1273,9869,2025-11-09T17:04:58+00:00,,2,SafetyCar,,,,,SAFETY CAR DEPLOYED
1273,9869,2025-11-09T17:06:18+00:00,,3,Other,,,,,RECOVERY VEHICLE ON TRACK AT TURN 10
1273,9869,2025-11-09T17:07:08+00:00,,3,Flag,DOUBLE YELLOW,Sector,10.0,,DOUBLE YELLOW IN TRACK SECTOR 10
1273,9869,2025-11-09T17:09:12+00:00,,4,Flag,CLEAR,Sector,11.0,,CLEAR IN TRACK SECTOR 11
1273,9869,2025-11-09T17:09:53+00:00,,4,Flag,CLEAR,Sector,10.0,,CLEAR IN TRACK SECTOR 10
1273,9869,2025-11-09T17:11:15+00:00,,5,SafetyCar,,,,,SAFETY CAR IN THIS LAP
1273,9869,2025-11-09T17:11:42+00:00,,5,Flag,CLEAR,Track,,,TRACK CLEAR
1273,9869,2025-11-09T17:12:39+00:00,,6,Flag,YELLOW,Sector,5.0,,YELLOW IN TRACK SECTOR 5
1273,9869,2025-11-09T17:12:49+00:00,,6,Flag,DOUBLE YELLOW,Sector,9.0,,DOUBLE YELLOW IN TRACK SECTOR 9
1273,9869,2025-11-09T17:12:55+00:00,,6,Flag,YELLOW,Sector,9.0,,YELLOW IN TRACK SECTOR 9
1273,9869,2025-11-09T17:13:00+00:00,,6,Flag,CLEAR,Sector,9.0,,CLEAR IN TRACK SECTOR 9
1273,9869,2025-11-09T17:13:05+00:00,,6,Drs,,,,,DRS ENABLED
1273,9869,2025-11-09T17:13:07+00:00,,6,Other,,,,,DRS DISABLED IN ZONE 1
1273,9869,2025-11-09T17:13:31+00:00,,7,SafetyCar,,,,,VIRTUAL SAFETY CAR DEPLOYED
1273,9869,2025-11-09T17:16:26+00:00,,8,SafetyCar,,,,,VIRTUAL SAFETY CAR ENDING
1273,9869,2025-11-09T17:16:31+00:00,,8,Flag,CLEAR,Sector,5.0,,CLEAR IN TRACK SECTOR 5
1273,9869,2025-11-09T17:16:38+00:00,,8,Flag,CLEAR,Track,,,TRACK CLEAR
1273,9869,2025-11-09T17:16:39+00:00,,8,Drs,,,,,DRS ENABLED
1273,9869,2025-11-09T17:17:56+00:00,,10,Other,,,,,TURN 8 INCIDENT INVOLVING CARS 22 (TSU) AND 18 (STR) NOTED - CAUSING A COLLISION
1273,9869,2025-11-09T17:18:44+00:00,,10,Other,,,,,FIA STEWARDS: TURN 8 INCIDENT INVOLVING CARS 22 (TSU) AND 18 (STR) UNDER INVESTIGATION - CAUSING A COLLISION
1273,9869,2025-11-09T17:19:50+00:00,,11,Other,,,,,TURN 1 INCIDENT INVOLVING CARS 81 (PIA) AND 12 (ANT) NOTED - CAUSING A COLLISION
1273,9869,2025-11-09T17:21:01+00:00,,12,Other,,,,,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 22 (TSU) - CAUSING A COLLISION
1273,9869,2025-11-09T17:23:20+00:00,,14,Other,,,,,LAP 1 TURN 1 INCIDENT INVOLVING CARS 55 (SAI) AND 44 (HAM) NOTED - CAUSING A COLLISION
1273,9869,2025-11-09T17:25:21+00:00,,16,Other,,,,,TURN 15 INCIDENT INVOLVING CARS 44 (HAM) AND 43 (COL) NOTED - CAUSING A COLLISION
1273,9869,2025-11-09T17:25:37+00:00,,16,Other,,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 81 (PIA) AND 12 (ANT) UNDER INVESTIGATION - CAUSING A COLLISION
