position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,4,71,25.0,False,False,False,5521.596,0.0,1273,9869
2.0,12,71,18.0,False,False,False,5531.984,10.388,1273,9869
3.0,1,71,15.0,False,False,False,5532.346,10.75,1273,9869
4.0,63,71,12.0,False,False,False,5536.863,15.267,1273,9869
5.0,81,71,10.0,False,False,False,5537.345,15.749,1273,9869
6.0,87,71,8.0,False,False,False,5551.226,29.63,1273,9869
7.0,30,71,6.0,False,False,False,5574.238,52.642,1273,9869
8.0,6,71,4.0,False,False,False,5574.469,52.873,1273,9869
9.0,27,71,2.0,False,False,False,5574.92,53.324,1273,9869
10.0,10,71,1.0,False,False,False,5575.51,53.914,1273,9869
11.0,23,71,0.0,False,False,False,5575.78,54.184,1273,9869
12.0,31,71,0.0,False,False,False,5576.292,54.696,1273,9869
13.0,55,71,0.0,False,False,False,5577.016,55.42,1273,9869
14.0,14,71,0.0,False,False,False,5577.362,55.766,1273,9869
15.0,43,71,0.0,False,False,False,5579.373,57.777,1273,9869
16.0,18,71,0.0,False,False,False,5579.843,58.247,1273,9869
17.0,22,71,0.0,False,False,False,5590.772,69.176,1273,9869
,44,37,0.0,True,False,False,,,1273,9869
,16,5,0.0,True,False,False,,,1273,9869
,5,0,0.0,True,False,False,,,1273,9869
