meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1257,10014,4,1,1,62.0,77.0
1257,10014,81,3,2,49.0,74.0
1257,10014,1,2,3,61.0,69.0
1257,10014,63,4,4,45.0,63.0
1257,10014,16,6,5,20.0,32.0
1257,10014,12,5,6,30.0,30.0
1257,10014,44,8,7,15.0,25.0
1257,10014,23,7,8,18.0,18.0
1257,10014,31,9,9,10.0,14.0
1257,10014,18,10,10,10.0,10.0
1257,10014,10,16,11,0.0,6.0
1257,10014,27,11,12,6.0,6.0
1257,10014,87,12,13,5.0,6.0
1257,10014,22,14,14,3.0,5.0
1257,10014,6,13,15,4.0,4.0
1257,10014,55,15,16,1.0,1.0
1257,10014,14,17,17,0.0,0.0
1257,10014,30,18,18,0.0,0.0
1257,10014,7,19,19,0.0,0.0
1257,10014,5,20,20,0.0,0.0
