meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1257,10014,81,1,2025-04-13T15:03:49.173000+00:00,33.127,42.13,23.956,233.0,244.0,False,99.213,"[None, 0, 2049, 2049, 2051, 2051, 2049, 2049, 2051, 2049]","[2051, 2051, 2051, 2049, 2051, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]",250.0
1257,10014,16,1,2025-04-13T15:03:49.173000+00:00,34.565,43.164,24.036,233.0,250.0,False,101.765,"[None, 0, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]",256.0
1257,10014,63,1,2025-04-13T15:03:49.173000+00:00,33.821,42.305,23.82,232.0,249.0,False,99.946,"[None, 0, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2051, 2049, 2049, 2051, 2049, 2051, 2051]",251.0
1257,10014,55,1,2025-04-13T15:03:49.173000+00:00,35.564,43.37,24.064,228.0,245.0,False,102.998,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2048]",257.0
1257,10014,10,1,2025-04-13T15:03:49.173000+00:00,35.235,42.9,24.192,230.0,239.0,False,102.327,"[None, 0, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 0]",256.0
1257,10014,12,1,2025-04-13T15:03:49.173000+00:00,35.266,44.112,24.317,230.0,248.0,False,103.695,"[None, 0, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[0, 0, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]",253.0
1257,10014,22,1,2025-04-13T15:03:49.173000+00:00,36.831,43.866,24.626,236.0,250.0,False,105.323,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",210.0
1257,10014,7,1,2025-04-13T15:03:49.173000+00:00,37.053,43.936,24.529,230.0,240.0,False,105.518,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]",243.0
1257,10014,6,1,2025-04-13T15:03:49.173000+00:00,37.836,46.177,24.661,235.0,252.0,False,108.674,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",243.0
1257,10014,4,1,2025-04-13T15:03:49.173000+00:00,34.431,42.491,23.969,230.0,244.0,False,100.891,"[None, 0, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049]",257.0
1257,10014,31,1,2025-04-13T15:03:49.173000+00:00,37.375,44.392,24.711,229.0,248.0,False,106.478,"[2048, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2048]",247.0
1257,10014,1,1,2025-04-13T15:03:49.173000+00:00,35.914,43.964,24.393,209.0,234.0,False,104.271,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051]",258.0
1257,10014,14,1,2025-04-13T15:03:49.173000+00:00,37.119,44.353,24.669,228.0,248.0,False,106.141,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2048]",237.0
1257,10014,23,1,2025-04-13T15:03:49.173000+00:00,37.451,44.973,24.627,229.0,236.0,False,107.051,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",228.0
1257,10014,44,1,2025-04-13T15:03:49.173000+00:00,36.302,44.052,24.672,234.0,250.0,False,105.026,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",269.0
1257,10014,30,1,2025-04-13T15:03:49.173000+00:00,38.44,45.461,25.158,216.0,251.0,False,109.059,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2051]",279.0
1257,10014,27,1,2025-04-13T15:03:49.173000+00:00,38.756,45.95,25.269,227.0,247.0,False,109.975,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051]",264.0
1257,10014,5,1,2025-04-13T15:03:49.173000+00:00,38.553,45.871,25.386,213.0,239.0,False,109.81,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",256.0
1257,10014,18,1,2025-04-13T15:03:49.173000+00:00,38.593,45.459,25.112,200.0,242.0,False,109.164,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2048]",266.0
1257,10014,87,1,2025-04-13T15:03:49.173000+00:00,37.889,44.929,24.432,196.0,241.0,False,107.25,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2048]",259.0
1257,10014,81,2,2025-04-13T15:05:28.385000+00:00,31.139,42.343,24.01,234.0,239.0,False,97.492,"[2049, 2049, 2049, 2049, 2048, 2049, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2051, 2049, 2049, 2049, 2048, 2049, 2048]","[2048, 2048, 2049, 2049, 2048, 2048]",288.0
1257,10014,63,2,2025-04-13T15:05:29.118000+00:00,31.075,42.83,23.912,228.0,246.0,False,97.817,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2049, 2049]",296.0
1257,10014,4,2,2025-04-13T15:05:30.063000+00:00,31.193,42.593,24.124,231.0,242.0,False,97.91,"[2049, 2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2048, 2049, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2049, 2049]",285.0
1257,10014,16,2,2025-04-13T15:05:30.937000+00:00,31.404,42.615,24.029,223.0,250.0,False,98.048,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2048, 2049, 2048, 2049, 2049, 2048, 2049, 2049]","[2048, 2049, 2049, 2051, 2049, 2048, 2049]",289.0
1257,10014,10,2,2025-04-13T15:05:31.499000+00:00,31.421,42.439,24.204,226.0,245.0,False,98.064,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2051, 2049, 2048, 2048, 2049, 2048, 2049, 2049, 2048, 2049, 2049]","[2048, 2049, 2049, 2048, 2049, 2049, 2049]",274.0
1257,10014,55,2,2025-04-13T15:05:32.170000+00:00,31.186,42.797,24.202,231.0,247.0,False,98.185,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2048, 2048, 2048, 2048, 2049, 2049, 2049, 2048, 2049]","[2048, 2048, 2049, 2049, 2048, 2048, 2049]",301.0
