meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1257,10014,55,1,2025-04-13T15:03:56.492000+00:00,7
1257,10014,55,4,2025-04-13T15:03:56.492000+00:00,6
1257,10014,55,12,2025-04-13T15:03:56.492000+00:00,5
1257,10014,55,10,2025-04-13T15:03:56.492000+00:00,4
1257,10014,55,63,2025-04-13T15:03:56.492000+00:00,3
1257,10014,55,16,2025-04-13T15:03:56.492000+00:00,2
1257,10014,55,81,2025-04-13T15:03:56.492000+00:00,1
1257,10014,1,4,2025-04-13T15:03:56.590000+00:00,7
1257,10014,1,12,2025-04-13T15:03:56.590000+00:00,6
1257,10014,1,10,2025-04-13T15:03:56.590000+00:00,5
1257,10014,1,63,2025-04-13T15:03:56.590000+00:00,4
1257,10014,1,16,2025-04-13T15:03:56.590000+00:00,3
1257,10014,1,81,2025-04-13T15:03:56.590000+00:00,2
1257,10014,44,4,2025-04-13T15:03:56.676000+00:00,8
1257,10014,44,12,2025-04-13T15:03:56.676000+00:00,7
1257,10014,44,10,2025-04-13T15:03:56.676000+00:00,6
1257,10014,44,63,2025-04-13T15:03:56.676000+00:00,5
1257,10014,44,16,2025-04-13T15:03:56.676000+00:00,4
1257,10014,44,81,2025-04-13T15:03:56.676000+00:00,3
1257,10014,22,4,2025-04-13T15:03:56.718000+00:00,9
1257,10014,22,12,2025-04-13T15:03:56.718000+00:00,8
1257,10014,22,10,2025-04-13T15:03:56.718000+00:00,7
1257,10014,22,63,2025-04-13T15:03:56.718000+00:00,6
1257,10014,22,16,2025-04-13T15:03:56.718000+00:00,5
1257,10014,22,81,2025-04-13T15:03:56.718000+00:00,4
1257,10014,7,4,2025-04-13T15:03:57.138000+00:00,10
1257,10014,7,12,2025-04-13T15:03:57.138000+00:00,9
1257,10014,7,10,2025-04-13T15:03:57.138000+00:00,8
1257,10014,7,63,2025-04-13T15:03:57.138000+00:00,7
1257,10014,7,16,2025-04-13T15:03:57.138000+00:00,6
1257,10014,7,81,2025-04-13T15:03:57.138000+00:00,5
1257,10014,81,7,2025-04-13T15:03:57.219000+00:00,5
1257,10014,81,22,2025-04-13T15:03:57.219000+00:00,4
1257,10014,81,44,2025-04-13T15:03:57.219000+00:00,3
1257,10014,81,1,2025-04-13T15:03:57.219000+00:00,2
1257,10014,81,55,2025-04-13T15:03:57.219000+00:00,1
1257,10014,6,4,2025-04-13T15:03:57.256000+00:00,11
1257,10014,6,12,2025-04-13T15:03:57.256000+00:00,10
1257,10014,6,10,2025-04-13T15:03:57.256000+00:00,9
1257,10014,6,63,2025-04-13T15:03:57.256000+00:00,8
1257,10014,6,16,2025-04-13T15:03:57.256000+00:00,7
1257,10014,63,16,2025-04-13T15:03:57.336000+00:00,8
1257,10014,63,6,2025-04-13T15:03:57.336000+00:00,7
1257,10014,63,7,2025-04-13T15:03:57.336000+00:00,6
1257,10014,63,22,2025-04-13T15:03:57.336000+00:00,5
1257,10014,63,44,2025-04-13T15:03:57.336000+00:00,4
1257,10014,63,1,2025-04-13T15:03:57.336000+00:00,3
1257,10014,63,55,2025-04-13T15:03:57.336000+00:00,2
1257,10014,16,6,2025-04-13T15:03:57.364000+00:00,8
1257,10014,16,7,2025-04-13T15:03:57.364000+00:00,7
1257,10014,16,22,2025-04-13T15:03:57.364000+00:00,6
1257,10014,16,44,2025-04-13T15:03:57.364000+00:00,5
1257,10014,16,1,2025-04-13T15:03:57.364000+00:00,4
1257,10014,16,55,2025-04-13T15:03:57.364000+00:00,3
1257,10014,14,4,2025-04-13T15:03:57.389000+00:00,12
1257,10014,14,12,2025-04-13T15:03:57.389000+00:00,11
1257,10014,14,10,2025-04-13T15:03:57.389000+00:00,10
1257,10014,14,6,2025-04-13T15:03:57.389000+00:00,9
1257,10014,23,31,2025-04-13T15:03:57.843000+00:00,14
1257,10014,23,4,2025-04-13T15:03:57.843000+00:00,13
1257,10014,23,12,2025-04-13T15:03:57.843000+00:00,12
1257,10014,23,10,2025-04-13T15:03:57.843000+00:00,11
1257,10014,23,6,2025-04-13T15:03:57.843000+00:00,10
1257,10014,31,4,2025-04-13T15:03:58.111000+00:00,14
1257,10014,31,12,2025-04-13T15:03:58.111000+00:00,13
1257,10014,31,10,2025-04-13T15:03:58.111000+00:00,12
1257,10014,10,31,2025-04-13T15:03:58.245000+00:00,12
1257,10014,10,6,2025-04-13T15:03:58.245000+00:00,11
1257,10014,10,23,2025-04-13T15:03:58.245000+00:00,10
1257,10014,10,14,2025-04-13T15:03:58.245000+00:00,9
1257,10014,10,7,2025-04-13T15:03:58.245000+00:00,8
1257,10014,10,22,2025-04-13T15:03:58.245000+00:00,7
1257,10014,10,44,2025-04-13T15:03:58.245000+00:00,6
1257,10014,10,1,2025-04-13T15:03:58.245000+00:00,5
1257,10014,10,55,2025-04-13T15:03:58.245000+00:00,4
1257,10014,4,12,2025-04-13T15:03:58.279000+00:00,14
1257,10014,4,31,2025-04-13T15:03:58.279000+00:00,13
1257,10014,4,6,2025-04-13T15:03:58.279000+00:00,12
1257,10014,4,23,2025-04-13T15:03:58.279000+00:00,11
1257,10014,4,14,2025-04-13T15:03:58.279000+00:00,10
1257,10014,4,7,2025-04-13T15:03:58.279000+00:00,9
1257,10014,4,22,2025-04-13T15:03:58.279000+00:00,8
1257,10014,4,44,2025-04-13T15:03:58.279000+00:00,7
1257,10014,4,1,2025-04-13T15:03:58.279000+00:00,6
1257,10014,4,55,2025-04-13T15:03:58.279000+00:00,5
1257,10014,12,31,2025-04-13T15:03:58.507000+00:00,14
1257,10014,12,6,2025-04-13T15:03:58.507000+00:00,13
1257,10014,12,23,2025-04-13T15:03:58.507000+00:00,12
1257,10014,12,14,2025-04-13T15:03:58.507000+00:00,11
1257,10014,12,7,2025-04-13T15:03:58.507000+00:00,10
1257,10014,12,22,2025-04-13T15:03:58.507000+00:00,9
1257,10014,12,44,2025-04-13T15:03:58.507000+00:00,8
1257,10014,12,1,2025-04-13T15:03:58.507000+00:00,7
1257,10014,12,55,2025-04-13T15:03:58.507000+00:00,6
1257,10014,30,27,2025-04-13T15:03:58.530000+00:00,16
1257,10014,18,5,2025-04-13T15:03:58.646000+00:00,18
1257,10014,18,27,2025-04-13T15:03:58.646000+00:00,17
1257,10014,87,5,2025-04-13T15:03:58.746000+00:00,19
1257,10014,44,1,2025-04-13T15:03:58.846000+00:00,8
1257,10014,1,44,2025-04-13T15:04:00.619000+00:00,8
1257,10014,7,22,2025-04-13T15:04:01.031000+00:00,10
1257,10014,6,23,2025-04-13T15:04:01.636000+00:00,13
1257,10014,27,18,2025-04-13T15:04:02.158000+00:00,17
1257,10014,44,1,2025-04-13T15:04:05.712000+00:00,8
1257,10014,44,55,2025-04-13T15:04:05.712000+00:00,7
1257,10014,22,7,2025-04-13T15:04:06.370000+00:00,10
1257,10014,23,6,2025-04-13T15:04:06.870000+00:00,13
1257,10014,87,18,2025-04-13T15:04:07.342000+00:00,18
1257,10014,87,27,2025-04-13T15:04:07.342000+00:00,17
1257,10014,4,16,2025-04-13T15:04:09.434000+00:00,3
1257,10014,12,10,2025-04-13T15:04:09.961000+00:00,5
1257,10014,55,44,2025-04-13T15:04:10.424000+00:00,7
1257,10014,1,44,2025-04-13T15:04:10.677000+00:00,8
1257,10014,31,6,2025-04-13T15:04:11.913000+00:00,14
1257,10014,18,27,2025-04-13T15:04:15.554000+00:00,18
1257,10014,5,27,2025-04-13T15:04:15.613000+00:00,19
1257,10014,14,7,2025-04-13T15:04:22.427000+00:00,11
1257,10014,31,23,2025-04-13T15:04:22.851000+00:00,13
1257,10014,7,14,2025-04-13T15:04:25.575000+00:00,11
1257,10014,23,31,2025-04-13T15:04:25.963000+00:00,13
1257,10014,5,18,2025-04-13T15:04:26.937000+00:00,18
1257,10014,10,12,2025-04-13T15:04:28.148000+00:00,5
1257,10014,55,12,2025-04-13T15:04:28.777000+00:00,6
1257,10014,1,12,2025-04-13T15:04:29.003000+00:00,7
1257,10014,44,12,2025-04-13T15:04:29.297000+00:00,8
1257,10014,22,12,2025-04-13T15:04:29.598000+00:00,9
1257,10014,14,12,2025-04-13T15:04:30.223000+00:00,11
1257,10014,31,23,2025-04-13T15:04:30.632000+00:00,13
1257,10014,31,12,2025-04-13T15:04:30.632000+00:00,12
1257,10014,23,12,2025-04-13T15:04:30.683000+00:00,13
1257,10014,6,12,2025-04-13T15:04:31.017000+00:00,14
1257,10014,87,12,2025-04-13T15:04:31.057000+00:00,15
1257,10014,30,12,2025-04-13T15:04:31.437000+00:00,16
1257,10014,18,12,2025-04-13T15:04:32.007000+00:00,18
1257,10014,27,12,2025-04-13T15:04:32.061000+00:00,19
1257,10014,12,27,2025-04-13T15:04:32.273000+00:00,19
1257,10014,12,18,2025-04-13T15:04:32.273000+00:00,18
1257,10014,12,5,2025-04-13T15:04:32.273000+00:00,17
1257,10014,12,30,2025-04-13T15:04:32.273000+00:00,16
1257,10014,12,87,2025-04-13T15:04:32.273000+00:00,15
1257,10014,12,6,2025-04-13T15:04:32.273000+00:00,14
1257,10014,12,23,2025-04-13T15:04:32.273000+00:00,13
1257,10014,12,31,2025-04-13T15:04:32.273000+00:00,12
1257,10014,12,14,2025-04-13T15:04:32.273000+00:00,11
1257,10014,12,7,2025-04-13T15:04:32.273000+00:00,10
1257,10014,12,22,2025-04-13T15:04:32.273000+00:00,9
1257,10014,12,44,2025-04-13T15:04:32.273000+00:00,8
1257,10014,12,1,2025-04-13T15:04:32.273000+00:00,7
1257,10014,12,55,2025-04-13T15:04:32.273000+00:00,6
1257,10014,55,12,2025-04-13T15:04:38.743000+00:00,6
1257,10014,87,6,2025-04-13T15:04:41.781000+00:00,15
1257,10014,30,6,2025-04-13T15:04:55.951000+00:00,16
1257,10014,6,30,2025-04-13T15:05:06.450000+00:00,16
1257,10014,30,6,2025-04-13T15:05:09.647000+00:00,16
1257,10014,18,5,2025-04-13T15:05:09.991000+00:00,18
1257,10014,6,30,2025-04-13T15:05:18.373000+00:00,16
1257,10014,87,23,2025-04-13T15:05:44.536000+00:00,14
1257,10014,27,5,2025-04-13T15:05:45.058000+00:00,19
1257,10014,5,27,2025-04-13T15:05:47.213000+00:00,19
1257,10014,31,14,2025-04-13T15:05:48.980000+00:00,12
1257,10014,23,87,2025-04-13T15:05:49.760000+00:00,14
1257,10014,23,14,2025-04-13T15:07:21.876000+00:00,13
1257,10014,12,55,2025-04-13T15:10:41.030000+00:00,6
1257,10014,87,14,2025-04-13T15:10:41.432000+00:00,14
1257,10014,27,5,2025-04-13T15:10:43.855000+00:00,19
1257,10014,1,55,2025-04-13T15:10:59.426000+00:00,7
1257,10014,5,27,2025-04-13T15:12:19.840000+00:00,19
1257,10014,30,6,2025-04-13T15:13:56.993000+00:00,16
1257,10014,18,6,2025-04-13T15:13:57.802000+00:00,17
1257,10014,5,6,2025-04-13T15:14:04.609000+00:00,18
1257,10014,27,6,2025-04-13T15:14:25.473000+00:00,19
1257,10014,6,27,2025-04-13T15:16:05.207000+00:00,19
1257,10014,23,31,2025-04-13T15:17:11.737000+00:00,12
1257,10014,87,31,2025-04-13T15:17:17.975000+00:00,13
1257,10014,14,31,2025-04-13T15:17:20.171000+00:00,14
1257,10014,30,31,2025-04-13T15:17:21.359000+00:00,15
1257,10014,18,31,2025-04-13T15:17:23.089000+00:00,16
1257,10014,5,31,2025-04-13T15:17:24.494000+00:00,17
1257,10014,44,55,2025-04-13T15:17:35.176000+00:00,8
1257,10014,55,44,2025-04-13T15:17:38.379000+00:00,8
1257,10014,44,55,2025-04-13T15:18:12.316000+00:00,8
1257,10014,22,55,2025-04-13T15:18:21.080000+00:00,9
1257,10014,23,7,2025-04-13T15:18:51.379000+00:00,11
1257,10014,87,7,2025-04-13T15:18:58.271000+00:00,12
1257,10014,14,7,2025-04-13T15:19:00.506000+00:00,13
1257,10014,30,7,2025-04-13T15:19:01.441000+00:00,14
1257,10014,18,7,2025-04-13T15:19:03.066000+00:00,15
1257,10014,5,7,2025-04-13T15:19:04.842000+00:00,16
1257,10014,12,10,2025-04-13T15:19:10.734000+00:00,5
1257,10014,31,7,2025-04-13T15:19:15.139000+00:00,17
1257,10014,6,7,2025-04-13T15:19:21.645000+00:00,18
1257,10014,7,6,2025-04-13T15:19:26.626000+00:00,18
1257,10014,16,4,2025-04-13T15:20:18.540000+00:00,3
1257,10014,12,4,2025-04-13T15:20:27.158000+00:00,4
1257,10014,44,1,2025-04-13T15:20:32.250000+00:00,7
1257,10014,44,10,2025-04-13T15:20:32.250000+00:00,6
1257,10014,44,4,2025-04-13T15:20:32.250000+00:00,5
1257,10014,22,1,2025-04-13T15:20:33.354000+00:00,8
1257,10014,22,10,2025-04-13T15:20:33.354000+00:00,7
1257,10014,22,4,2025-04-13T15:20:33.354000+00:00,6
1257,10014,55,1,2025-04-13T15:20:34.574000+00:00,9
1257,10014,55,10,2025-04-13T15:20:34.574000+00:00,8
1257,10014,55,4,2025-04-13T15:20:34.574000+00:00,7
1257,10014,23,1,2025-04-13T15:20:36.312000+00:00,10
1257,10014,23,10,2025-04-13T15:20:36.312000+00:00,9
1257,10014,23,4,2025-04-13T15:20:36.312000+00:00,8
1257,10014,87,1,2025-04-13T15:20:38.062000+00:00,11
1257,10014,87,10,2025-04-13T15:20:38.062000+00:00,10
1257,10014,87,4,2025-04-13T15:20:38.062000+00:00,9
1257,10014,14,1,2025-04-13T15:20:40.784000+00:00,12
1257,10014,14,10,2025-04-13T15:20:40.784000+00:00,11
1257,10014,14,4,2025-04-13T15:20:40.784000+00:00,10
1257,10014,30,1,2025-04-13T15:20:41.719000+00:00,13
1257,10014,30,10,2025-04-13T15:20:41.719000+00:00,12
1257,10014,30,4,2025-04-13T15:20:41.719000+00:00,11
1257,10014,18,1,2025-04-13T15:20:43.630000+00:00,14
1257,10014,18,10,2025-04-13T15:20:43.630000+00:00,13
1257,10014,18,4,2025-04-13T15:20:43.630000+00:00,12
1257,10014,5,1,2025-04-13T15:20:45.140000+00:00,15
1257,10014,5,10,2025-04-13T15:20:45.140000+00:00,14
1257,10014,5,4,2025-04-13T15:20:45.140000+00:00,13
1257,10014,31,1,2025-04-13T15:20:54.245000+00:00,16
1257,10014,55,22,2025-04-13T15:22:09.767000+00:00,6
1257,10014,23,22,2025-04-13T15:22:16.147000+00:00,7
1257,10014,87,22,2025-04-13T15:22:18.007000+00:00,8
1257,10014,14,22,2025-04-13T15:22:20.787000+00:00,9
1257,10014,30,22,2025-04-13T15:22:21.978000+00:00,10
1257,10014,18,22,2025-04-13T15:22:24.084000+00:00,11
1257,10014,5,22,2025-04-13T15:22:25.396000+00:00,12
1257,10014,4,22,2025-04-13T15:22:27.320000+00:00,13
1257,10014,10,22,2025-04-13T15:22:29.221000+00:00,14
1257,10014,31,22,2025-04-13T15:22:30.918000+00:00,15
1257,10014,1,22,2025-04-13T15:22:32.079000+00:00,16
1257,10014,7,22,2025-04-13T15:22:33.209000+00:00,17
1257,10014,6,22,2025-04-13T15:22:37.708000+00:00,18
1257,10014,4,5,2025-04-13T15:23:25.145000+00:00,12
1257,10014,44,12,2025-04-13T15:23:50.331000+00:00,4
1257,10014,55,12,2025-04-13T15:23:54.808000+00:00,5
1257,10014,23,12,2025-04-13T15:23:56.100000+00:00,6
1257,10014,87,12,2025-04-13T15:23:57.737000+00:00,7
1257,10014,4,18,2025-04-13T15:24:00.394000+00:00,11
1257,10014,14,12,2025-04-13T15:24:00.759000+00:00,8
1257,10014,5,18,2025-04-13T15:24:01.489000+00:00,12
1257,10014,10,18,2025-04-13T15:24:01.757000+00:00,13
1257,10014,30,12,2025-04-13T15:24:02.219000+00:00,9
1257,10014,31,18,2025-04-13T15:24:08.683000+00:00,14
1257,10014,1,18,2025-04-13T15:24:09.062000+00:00,15
1257,10014,7,18,2025-04-13T15:24:11.218000+00:00,16
1257,10014,10,5,2025-04-13T15:24:14.486000+00:00,11
1257,10014,6,18,2025-04-13T15:24:14.857000+00:00,17
1257,10014,22,18,2025-04-13T15:24:16.358000+00:00,18
1257,10014,27,18,2025-04-13T15:24:17.988000+00:00,19
1257,10014,16,63,2025-04-13T15:25:15.473000+00:00,2
1257,10014,44,63,2025-04-13T15:25:29.223000+00:00,3
1257,10014,55,63,2025-04-13T15:25:35.105000+00:00,4
