meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1257,10014,2025-04-13T14:20:01+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1257,10014,2025-04-13T14:30:01+00:00,,1,Other,,,,PIT EXIT CLOSED
1257,10014,2025-04-13T14:45:06+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 0%
1257,10014,2025-04-13T14:57:04+00:00,,1,Drs,,,,DRS DISABLED
1257,10014,2025-04-13T15:03:49+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1257,10014,2025-04-13T15:05:28+00:00,,2,Drs,,,,DRS ENABLED
1257,10014,2025-04-13T15:06:27+00:00,,2,Other,,,,CAR 12 (ANT) LAP DELETED - TRACK LIMITS AT TURN 7 LAP 1 18:04:28
1257,10014,2025-04-13T15:07:50+00:00,,3,Other,,,,INCIDENT INVOLVING CAR 4 (NOR) NOTED - FALSE START - OUT OF POSITION
1257,10014,2025-04-13T15:09:45+00:00,,4,Other,,,,CAR 12 (ANT) LAP DELETED - TRACK LIMITS AT TURN 4 LAP 1 18:04:22
1257,10014,2025-04-13T15:09:50+00:00,,4,Other,,,,CAR 14 (ALO) LAP DELETED - TRACK LIMITS AT TURN 4 LAP 1 18:04:23
1257,10014,2025-04-13T15:10:28+00:00,,5,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 4 (NOR) UNDER INVESTIGATION - FALSE START - OUT OF POSITION
1257,10014,2025-04-13T15:11:40+00:00,,5,Other,,,,CAR 31 (OCO) LAP DELETED - TRACK LIMITS AT TURN 4 LAP 1 18:04:24
1257,10014,2025-04-13T15:12:40+00:00,,6,Other,,,,CAR 6 (HAD) TIME 1:39.603 DELETED - TRACK LIMITS AT TURN 13 LAP 2 18:06:57
1257,10014,2025-04-13T15:14:51+00:00,,7,Other,,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 4 (NOR) - FALSE START - OUT OF POSITION
1257,10014,2025-04-13T15:15:26+00:00,,8,Other,,,,CAR 44 (HAM) LAP DELETED - TRACK LIMITS AT TURN 3 LAP 1 18:04:08
1257,10014,2025-04-13T15:17:32+00:00,,9,Other,,,,CAR 12 (ANT) TIME 1:39.197 DELETED - TRACK LIMITS AT TURN 13 LAP 8 18:16:44
1257,10014,2025-04-13T15:19:11+00:00,,10,Other,,,,CAR 6 (HAD) TIME 1:37.392 DELETED - TRACK LIMITS AT TURN 13 LAP 8 18:17:15
1257,10014,2025-04-13T15:19:44+00:00,,10,Other,,,,CAR 22 (TSU) TIME 1:40.727 DELETED - TRACK LIMITS AT TURN 13 LAP 9 18:18:29
