position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,81,57.0,25.0,False,False,False,5739.435,0.0,1257,10014
2.0,63,57.0,18.0,False,False,False,5754.934,15.499,1257,10014
3.0,4,57.0,15.0,False,False,False,5755.708,16.273,1257,10014
4.0,16,57.0,12.0,False,False,False,5759.114,19.679,1257,10014
5.0,44,57.0,10.0,False,False,False,5767.428,27.993,1257,10014
6.0,1,57.0,8.0,False,False,False,5773.83,34.395,1257,10014
7.0,10,57.0,6.0,False,False,False,5775.437,36.002,1257,10014
8.0,31,57.0,4.0,False,False,False,5783.679,44.244,1257,10014
9.0,22,57.0,2.0,False,False,False,5784.496,45.061,1257,10014
10.0,87,57.0,1.0,False,False,False,5787.029,47.594,1257,10014
11.0,12,57.0,0.0,False,False,False,5787.451,48.016,1257,10014
12.0,23,57.0,0.0,False,False,False,5788.274,48.839,1257,10014
13.0,6,57.0,0.0,False,False,False,5795.749,56.314,1257,10014
14.0,7,57.0,0.0,False,False,False,5797.241,57.806,1257,10014
15.0,14,57.0,0.0,False,False,False,5799.775,60.34,1257,10014
16.0,30,57.0,0.0,False,False,False,5803.87,64.435,1257,10014
17.0,18,57.0,0.0,False,False,False,5804.924,65.489,1257,10014
18.0,5,57.0,0.0,False,False,False,5806.307,66.872,1257,10014
,55,45.0,0.0,True,False,False,,,1257,10014
,27,,0.0,False,False,True,,,1257,10014
