meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1257,10014,1,18,1,12,SOFT,0
1257,10014,1,4,1,10,SOFT,3
1257,10014,1,55,1,14,SOFT,3
1257,10014,1,44,1,17,MEDIUM,0
1257,10014,1,30,1,14,MEDIUM,0
1257,10014,1,5,1,13,MEDIUM,0
1257,10014,1,14,1,16,MEDIUM,0
1257,10014,1,10,1,10,SOFT,3
1257,10014,1,81,1,14,SOFT,3
1257,10014,1,16,1,17,MEDIUM,0
1257,10014,1,22,1,11,SOFT,3
1257,10014,1,87,1,14,SOFT,0
1257,10014,1,31,1,8,SOFT,0
1257,10014,1,6,1,6,SOFT,0
1257,10014,1,12,1,12,SOFT,3
1257,10014,1,63,1,13,SOFT,3
1257,10014,1,7,1,9,SOFT,0
1257,10014,1,27,1,5,SOFT,0
1257,10014,1,23,1,16,SOFT,0
1257,10014,1,1,1,10,SOFT,3
1257,10014,2,27,6,27,MEDIUM,0
1257,10014,2,6,7,28,MEDIUM,0
1257,10014,2,31,9,27,MEDIUM,0
1257,10014,2,7,10,28,MEDIUM,0
1257,10014,2,4,11,32,MEDIUM,0
1257,10014,2,1,11,26,HARD,0
1257,10014,2,10,11,28,MEDIUM,0
1257,10014,2,22,12,32,MEDIUM,0
1257,10014,2,12,13,27,MEDIUM,0
1257,10014,2,18,13,32,MEDIUM,0
1257,10014,2,63,14,32,MEDIUM,0
1257,10014,2,5,14,32,HARD,0
1257,10014,2,81,15,32,MEDIUM,0
1257,10014,2,55,15,32,MEDIUM,0
1257,10014,2,87,15,32,HARD,0
1257,10014,2,30,15,32,HARD,0
1257,10014,2,23,17,32,HARD,0
1257,10014,2,14,17,32,MEDIUM,0
1257,10014,2,16,18,32,MEDIUM,0
1257,10014,2,44,18,32,MEDIUM,0
1257,10014,3,1,27,57,MEDIUM,0
1257,10014,3,12,28,32,SOFT,3
1257,10014,3,31,28,57,HARD,0
1257,10014,3,27,28,57,MEDIUM,0
1257,10014,3,10,29,57,HARD,0
1257,10014,3,7,29,57,HARD,0
1257,10014,3,6,29,57,HARD,0
1257,10014,3,81,33,57,MEDIUM,0
1257,10014,3,63,33,57,SOFT,3
1257,10014,3,16,33,57,HARD,0
1257,10014,3,4,33,57,MEDIUM,0
1257,10014,3,44,33,57,HARD,0
1257,10014,3,55,33,44,HARD,0
1257,10014,3,22,33,57,SOFT,0
1257,10014,3,87,33,57,SOFT,0
1257,10014,4,12,33,57,SOFT,3
1257,10014,3,23,33,57,MEDIUM,0
1257,10014,3,14,33,57,HARD,0
1257,10014,3,30,33,57,SOFT,0
1257,10014,3,18,33,57,HARD,0
1257,10014,3,5,33,57,MEDIUM,0
1257,10014,4,55,45,45,SOFT,3
