meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1263,9963,81,1,1,186.0,198.0
1263,9963,4,2,2,176.0,176.0
1263,9963,1,3,3,137.0,155.0
1263,9963,63,4,4,111.0,136.0
1263,9963,16,5,5,94.0,104.0
1263,9963,44,6,6,71.0,79.0
1263,9963,12,7,7,48.0,63.0
1263,9963,23,8,8,42.0,42.0
1263,9963,31,10,9,20.0,22.0
1263,9963,6,9,10,21.0,21.0
1263,9963,27,11,11,16.0,20.0
1263,9963,18,12,12,14.0,14.0
1263,9963,55,13,13,12.0,13.0
1263,9963,10,14,14,11.0,11.0
1263,9963,22,15,15,10.0,10.0
1263,9963,14,18,16,2.0,8.0
1263,9963,87,16,17,6.0,6.0
1263,9963,30,17,18,4.0,4.0
1263,9963,5,19,19,0.0,0.0
1263,9963,43,21,20,0.0,0.0
1263,9963,7,20,21,0.0,0.0
