meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1263,9963,63,1,2025-06-15T18:03:04.635000+00:00,26.991,24.278,31.076,244.0,277.0,False,82.345,"[2049, 2051, 2049, 2049, 2051, 2051]","[2049, 2051, 2049, 2051, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051]",301.0
1263,9963,1,1,2025-06-15T18:03:04.635000+00:00,27.536,24.494,30.987,249.0,274.0,False,83.017,"[2049, 2049, 2049, 2051, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",309.0
1263,9963,81,1,2025-06-15T18:03:04.635000+00:00,28.212,25.016,31.133,245.0,281.0,False,84.361,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]",310.0
1263,9963,12,1,2025-06-15T18:03:04.635000+00:00,27.964,24.897,30.891,244.0,278.0,False,83.752,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2051, 2049, 2049]",309.0
1263,9963,44,1,2025-06-15T18:03:04.635000+00:00,28.654,25.117,31.434,247.0,278.0,False,85.205,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]",306.0
1263,9963,14,1,2025-06-15T18:03:04.635000+00:00,28.791,25.305,31.593,245.0,280.0,False,85.689,"[2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",309.0
1263,9963,4,1,2025-06-15T18:03:04.635000+00:00,29.241,25.474,31.474,247.0,280.0,False,86.189,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",311.0
1263,9963,16,1,2025-06-15T18:03:04.635000+00:00,29.538,25.593,31.605,253.0,279.0,False,86.736,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2049]",312.0
1263,9963,23,1,2025-06-15T18:03:04.635000+00:00,30.413,26.72,32.806,237.0,274.0,False,89.939,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2048, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",310.0
1263,9963,43,1,2025-06-15T18:03:04.635000+00:00,30.054,26.82,32.331,246.0,275.0,False,89.205,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",307.0
