meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1263,9963,4,14,2025-06-15T18:03:18.760000+00:00,6
1263,9963,43,23,2025-06-15T18:03:19.432000+00:00,9
1263,9963,6,27,2025-06-15T18:03:19.885000+00:00,11
1263,9963,27,6,2025-06-15T18:03:20.260000+00:00,11
1263,9963,31,87,2025-06-15T18:03:20.260000+00:00,13
1263,9963,87,31,2025-06-15T18:03:20.651000+00:00,13
1263,9963,55,5,2025-06-15T18:03:21.088000+00:00,15
1263,9963,22,18,2025-06-15T18:03:21.182000+00:00,17
1263,9963,18,22,2025-06-15T18:03:21.354000+00:00,17
1263,9963,12,81,2025-06-15T18:03:21.948000+00:00,3
1263,9963,81,12,2025-06-15T18:03:21.963000+00:00,3
1263,9963,14,4,2025-06-15T18:03:22.682000+00:00,6
1263,9963,12,81,2025-06-15T18:03:25.166000+00:00,3
1263,9963,6,27,2025-06-15T18:03:27.369000+00:00,11
1263,9963,87,27,2025-06-15T18:03:27.541000+00:00,12
1263,9963,27,87,2025-06-15T18:03:27.698000+00:00,12
1263,9963,27,6,2025-06-15T18:03:27.698000+00:00,11
1263,9963,18,5,2025-06-15T18:03:28.698000+00:00,16
1263,9963,22,5,2025-06-15T18:03:28.744000+00:00,17
1263,9963,5,22,2025-06-15T18:03:28.916000+00:00,17
1263,9963,5,18,2025-06-15T18:03:28.916000+00:00,16
1263,9963,22,18,2025-06-15T18:03:32.838000+00:00,17
1263,9963,23,43,2025-06-15T18:03:48.932000+00:00,9
1263,9963,43,23,2025-06-15T18:03:54.042000+00:00,9
1263,9963,27,23,2025-06-15T18:03:54.463000+00:00,10
1263,9963,6,23,2025-06-15T18:03:54.870000+00:00,11
1263,9963,87,23,2025-06-15T18:03:55.401000+00:00,12
1263,9963,31,23,2025-06-15T18:03:55.776000+00:00,13
1263,9963,55,23,2025-06-15T18:03:56.307000+00:00,14
1263,9963,5,23,2025-06-15T18:03:56.588000+00:00,15
1263,9963,22,23,2025-06-15T18:03:56.948000+00:00,16
1263,9963,18,23,2025-06-15T18:03:57.323000+00:00,17
1263,9963,23,18,2025-06-15T18:03:57.885000+00:00,17
1263,9963,23,22,2025-06-15T18:03:57.885000+00:00,16
1263,9963,23,5,2025-06-15T18:03:57.885000+00:00,15
1263,9963,23,55,2025-06-15T18:03:57.885000+00:00,14
1263,9963,23,31,2025-06-15T18:03:57.885000+00:00,13
1263,9963,23,87,2025-06-15T18:03:57.885000+00:00,12
1263,9963,23,6,2025-06-15T18:03:57.885000+00:00,11
1263,9963,6,23,2025-06-15T18:04:01.104000+00:00,11
1263,9963,23,6,2025-06-15T18:04:01.120000+00:00,11
1263,9963,6,23,2025-06-15T18:04:08.401000+00:00,11
1263,9963,5,55,2025-06-15T18:04:27.182000+00:00,15
1263,9963,4,14,2025-06-15T18:17:04.020000+00:00,6
1263,9963,12,1,2025-06-15T18:18:29.420000+00:00,2
1263,9963,81,1,2025-06-15T18:18:32.070000+00:00,3
1263,9963,44,1,2025-06-15T18:18:34.140000+00:00,4
1263,9963,4,1,2025-06-15T18:18:36.921000+00:00,5
1263,9963,14,1,2025-06-15T18:18:39.229000+00:00,6
1263,9963,16,1,2025-06-15T18:18:40.615000+00:00,7
1263,9963,23,6,2025-06-15T18:18:41.429000+00:00,11
1263,9963,27,1,2025-06-15T18:18:44.363000+00:00,8
1263,9963,31,87,2025-06-15T18:18:58.599000+00:00,13
1263,9963,31,6,2025-06-15T18:19:26.505000+00:00,12
1263,9963,16,14,2025-06-15T18:19:45.412000+00:00,6
1263,9963,55,5,2025-06-15T18:19:45.802000+00:00,15
1263,9963,12,63,2025-06-15T18:19:48.021000+00:00,1
1263,9963,81,63,2025-06-15T18:19:49.052000+00:00,2
1263,9963,5,55,2025-06-15T18:19:50.818000+00:00,15
1263,9963,44,63,2025-06-15T18:19:51.318000+00:00,3
1263,9963,4,63,2025-06-15T18:19:53.287000+00:00,4
1263,9963,16,63,2025-06-15T18:19:57.271000+00:00,5
1263,9963,14,63,2025-06-15T18:19:57.802000+00:00,6
1263,9963,87,6,2025-06-15T18:20:10.021000+00:00,13
1263,9963,5,6,2025-06-15T18:20:10.459000+00:00,14
