date,session_key,meeting_key,driver_number,lap_number,lane_duration,pit_duration,stop_duration
2025-06-15T18:18:46.909000+00:00,9963,1263,1,12,23.604,23.604,2.6
2025-06-15T18:20:00.568000+00:00,9963,1263,63,13,23.231,23.231,2.5
2025-06-15T18:20:28.381000+00:00,9963,1263,6,13,24.13,24.13,3.1
2025-06-15T18:21:22.053000+00:00,9963,1263,12,14,23.32,23.32,2.4
2025-06-15T18:21:42.506000+00:00,9963,1263,43,14,24.735,24.735,3.4
2025-06-15T18:22:45.572000+00:00,9963,1263,44,15,23.604,23.604,2.3
2025-06-15T18:22:54.213000+00:00,9963,1263,14,15,24.021,24.021,3.2
2025-06-15T18:23:58.495000+00:00,9963,1263,81,16,23.245,23.245,2.1
2025-06-15T18:27:00.309000+00:00,9963,1263,87,18,23.562,23.562,2.8
2025-06-15T18:28:08.403000+00:00,9963,1263,27,19,23.476,23.476,2.4
2025-06-15T18:33:34.193000+00:00,9963,1263,23,23,23.898,23.898,3.0
2025-06-15T18:34:50.901000+00:00,9963,1263,18,24,23.742,23.742,2.6
2025-06-15T18:39:19.256000+00:00,9963,1263,16,28,23.36,23.36,2.2
2025-06-15T18:40:32.682000+00:00,9963,1263,4,29,23.223,23.223,2.2
2025-06-15T18:50:44.061000+00:00,9963,1263,1,37,23.121,23.121,2.2
2025-06-15T18:52:00.218000+00:00,9963,1263,12,38,23.416,23.416,2.2
2025-06-15T18:52:59.709000+00:00,9963,1263,30,38,23.28,23.28,2.1
2025-06-15T18:56:57.358000+00:00,9963,1263,63,42,24.262,24.262,3.3
2025-06-15T19:00:51.238000+00:00,9963,1263,81,45,23.174,23.174,2.2
2025-06-15T19:01:17.519000+00:00,9963,1263,44,45,23.338,23.338,2.0
2025-06-15T19:03:25.680000+00:00,9963,1263,4,47,23.471,23.471,2.4
2025-06-15T19:07:07.635000+00:00,9963,1263,5,49,23.715,23.715,2.4
2025-06-15T19:07:59.919000+00:00,9963,1263,14,50,23.409,23.409,2.6
2025-06-15T19:09:55.498000+00:00,9963,1263,18,51,34.742,34.742,13.3
2025-06-15T19:11:03.280000+00:00,9963,1263,16,53,23.859,23.859,2.1
2025-06-15T19:12:18.953000+00:00,9963,1263,10,53,23.987,23.987,2.9
2025-06-15T19:15:57.626000+00:00,9963,1263,22,56,25.178,25.178,3.7
2025-06-15T19:17:03.230000+00:00,9963,1263,31,57,24.452,24.452,3.0
2025-06-15T19:17:07.152000+00:00,9963,1263,55,57,23.269,23.269,2.6
2025-06-15T19:28:33.451000+00:00,9963,1263,14,66,18.2,18.2,
2025-06-15T19:28:37.654000+00:00,9963,1263,27,66,18.2,18.2,
2025-06-15T19:28:41.123000+00:00,9963,1263,63,67,18.2,18.2,
2025-06-15T19:28:43.779000+00:00,9963,1263,1,67,18.2,18.2,
2025-06-15T19:28:46.904000+00:00,9963,1263,12,67,18.2,18.2,
2025-06-15T19:28:54.639000+00:00,9963,1263,31,66,18.2,18.2,
2025-06-15T19:28:55.248000+00:00,9963,1263,55,66,18.2,18.2,
2025-06-15T19:28:56.092000+00:00,9963,1263,81,67,26.385,26.385,4.0
2025-06-15T19:29:14.030000+00:00,9963,1263,16,67,18.3,18.3,
2025-06-15T19:29:16.967000+00:00,9963,1263,87,66,27.985,27.985,7.2
2025-06-15T19:29:19.201000+00:00,9963,1263,22,66,18.2,18.2,
2025-06-15T19:29:21.748000+00:00,9963,1263,43,66,18.1,18.1,
2025-06-15T19:29:22.670000+00:00,9963,1263,5,66,18.2,18.2,
2025-06-15T19:29:26.092000+00:00,9963,1263,10,66,18.2,18.2,
2025-06-15T19:29:32.417000+00:00,9963,1263,6,66,23.693,23.693,2.8
2025-06-15T19:29:35.126000+00:00,9963,1263,18,66,23.772,23.772,2.6
2025-06-15T19:29:45.861000+00:00,9963,1263,44,67,18.2,18.2,
2025-06-15T19:30:27.190000+00:00,9963,1263,14,67,18.1,18.1,
2025-06-15T19:30:30.052000+00:00,9963,1263,27,67,18.2,18.2,
2025-06-15T19:30:47.996000+00:00,9963,1263,63,68,19.4,19.4,
2025-06-15T19:30:49.058000+00:00,9963,1263,1,68,19.2,19.2,
2025-06-15T19:30:50.277000+00:00,9963,1263,12,68,18.9,18.9,
2025-06-15T19:30:51.777000+00:00,9963,1263,31,67,18.2,18.2,
2025-06-15T19:30:52.730000+00:00,9963,1263,55,67,18.1,18.1,
2025-06-15T19:30:53.949000+00:00,9963,1263,81,68,18.2,18.2,
2025-06-15T19:31:08.887000+00:00,9963,1263,16,68,18.2,18.2,
2025-06-15T19:31:13.668000+00:00,9963,1263,87,67,18.2,18.2,
2025-06-15T19:31:16.491000+00:00,9963,1263,22,67,18.2,18.2,
2025-06-15T19:31:18.654000+00:00,9963,1263,43,67,18.1,18.1,
2025-06-15T19:31:20.346000+00:00,9963,1263,5,67,18.2,18.2,
2025-06-15T19:31:21.526000+00:00,9963,1263,10,67,18.2,18.2,
2025-06-15T19:31:27.900000+00:00,9963,1263,6,67,18.2,18.2,
2025-06-15T19:31:30.993000+00:00,9963,1263,18,67,18.2,18.2,
2025-06-15T19:31:36.447000+00:00,9963,1263,44,68,18.2,18.2,
2025-06-15T19:32:06.587000+00:00,9963,1263,14,68,18.2,18.2,
2025-06-15T19:32:09.150000+00:00,9963,1263,27,68,18.3,18.3,
2025-06-15T19:32:51.728000+00:00,9963,1263,63,69,18.2,18.2,
2025-06-15T19:32:52.760000+00:00,9963,1263,1,69,18.3,18.3,
2025-06-15T19:32:53.900000+00:00,9963,1263,12,69,18.2,18.2,
2025-06-15T19:32:55.228000+00:00,9963,1263,31,68,18.2,18.2,
2025-06-15T19:32:56.228000+00:00,9963,1263,55,68,18.1,18.1,
2025-06-15T19:32:57.822000+00:00,9963,1263,81,69,18.2,18.2,
2025-06-15T19:32:59.650000+00:00,9963,1263,16,69,18.2,18.2,
2025-06-15T19:33:00.697000+00:00,9963,1263,87,68,18.2,18.2,
2025-06-15T19:33:02.791000+00:00,9963,1263,22,68,18.2,18.2,
2025-06-15T19:33:04.510000+00:00,9963,1263,43,68,18.1,18.1,
2025-06-15T19:33:06.244000+00:00,9963,1263,5,68,18.2,18.2,
2025-06-15T19:33:08.260000+00:00,9963,1263,10,68,18.2,18.2,
2025-06-15T19:33:10.916000+00:00,9963,1263,6,68,18.2,18.2,
2025-06-15T19:33:13.025000+00:00,9963,1263,18,68,18.2,18.2,
2025-06-15T19:33:14.229000+00:00,9963,1263,44,69,18.2,18.2,
2025-06-15T19:33:43.135000+00:00,9963,1263,14,69,18.2,18.2,
2025-06-15T19:33:46.010000+00:00,9963,1263,27,69,18.3,18.3,
