date,session_key,meeting_key,driver_number,position
2025-06-15T17:05:15.288000+00:00,9963,1263,63,1
2025-06-15T17:05:15.288000+00:00,9963,1263,1,2
2025-06-15T17:05:15.288000+00:00,9963,1263,81,3
2025-06-15T17:05:15.288000+00:00,9963,1263,12,4
2025-06-15T17:05:15.288000+00:00,9963,1263,44,5
2025-06-15T17:05:15.288000+00:00,9963,1263,14,6
2025-06-15T17:05:15.288000+00:00,9963,1263,4,7
2025-06-15T17:05:15.288000+00:00,9963,1263,16,8
2025-06-15T17:05:15.288000+00:00,9963,1263,23,9
2025-06-15T17:05:15.288000+00:00,9963,1263,43,10
2025-06-15T17:05:15.288000+00:00,9963,1263,27,11
2025-06-15T17:05:15.288000+00:00,9963,1263,6,12
2025-06-15T17:05:15.288000+00:00,9963,1263,87,13
2025-06-15T17:05:15.288000+00:00,9963,1263,31,14
2025-06-15T17:05:15.288000+00:00,9963,1263,5,15
2025-06-15T17:05:15.288000+00:00,9963,1263,55,16
2025-06-15T17:05:15.288000+00:00,9963,1263,18,17
2025-06-15T17:05:15.288000+00:00,9963,1263,22,18
2025-06-15T17:05:15.288000+00:00,9963,1263,30,19
2025-06-15T17:05:15.288000+00:00,9963,1263,10,20
2025-06-15T18:03:18.760000+00:00,9963,1263,14,7
2025-06-15T18:03:18.760000+00:00,9963,1263,4,6
2025-06-15T18:03:19.432000+00:00,9963,1263,23,10
2025-06-15T18:03:19.432000+00:00,9963,1263,43,9
2025-06-15T18:03:19.885000+00:00,9963,1263,27,12
2025-06-15T18:03:19.885000+00:00,9963,1263,6,11
2025-06-15T18:03:20.260000+00:00,9963,1263,27,11
2025-06-15T18:03:20.260000+00:00,9963,1263,6,12
2025-06-15T18:03:20.260000+00:00,9963,1263,87,14
2025-06-15T18:03:20.260000+00:00,9963,1263,31,13
2025-06-15T18:03:20.651000+00:00,9963,1263,87,13
2025-06-15T18:03:20.651000+00:00,9963,1263,31,14
2025-06-15T18:03:21.088000+00:00,9963,1263,5,16
2025-06-15T18:03:21.088000+00:00,9963,1263,55,15
2025-06-15T18:03:21.182000+00:00,9963,1263,18,18
2025-06-15T18:03:21.182000+00:00,9963,1263,22,17
2025-06-15T18:03:21.354000+00:00,9963,1263,18,17
2025-06-15T18:03:21.354000+00:00,9963,1263,22,18
2025-06-15T18:03:21.948000+00:00,9963,1263,81,4
2025-06-15T18:03:21.948000+00:00,9963,1263,12,3
2025-06-15T18:03:21.963000+00:00,9963,1263,81,3
2025-06-15T18:03:21.963000+00:00,9963,1263,12,4
2025-06-15T18:03:22.682000+00:00,9963,1263,14,6
2025-06-15T18:03:22.682000+00:00,9963,1263,4,7
2025-06-15T18:03:25.166000+00:00,9963,1263,81,4
2025-06-15T18:03:25.166000+00:00,9963,1263,12,3
2025-06-15T18:03:27.369000+00:00,9963,1263,27,12
2025-06-15T18:03:27.369000+00:00,9963,1263,6,11
2025-06-15T18:03:27.541000+00:00,9963,1263,27,13
2025-06-15T18:03:27.541000+00:00,9963,1263,87,12
2025-06-15T18:03:27.698000+00:00,9963,1263,27,11
2025-06-15T18:03:27.698000+00:00,9963,1263,6,12
2025-06-15T18:03:27.698000+00:00,9963,1263,87,13
