meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1263,9963,2025-06-15T17:05:00+00:00,,1,Other,,,,PINK HEAD PADDING MATERIAL MUST BE USED
1263,9963,2025-06-15T17:20:00+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1263,9963,2025-06-15T17:30:00+00:00,,1,Other,,,,PIT EXIT CLOSED
1263,9963,2025-06-15T17:45:10+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 0 %
1263,9963,2025-06-15T17:57:03+00:00,,1,Drs,,,,DRS DISABLED
1263,9963,2025-06-15T18:03:05+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1263,9963,2025-06-15T18:04:27+00:00,,2,Drs,,,,DRS ENABLED
1263,9963,2025-06-15T18:05:50+00:00,,3,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 13
1263,9963,2025-06-15T18:07:09+00:00,,4,Flag,CLEAR,Sector,13.0,CLEAR IN TRACK SECTOR 13
1263,9963,2025-06-15T18:08:24+00:00,,5,Other,,,,CAR 12 (ANT) TIME 1:16.878 DELETED - TRACK LIMITS AT TURN 14 LAP 3 14:06:54
1263,9963,2025-06-15T18:10:43+00:00,,6,Other,,,,CAR 23 (ALB) LAP DELETED - TRACK LIMITS AT TURN 9 LAP 1 14:03:53
1263,9963,2025-06-15T18:22:12+00:00,,15,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11
1263,9963,2025-06-15T18:23:03+00:00,,16,Flag,CLEAR,Sector,11.0,CLEAR IN TRACK SECTOR 11
1263,9963,2025-06-15T18:53:08+00:00,30.0,40,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 14:53:07
1263,9963,2025-06-15T18:54:15+00:00,30.0,41,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 14:54:15
1263,9963,2025-06-15T18:57:24+00:00,30.0,43,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 14:57:24
1263,9963,2025-06-15T18:58:31+00:00,,44,Other,,,,CAR 87 (BEA) TIME 1:16.813 DELETED - TRACK LIMITS AT TURN 14 LAP 41 14:56:28
1263,9963,2025-06-15T18:59:05+00:00,30.0,44,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 14:59:04
1263,9963,2025-06-15T18:59:24+00:00,30.0,45,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 14:59:24
1263,9963,2025-06-15T19:01:19+00:00,,46,Other,,,,TURN 13 INCIDENT INVOLVING CARS 18 (STR) AND 10 (GAS) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK
1263,9963,2025-06-15T19:01:26+00:00,30.0,46,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 15:01:26
1263,9963,2025-06-15T19:01:47+00:00,,46,Other,,,,CAR 10 (GAS) TIME 1:18.503 DELETED - TRACK LIMITS AT TURN 14 LAP 44 15:00:21
1263,9963,2025-06-15T19:02:23+00:00,30.0,47,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 15:02:22
1263,9963,2025-06-15T19:02:33+00:00,,47,Other,,,,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CARS 18 (STR) AND 10 (GAS) UNDER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK
1263,9963,2025-06-15T19:03:00+00:00,23.0,47,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:02:59
1263,9963,2025-06-15T19:03:06+00:00,30.0,47,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 15:03:06
1263,9963,2025-06-15T19:03:15+00:00,30.0,48,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 15:03:14
1263,9963,2025-06-15T19:03:44+00:00,23.0,48,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:03:44
1263,9963,2025-06-15T19:03:53+00:00,23.0,48,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:03:52
1263,9963,2025-06-15T19:03:55+00:00,,48,Other,,,,CAR 6 (HAD) TIME 1:18.101 DELETED - TRACK LIMITS AT TURN 14 LAP 45 15:01:37
1263,9963,2025-06-15T19:04:01+00:00,23.0,48,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:04:01
1263,9963,2025-06-15T19:04:07+00:00,,48,Other,,,,INCIDENT INVOLVING CAR 30 (LAW) NOTED - IGNORING BLUE FLAGS
1263,9963,2025-06-15T19:04:24+00:00,,48,Flag,YELLOW,Sector,11.0,YELLOW IN TRACK SECTOR 11
1263,9963,2025-06-15T19:04:29+00:00,,49,Flag,YELLOW,Sector,10.0,YELLOW IN TRACK SECTOR 10
1263,9963,2025-06-15T19:04:35+00:00,,49,Flag,CLEAR,Sector,10.0,CLEAR IN TRACK SECTOR 10
1263,9963,2025-06-15T19:04:41+00:00,,49,Flag,CLEAR,Sector,11.0,CLEAR IN TRACK SECTOR 11
1263,9963,2025-06-15T19:05:00+00:00,,49,Other,,,,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 18 (STR) - FORCING ANOTHER DRIVER OFF THE TRACK
1263,9963,2025-06-15T19:05:32+00:00,30.0,49,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 15:05:32
1263,9963,2025-06-15T19:06:39+00:00,,50,Other,,,,TURN 13 INCIDENT INVOLVING CARS 87 (BEA) AND 6 (HAD) NOTED
1263,9963,2025-06-15T19:07:45+00:00,5.0,51,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 5 (BOR) TIMED AT 15:07:45
1263,9963,2025-06-15T19:07:54+00:00,,51,Other,,,,CAR 87 (BEA) TIME 1:17.889 DELETED - TRACK LIMITS AT TURN 14 LAP 47 15:04:13
1263,9963,2025-06-15T19:10:37+00:00,10.0,53,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:10:37
1263,9963,2025-06-15T19:11:11+00:00,30.0,54,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 15:11:10
1263,9963,2025-06-15T19:11:37+00:00,10.0,54,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:11:37
1263,9963,2025-06-15T19:12:32+00:00,10.0,55,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:12:31
1263,9963,2025-06-15T19:12:52+00:00,6.0,55,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 6 (HAD) TIMED AT 15:12:52
1263,9963,2025-06-15T19:13:09+00:00,6.0,55,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 6 (HAD) TIMED AT 15:13:08
1263,9963,2025-06-15T19:13:44+00:00,6.0,56,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 6 (HAD) TIMED AT 15:13:43
1263,9963,2025-06-15T19:13:52+00:00,,56,Other,,,,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CARS 87 (BEA) AND 6 (HAD) REVIEWED NO FURTHER INVESTIGATION
1263,9963,2025-06-15T19:14:11+00:00,6.0,56,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 6 (HAD) TIMED AT 15:14:10
1263,9963,2025-06-15T19:14:43+00:00,87.0,57,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 15:14:42
1263,9963,2025-06-15T19:14:45+00:00,6.0,57,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 6 (HAD) TIMED AT 15:14:44
1263,9963,2025-06-15T19:15:12+00:00,87.0,57,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 15:15:11
1263,9963,2025-06-15T19:15:22+00:00,43.0,57,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:15:21
1263,9963,2025-06-15T19:15:40+00:00,43.0,57,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:15:40
1263,9963,2025-06-15T19:15:45+00:00,87.0,57,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 15:15:44
1263,9963,2025-06-15T19:15:52+00:00,87.0,58,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 15:15:52
1263,9963,2025-06-15T19:16:15+00:00,43.0,58,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:16:15
1263,9963,2025-06-15T19:16:16+00:00,87.0,58,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 15:16:15
1263,9963,2025-06-15T19:16:25+00:00,43.0,58,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:16:24
1263,9963,2025-06-15T19:16:26+00:00,87.0,58,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 15:16:26
1263,9963,2025-06-15T19:16:46+00:00,,58,Other,,,,TURN 14 INCIDENT INVOLVING CAR 87 (BEA) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS
1263,9963,2025-06-15T19:16:55+00:00,43.0,58,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:16:55
1263,9963,2025-06-15T19:17:01+00:00,,59,Other,,,,CAR 87 (BEA) TIME 1:16.646 DELETED - TRACK LIMITS AT TURN 14 LAP 55 15:14:22
1263,9963,2025-06-15T19:17:12+00:00,31.0,59,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:17:11
1263,9963,2025-06-15T19:17:13+00:00,,59,Other,,,,CAR 55 (SAI) TIME 1:17.283 DELETED - TRACK LIMITS AT TURN 14 LAP 56 15:15:25
1263,9963,2025-06-15T19:17:20+00:00,31.0,59,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:17:19
1263,9963,2025-06-15T19:18:00+00:00,5.0,59,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 5 (BOR) TIMED AT 15:17:59
1263,9963,2025-06-15T19:18:01+00:00,,59,Other,,,,FIA STEWARDS: PENALTY SERVED - 10 SECOND TIME PENALTY FOR CAR 18 (STR) - FORCING ANOTHER DRIVER OFF THE TRACK
1263,9963,2025-06-15T19:18:44+00:00,,60,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 10
1263,9963,2025-06-15T19:18:47+00:00,,60,Flag,CLEAR,Sector,10.0,CLEAR IN TRACK SECTOR 10
1263,9963,2025-06-15T19:19:22+00:00,,60,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 30 (LAW) REVIEWED NO FURTHER INVESTIGATION - IGNORING BLUE FLAGS
1263,9963,2025-06-15T19:21:33+00:00,22.0,62,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 15:21:32
1263,9963,2025-06-15T19:21:55+00:00,22.0,62,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 15:21:55
1263,9963,2025-06-15T19:22:31+00:00,6.0,63,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 6 (HAD) TIMED AT 15:22:30
1263,9963,2025-06-15T19:22:54+00:00,,63,Other,,,,FIA STEWARDS: TURN 14 INCIDENT INVOLVING CAR 87 (BEA) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS
1263,9963,2025-06-15T19:23:04+00:00,43.0,63,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:23:03
1263,9963,2025-06-15T19:26:31+00:00,,66,Other,,,,CAR 16 (LEC) TIME 1:15.338 DELETED - TRACK LIMITS AT TURN 14 LAP 65 15:25:57
1263,9963,2025-06-15T19:27:05+00:00,,67,Flag,DOUBLE YELLOW,Sector,1.0,DOUBLE YELLOW IN TRACK SECTOR 1
1263,9963,2025-06-15T19:27:05+00:00,,67,Flag,YELLOW,Sector,1.0,YELLOW IN TRACK SECTOR 1
1263,9963,2025-06-15T19:27:06+00:00,,67,Other,,,,DRS DISABLED IN ZONE 3
1263,9963,2025-06-15T19:27:19+00:00,,67,Flag,DOUBLE YELLOW,Sector,1.0,DOUBLE YELLOW IN TRACK SECTOR 1
1263,9963,2025-06-15T19:27:23+00:00,,67,Flag,YELLOW,Sector,15.0,YELLOW IN TRACK SECTOR 15
1263,9963,2025-06-15T19:27:32+00:00,,67,SafetyCar,,,,SAFETY CAR DEPLOYED
1263,9963,2025-06-15T19:27:49+00:00,,67,Other,,,,ALL CARS TO FOLLOW THE SAFETY CAR THROUGH THE PIT LANE
1263,9963,2025-06-15T19:33:50+00:00,,70,Other,,,,PIT LANE ENTRY OPEN
1263,9963,2025-06-15T19:34:01+00:00,,70,Flag,CLEAR,Sector,15.0,CLEAR IN TRACK SECTOR 15
1263,9963,2025-06-15T19:34:03+00:00,,70,Flag,CLEAR,Sector,1.0,CLEAR IN TRACK SECTOR 1
1263,9963,2025-06-15T19:34:56+00:00,,70,Flag,CHEQUERED,Track,,CHEQUERED FLAG
1263,9963,2025-06-15T19:39:31+00:00,,70,Other,,,,TURN 2 INCIDENT INVOLVING CARS 31 (OCO) AND 55 (SAI) NOTED - DRIVING ERRATICALLY
1263,9963,2025-06-15T19:39:45+00:00,,70,Flag,CLEAR,Track,,TRACK CLEAR
1263,9963,2025-06-15T19:44:20+00:00,,70,Other,,,,FIA STEWARDS: TURN 2 INCIDENT INVOLVING CARS 31 (OCO) AND 55 (SAI) WILL BE INVESTIGATED AFTER THE RACE - DRIVING ERRATICALLY
1263,9963,2025-06-15T19:48:27+00:00,,70,Other,,,,"INCIDENT INVOLVING CARS 12 (ANT), 81 (PIA), 31 (OCO), 16 (LEC), 55 (SAI), 10 (GAS) AND 18 (STR) NOTED - SAFETY CAR INFRINGEMENT"
1263,9963,2025-06-15T19:54:57+00:00,,70,Other,,,,START/FINISH STRAIGHT INCIDENT INVOLVING CARS 4 (NOR) AND 81 (PIA) NOTED - CAUSING A COLLISION
1263,9963,2025-06-15T19:58:16+00:00,,70,Other,,,,"FIA STEWARDS: INCIDENT INVOLVING CARS 12 (ANT), 81 (PIA), 31 (OCO), 16 (LEC), 55 (SAI), 10 (GAS) AND 18 (STR) WILL BE INVESTIGATED AFTER THE RACE - SAFETY CAR INFRINGEMENT"
1263,9963,2025-06-15T19:58:19+00:00,,70,Other,,,,FIA STEWARDS: START/FINISH STRAIGHT INCIDENT INVOLVING CARS 4 (NOR) AND 81 (PIA) WILL BE INVESTIGATED AFTER THE RACE - CAUSING A COLLISION
