meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1255,9998,4,1,1,26.0,44.0
1255,9998,1,2,2,24.0,36.0
1255,9998,63,3,3,20.0,35.0
1255,9998,81,6,4,9.0,34.0
1255,9998,12,4,5,14.0,18.0
1255,9998,16,9,6,8.0,18.0
1255,9998,44,7,7,9.0,17.0
1255,9998,23,5,8,10.0,12.0
1255,9998,18,8,9,8.0,8.0
1255,9998,31,13,10,0.0,6.0
1255,9998,27,10,11,6.0,6.0
1255,9998,22,11,12,3.0,3.0
1255,9998,87,14,13,0.0,1.0
1255,9998,10,12,14,0.0,0.0
1255,9998,55,15,15,0.0,0.0
1255,9998,6,16,16,0.0,0.0
1255,9998,30,17,17,0.0,0.0
1255,9998,7,18,18,0.0,0.0
1255,9998,5,19,19,0.0,0.0
1255,9998,14,20,20,0.0,0.0
