meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1255,9998,81,1,2025-03-23T07:03:38.697000+00:00,27.93,28.932,41.859,277.0,272.0,False,98.721,"[2048, 2049, 2051, 2051, 2051, 2049, 2049]","[2051, 2049, 2051, 2051, 2051, 2051]","[2051, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",308.0
1255,9998,63,1,2025-03-23T07:03:38.697000+00:00,28.492,30.02,42.264,287.0,272.0,False,100.776,"[2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]",312.0
1255,9998,4,1,2025-03-23T07:03:38.697000+00:00,28.226,29.65,41.8,281.0,274.0,False,99.676,"[None, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2048]",311.0
1255,9998,1,1,2025-03-23T07:03:38.697000+00:00,29.811,30.53,42.425,278.0,274.0,False,102.766,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",314.0
1255,9998,44,1,2025-03-23T07:03:38.697000+00:00,28.86,30.143,42.199,285.0,269.0,False,101.202,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]",314.0
1255,9998,12,1,2025-03-23T07:03:38.697000+00:00,30.001,30.674,42.716,283.0,272.0,False,103.391,"[2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",316.0
1255,9998,16,1,2025-03-23T07:03:38.697000+00:00,29.516,30.463,42.227,284.0,268.0,False,102.206,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]",312.0
1255,9998,6,1,2025-03-23T07:03:38.697000+00:00,30.153,31.293,43.132,285.0,257.0,False,104.578,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",319.0
1255,9998,22,1,2025-03-23T07:03:38.697000+00:00,30.258,31.071,42.643,287.0,266.0,False,103.972,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",320.0
1255,9998,23,1,2025-03-23T07:03:38.697000+00:00,30.751,31.861,43.138,286.0,269.0,False,105.75,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",322.0
1255,9998,27,1,2025-03-23T07:03:38.697000+00:00,33.037,34.037,43.22,255.0,262.0,False,110.294,"[2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",305.0
1255,9998,31,1,2025-03-23T07:03:38.697000+00:00,30.571,31.062,43.643,287.0,271.0,False,105.276,"[None, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",309.0
1255,9998,14,1,2025-03-23T07:03:38.697000+00:00,31.019,31.518,43.687,284.0,263.0,False,106.224,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]",326.0
1255,9998,18,1,2025-03-23T07:03:38.697000+00:00,31.504,32.225,43.369,284.0,267.0,False,107.098,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",316.0
1255,9998,10,1,2025-03-23T07:03:38.697000+00:00,32.148,31.034,43.277,278.0,274.0,False,106.459,"[2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",318.0
1255,9998,55,1,2025-03-23T07:03:38.697000+00:00,31.683,32.28,43.813,284.0,272.0,False,107.776,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",321.0
1255,9998,87,1,2025-03-23T07:03:38.697000+00:00,32.353,31.818,44.06,281.0,274.0,False,108.231,"[2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]",295.0
1255,9998,7,1,2025-03-23T07:03:38.697000+00:00,32.631,31.857,43.743,275.0,271.0,False,108.231,"[2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",318.0
1255,9998,5,1,2025-03-23T07:03:38.697000+00:00,32.338,43.03,48.608,285.0,262.0,False,123.976,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2064]",301.0
1255,9998,30,1,2025-03-23T07:03:38.697000+00:00,34.555,31.237,43.426,282.0,271.0,False,109.218,"[None, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 0]",312.0
1255,9998,81,2,2025-03-23T07:05:17.417000+00:00,26.193,29.261,42.097,278.0,271.0,False,97.551,"[2049, 2049, 2049, 2048, 2049, 2048, 2049]","[2051, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2049, 2049, 2048]",311.0
1255,9998,4,2,2025-03-23T07:05:18.372000+00:00,25.957,29.636,42.12,280.0,273.0,False,97.713,"[2049, 2049, 2049, 2048, 2051, 2048, 2048]","[2049, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2048, 2049, 2049, 2051]",314.0
1255,9998,63,2,2025-03-23T07:05:19.472000+00:00,26.031,29.608,41.824,282.0,272.0,False,97.463,"[2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2049, 2048, 2049, 2049, 2048, 2048]","[2049, 2048, 2048, 2049, 2049, 2049, 2048, 2048, 2049]",332.0
1255,9998,44,2,2025-03-23T07:05:19.898000+00:00,26.252,29.761,42.159,280.0,270.0,False,98.172,"[2049, 2049, 2049, 2048, 2049, 2048, 2048]","[2049, 2048, 2048, 2049, 2049, 2049]","[2049, 2048, 2048, 2048, 2048, 2051, 2051, 2048, 2049]",315.0
1255,9998,16,2,2025-03-23T07:05:20.902000+00:00,26.368,29.702,42.114,278.0,273.0,False,98.184,"[2049, 2049, 2049, 2048, 2049, 2048, 2048]","[2049, 2048, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2049, 2049, 2048, 2048, 2048, 2049]",329.0
1255,9998,1,2,2025-03-23T07:05:21.462000+00:00,26.397,29.966,41.941,282.0,271.0,False,98.304,"[2049, 2049, 2049, 2049, 2049, 2048, 2049]","[2049, 2048, 2048, 2049, 2049, 2049]","[2049, 2048, 2048, 2049, 2049, 2049, 2048, 2049, 2049]",337.0
1255,9998,12,2,2025-03-23T07:05:22.087000+00:00,26.269,30.015,42.063,278.0,272.0,False,98.347,"[2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2049, 2048, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2049, 2049, 2049, 2049]",337.0
1255,9998,22,2,2025-03-23T07:05:22.668000+00:00,26.419,30.193,42.136,276.0,271.0,False,98.748,"[2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2049, 2048, 2048, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2048, 2049, 2049]",335.0
1255,9998,6,2,2025-03-23T07:05:23.274000+00:00,26.643,30.129,42.489,275.0,270.0,False,99.261,"[2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2049, 2048, 2048, 2049, 2049, 2049]","[2049, 2048, 2048, 2049, 2049, 2049, 2048, 2049, 2048]",337.0
1255,9998,31,2,2025-03-23T07:05:23.972000+00:00,26.39,30.282,42.434,279.0,269.0,False,99.106,"[2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2049, 2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2049, 2049]",333.0
