meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1255,9998,14,27,2025-03-23T07:03:47.171000+00:00,12
1255,9998,4,63,2025-03-23T07:03:48.739000+00:00,2
1255,9998,6,16,2025-03-23T07:03:49.330000+00:00,6
1255,9998,18,27,2025-03-23T07:03:50.306000+00:00,13
1255,9998,87,10,2025-03-23T07:03:50.721000+00:00,16
1255,9998,5,7,2025-03-23T07:03:50.925000+00:00,18
1255,9998,44,1,2025-03-23T07:03:54.350000+00:00,4
1255,9998,16,6,2025-03-23T07:03:54.545000+00:00,6
1255,9998,16,1,2025-03-23T07:03:54.545000+00:00,5
1255,9998,27,18,2025-03-23T07:03:56.225000+00:00,13
1255,9998,10,87,2025-03-23T07:03:56.512000+00:00,16
1255,9998,10,55,2025-03-23T07:03:56.512000+00:00,15
1255,9998,7,5,2025-03-23T07:03:56.931000+00:00,18
1255,9998,12,6,2025-03-23T07:04:01.088000+00:00,7
1255,9998,31,23,2025-03-23T07:04:01.873000+00:00,10
1255,9998,18,27,2025-03-23T07:04:02.531000+00:00,13
1255,9998,55,10,2025-03-23T07:04:02.997000+00:00,15
1255,9998,10,27,2025-03-23T07:04:07.216000+00:00,15
1255,9998,87,27,2025-03-23T07:04:07.387000+00:00,16
1255,9998,5,7,2025-03-23T07:04:07.735000+00:00,18
1255,9998,7,27,2025-03-23T07:04:10.832000+00:00,18
1255,9998,5,87,2025-03-23T07:04:18.272000+00:00,16
1255,9998,87,5,2025-03-23T07:04:21.971000+00:00,16
1255,9998,14,23,2025-03-23T07:04:31.187000+00:00,11
1255,9998,10,55,2025-03-23T07:04:31.920000+00:00,14
1255,9998,10,18,2025-03-23T07:04:31.920000+00:00,13
1255,9998,55,18,2025-03-23T07:04:32.371000+00:00,14
1255,9998,7,5,2025-03-23T07:04:33.172000+00:00,17
1255,9998,30,27,2025-03-23T07:04:34.823000+00:00,19
1255,9998,30,5,2025-03-23T07:04:34.823000+00:00,18
1255,9998,22,6,2025-03-23T07:04:35.372000+00:00,8
1255,9998,27,5,2025-03-23T07:04:35.776000+00:00,19
1255,9998,18,55,2025-03-23T07:04:37.665000+00:00,14
1255,9998,23,14,2025-03-23T07:04:47.601000+00:00,11
1255,9998,7,87,2025-03-23T07:05:39.996000+00:00,16
1255,9998,87,7,2025-03-23T07:05:45.618000+00:00,16
1255,9998,10,14,2025-03-23T07:09:09.737000+00:00,12
1255,9998,18,14,2025-03-23T07:09:10.348000+00:00,13
1255,9998,55,14,2025-03-23T07:09:11.177000+00:00,14
1255,9998,87,14,2025-03-23T07:09:19.623000+00:00,15
1255,9998,7,14,2025-03-23T07:09:19.877000+00:00,16
1255,9998,30,14,2025-03-23T07:09:20.565000+00:00,17
1255,9998,27,14,2025-03-23T07:09:26.602000+00:00,18
1255,9998,5,14,2025-03-23T07:10:56.237000+00:00,19
1255,9998,18,10,2025-03-23T07:20:18.279000+00:00,12
1255,9998,55,10,2025-03-23T07:20:19.112000+00:00,13
1255,9998,87,10,2025-03-23T07:20:21.396000+00:00,14
1255,9998,7,10,2025-03-23T07:20:22.279000+00:00,15
1255,9998,30,10,2025-03-23T07:20:27.790000+00:00,16
1255,9998,27,10,2025-03-23T07:20:32.925000+00:00,17
1255,9998,6,22,2025-03-23T07:21:53.946000+00:00,8
1255,9998,23,31,2025-03-23T07:21:55.557000+00:00,10
1255,9998,23,22,2025-03-23T07:21:55.557000+00:00,9
1255,9998,18,31,2025-03-23T07:21:57.375000+00:00,11
1255,9998,18,22,2025-03-23T07:21:57.375000+00:00,10
1255,9998,55,31,2025-03-23T07:21:58.187000+00:00,12
1255,9998,30,7,2025-03-23T07:22:02.608000+00:00,15
1255,9998,87,31,2025-03-23T07:22:04.817000+00:00,13
1255,9998,87,22,2025-03-23T07:22:04.817000+00:00,12
1255,9998,27,7,2025-03-23T07:22:12.475000+00:00,16
1255,9998,27,31,2025-03-23T07:22:12.475000+00:00,15
1255,9998,27,22,2025-03-23T07:22:12.475000+00:00,14
1255,9998,10,7,2025-03-23T07:22:22.108000+00:00,17
1255,9998,23,6,2025-03-23T07:23:34.405000+00:00,8
1255,9998,23,12,2025-03-23T07:23:34.405000+00:00,7
1255,9998,18,6,2025-03-23T07:23:36.637000+00:00,9
1255,9998,31,10,2025-03-23T07:23:37.285000+00:00,16
1255,9998,55,6,2025-03-23T07:23:42.113000+00:00,10
1255,9998,55,12,2025-03-23T07:23:42.113000+00:00,9
1255,9998,87,6,2025-03-23T07:23:44.081000+00:00,11
1255,9998,87,12,2025-03-23T07:23:44.081000+00:00,10
1255,9998,30,6,2025-03-23T07:23:45.853000+00:00,12
1255,9998,30,12,2025-03-23T07:23:45.853000+00:00,11
1255,9998,27,6,2025-03-23T07:23:51.898000+00:00,13
1255,9998,27,12,2025-03-23T07:23:51.898000+00:00,12
1255,9998,22,6,2025-03-23T07:23:58.216000+00:00,14
1255,9998,31,6,2025-03-23T07:24:00.517000+00:00,15
1255,9998,10,6,2025-03-23T07:24:00.923000+00:00,16
1255,9998,16,44,2025-03-23T07:25:00.929000+00:00,4
1255,9998,23,1,2025-03-23T07:25:17.181000+00:00,6
1255,9998,23,44,2025-03-23T07:25:17.181000+00:00,5
1255,9998,18,1,2025-03-23T07:25:19.954000+00:00,7
1255,9998,18,44,2025-03-23T07:25:19.954000+00:00,6
1255,9998,55,1,2025-03-23T07:25:21.402000+00:00,8
1255,9998,55,44,2025-03-23T07:25:21.402000+00:00,7
1255,9998,87,1,2025-03-23T07:25:23.274000+00:00,9
1255,9998,87,44,2025-03-23T07:25:23.274000+00:00,8
1255,9998,30,1,2025-03-23T07:25:25.029000+00:00,10
1255,9998,30,44,2025-03-23T07:25:25.029000+00:00,9
1255,9998,27,1,2025-03-23T07:25:32.982000+00:00,11
1255,9998,1,27,2025-03-23T07:26:14.898000+00:00,11
1255,9998,4,81,2025-03-23T07:26:33.374000+00:00,1
1255,9998,16,63,2025-03-23T07:26:39.011000+00:00,3
