date,session_key,stop_duration,lap_number,lane_duration,meeting_key,driver_number,pit_duration
2025-03-23T07:06:04.340000+00:00,9998,3.3,1,23.385,1255,5,23.385
2025-03-23T07:20:44.723000+00:00,9998,3.1,10,23.138,1255,10,23.138
2025-03-23T07:22:19.754000+00:00,9998,2.1,11,22.519,1255,22,22.519
2025-03-23T07:22:21.968000+00:00,9998,2.8,11,23.114,1255,31,23.114
2025-03-23T07:22:27.138000+00:00,9998,2.7,11,22.793,1255,7,22.793
2025-03-23T07:23:56.527000+00:00,9998,2.7,12,22.675,1255,12,22.675
2025-03-23T07:23:59.507000+00:00,9998,3.0,12,22.896,1255,6,22.896
2025-03-23T07:25:26.243000+00:00,9998,2.4,13,22.388,1255,44,22.388
2025-03-23T07:25:31.444000+00:00,9998,2.2,13,22.454,1255,1,22.454
2025-03-23T07:26:57.345000+00:00,9998,3.8,14,23.938,1255,81,23.938
2025-03-23T07:27:01.311000+00:00,9998,2.4,14,22.324,1255,63,22.324
2025-03-23T07:28:37.122000+00:00,9998,2.2,15,22.213,1255,4,22.213
2025-03-23T07:28:42.400000+00:00,9998,,15,22.1,1255,16,22.1
2025-03-23T07:32:20.876000+00:00,9998,2.7,17,22.721,1255,55,22.721
2025-03-23T07:34:04.511000+00:00,9998,2.5,18,22.536,1255,30,22.536
2025-03-23T07:37:11.948000+00:00,9998,3.3,20,23.362,1255,23,23.362
2025-03-23T07:37:39.728000+00:00,9998,2.7,20,22.959,1255,27,22.959
2025-03-23T07:47:11.720000+00:00,9998,2.9,26,22.808,1255,87,22.808
2025-03-23T07:47:46.464000+00:00,9998,2.6,26,22.79,1255,5,22.79
2025-03-23T07:54:02.377000+00:00,9998,2.5,30,22.355,1255,30,22.355
2025-03-23T07:58:46.021000+00:00,9998,2.5,33,22.234,1255,6,22.234
2025-03-23T08:01:56.370000+00:00,9998,2.3,35,22.583,1255,22,22.583
2025-03-23T08:03:32.324000+00:00,9998,3.2,36,22.995,1255,18,22.995
2025-03-23T08:04:48.706000+00:00,9998,2.3,37,22.364,1255,44,22.364
2025-03-23T08:20:25.204000+00:00,9998,17.6,46,38.102,1255,22,38.102
