meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1255,9998,2025-03-23T06:20:01+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1255,9998,2025-03-23T06:24:15+00:00,,1,Other,,,,INCIDENT INVOLVING CAR 5 (BOR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT
1255,9998,2025-03-23T06:25:50+00:00,,1,Other,,,,INCIDENT INVOLVING CAR 23 (ALB) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT
1255,9998,2025-03-23T06:28:10+00:00,,1,Other,,,,INCIDENT INVOLVING CAR 22 (TSU) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT
1255,9998,2025-03-23T06:30:01+00:00,,1,Other,,,,PIT EXIT CLOSED
1255,9998,2025-03-23T06:32:39+00:00,,1,Flag,YELLOW,Sector,15.0,YELLOW IN TRACK SECTOR 15
1255,9998,2025-03-23T06:32:40+00:00,,1,Flag,DOUBLE YELLOW,Sector,15.0,DOUBLE YELLOW IN TRACK SECTOR 15
1255,9998,2025-03-23T06:32:53+00:00,,1,Flag,DOUBLE YELLOW,Sector,19.0,DOUBLE YELLOW IN TRACK SECTOR 19
1255,9998,2025-03-23T06:32:54+00:00,,1,Other,,,,DRS DISABLED IN ZONE 2
1255,9998,2025-03-23T06:33:03+00:00,,1,Flag,CLEAR,Sector,19.0,CLEAR IN TRACK SECTOR 19
1255,9998,2025-03-23T06:33:03+00:00,,1,Other,,,,DRS ENABLED IN ZONE 2
1255,9998,2025-03-23T06:33:38+00:00,,1,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 5 (BOR) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT
1255,9998,2025-03-23T06:33:46+00:00,,1,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 23 (ALB) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT
1255,9998,2025-03-23T06:33:52+00:00,,1,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 22 (TSU) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT
1255,9998,2025-03-23T06:34:34+00:00,,1,Flag,DOUBLE YELLOW,Sector,14.0,DOUBLE YELLOW IN TRACK SECTOR 14
1255,9998,2025-03-23T06:34:55+00:00,,1,Flag,CLEAR,Sector,15.0,CLEAR IN TRACK SECTOR 15
1255,9998,2025-03-23T06:34:59+00:00,,1,Flag,CLEAR,Sector,14.0,CLEAR IN TRACK SECTOR 14
1255,9998,2025-03-23T06:36:38+00:00,,1,Other,,,,INCIDENT INVOLVING CAR 27 (HUL) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT
1255,9998,2025-03-23T06:37:40+00:00,,1,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 27 (HUL) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT
1255,9998,2025-03-23T06:45:19+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 10%
1255,9998,2025-03-23T06:57:03+00:00,,1,Drs,,,,DRS DISABLED
1255,9998,2025-03-23T07:03:39+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1255,9998,2025-03-23T07:04:30+00:00,,1,Flag,DOUBLE YELLOW,Sector,10.0,DOUBLE YELLOW IN TRACK SECTOR 10
1255,9998,2025-03-23T07:04:33+00:00,,1,Flag,DOUBLE YELLOW,Sector,9.0,DOUBLE YELLOW IN TRACK SECTOR 9
1255,9998,2025-03-23T07:04:39+00:00,,1,Flag,YELLOW,Sector,10.0,YELLOW IN TRACK SECTOR 10
1255,9998,2025-03-23T07:04:41+00:00,,1,Flag,CLEAR,Sector,10.0,CLEAR IN TRACK SECTOR 10
1255,9998,2025-03-23T07:04:42+00:00,,1,Flag,CLEAR,Sector,9.0,CLEAR IN TRACK SECTOR 9
1255,9998,2025-03-23T07:04:43+00:00,,1,Flag,YELLOW,Sector,8.0,YELLOW IN TRACK SECTOR 8
1255,9998,2025-03-23T07:04:46+00:00,,1,Flag,CLEAR,Sector,8.0,CLEAR IN TRACK SECTOR 8
1255,9998,2025-03-23T07:04:49+00:00,,1,Flag,YELLOW,Sector,8.0,YELLOW IN TRACK SECTOR 8
1255,9998,2025-03-23T07:04:51+00:00,,1,Flag,CLEAR,Sector,8.0,CLEAR IN TRACK SECTOR 8
1255,9998,2025-03-23T07:05:26+00:00,,2,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 10
1255,9998,2025-03-23T07:05:33+00:00,,2,Drs,,,,DRS ENABLED
1255,9998,2025-03-23T07:07:00+00:00,,3,Flag,DOUBLE YELLOW,Sector,10.0,DOUBLE YELLOW IN TRACK SECTOR 10
1255,9998,2025-03-23T07:07:26+00:00,,3,Flag,CLEAR,Sector,10.0,CLEAR IN TRACK SECTOR 10
1255,9998,2025-03-23T07:07:57+00:00,,3,Other,,,,CAR 5 (BOR) LAP DELETED - TRACK LIMITS AT TURN 8 LAP 1 15:04:30
1255,9998,2025-03-23T07:13:03+00:00,,6,Flag,DOUBLE YELLOW,Sector,3.0,DOUBLE YELLOW IN TRACK SECTOR 3
1255,9998,2025-03-23T07:13:09+00:00,,6,Flag,CLEAR,Sector,3.0,CLEAR IN TRACK SECTOR 3
1255,9998,2025-03-23T07:13:55+00:00,,7,Other,,,,CAR 6 (HAD) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 1 15:04:33
