meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1255,9998,1,23,1,20,MEDIUM,0
1255,9998,1,14,1,4,MEDIUM,5
1255,9998,1,16,1,15,MEDIUM,0
1255,9998,1,27,1,20,MEDIUM,0
1255,9998,1,18,1,36,HARD,0
1255,9998,1,7,1,11,MEDIUM,0
1255,9998,1,44,1,13,MEDIUM,0
1255,9998,1,55,1,17,MEDIUM,0
1255,9998,1,22,1,11,MEDIUM,0
1255,9998,1,30,1,18,HARD,0
1255,9998,1,1,1,13,MEDIUM,0
1255,9998,1,6,1,12,MEDIUM,0
1255,9998,1,63,1,14,MEDIUM,0
1255,9998,1,10,1,10,MEDIUM,0
1255,9998,1,5,1,1,MEDIUM,0
1255,9998,1,12,1,12,MEDIUM,0
1255,9998,1,31,1,11,MEDIUM,0
1255,9998,1,81,1,14,MEDIUM,0
1255,9998,1,87,1,26,HARD,0
1255,9998,1,4,1,15,MEDIUM,0
1255,9998,2,5,2,26,HARD,0
1255,9998,2,10,11,56,HARD,0
1255,9998,2,22,12,35,HARD,0
1255,9998,2,31,12,56,HARD,0
1255,9998,2,7,12,56,HARD,0
1255,9998,2,6,13,33,HARD,0
1255,9998,2,12,13,56,HARD,0
1255,9998,2,44,14,37,HARD,0
1255,9998,2,1,14,56,HARD,0
1255,9998,2,81,15,56,HARD,0
1255,9998,2,63,15,56,HARD,0
1255,9998,2,4,16,56,HARD,0
1255,9998,2,16,16,56,HARD,0
1255,9998,2,55,18,56,HARD,0
1255,9998,2,30,19,30,MEDIUM,0
1255,9998,2,23,21,56,HARD,0
1255,9998,2,27,21,55,HARD,0
1255,9998,2,87,27,56,MEDIUM,0
1255,9998,3,5,27,55,HARD,0
1255,9998,3,30,31,56,HARD,0
1255,9998,3,6,34,56,HARD,0
1255,9998,3,22,36,46,HARD,0
1255,9998,2,18,37,56,MEDIUM,0
1255,9998,3,44,38,56,HARD,0
1255,9998,4,22,47,55,MEDIUM,6
