meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1262,9971,81,1,1,161.0,186.0
1262,9971,4,2,2,158.0,176.0
1262,9971,1,3,3,136.0,137.0
1262,9971,63,4,4,99.0,111.0
1262,9971,16,5,5,79.0,94.0
1262,9971,44,6,6,63.0,71.0
1262,9971,12,7,7,48.0,48.0
1262,9971,23,8,8,42.0,42.0
1262,9971,6,10,9,15.0,21.0
1262,9971,31,9,10,20.0,20.0
1262,9971,27,15,11,6.0,16.0
1262,9971,18,11,12,14.0,14.0
1262,9971,55,12,13,12.0,12.0
1262,9971,10,14,14,7.0,11.0
1262,9971,22,13,15,10.0,10.0
1262,9971,87,16,16,6.0,6.0
1262,9971,30,17,17,4.0,4.0
1262,9971,14,18,18,0.0,2.0
1262,9971,5,21,19,0.0,0.0
1262,9971,7,19,20,0.0,0.0
1262,9971,43,20,21,0.0,0.0
