meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1262,9971,4,1,2025-06-01T13:03:17.590000+00:00,28.448,32.807,24.069,255.0,254.0,False,85.324,"[2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2051, 2051, 2049, 2049, 0]",279.0
1262,9971,81,1,2025-06-01T13:03:17.590000+00:00,27.049,32.049,24.119,270.0,258.0,False,83.217,"[None, 2049, 2049, 2051, 2051, 2049, 2049]","[2051, 2049, 2051, 2049, 2051, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051]",278.0
1262,9971,1,1,2025-06-01T13:03:17.590000+00:00,27.923,32.318,24.013,263.0,261.0,False,84.254,"[None, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 0]",280.0
1262,9971,63,1,2025-06-01T13:03:17.590000+00:00,29.586,33.777,24.336,242.0,252.0,False,87.699,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 0]",279.0
1262,9971,12,1,2025-06-01T13:03:17.590000+00:00,29.403,34.011,24.402,255.0,263.0,False,87.816,"[2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 0]",295.0
1262,9971,44,1,2025-06-01T13:03:17.590000+00:00,28.637,32.96,24.259,260.0,261.0,False,85.856,"[None, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 0]",290.0
1262,9971,43,1,2025-06-01T13:03:17.590000+00:00,32.361,35.213,25.536,216.0,238.0,False,93.11,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 0]",291.0
1262,9971,16,1,2025-06-01T13:03:17.590000+00:00,29.629,33.173,24.382,251.0,266.0,False,87.184,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2051, 0]",291.0
1262,9971,10,1,2025-06-01T13:03:17.590000+00:00,29.387,34.3,24.572,251.0,244.0,False,88.259,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",286.0
1262,9971,6,1,2025-06-01T13:03:17.590000+00:00,30.051,34.329,24.794,251.0,248.0,False,89.174,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",304.0
1262,9971,23,1,2025-06-01T13:03:17.590000+00:00,31.107,34.517,25.338,236.0,239.0,False,90.962,"[2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 0]",290.0
1262,9971,14,1,2025-06-01T13:03:17.590000+00:00,30.173,34.254,24.974,240.0,244.0,False,89.401,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 0]",303.0
1262,9971,5,1,2025-06-01T13:03:17.590000+00:00,30.417,34.48,25.08,229.0,242.0,False,89.977,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 0]",303.0
