meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1262,9971,2025-06-01T12:05:01+00:00,,1,Other,,,,BLUE HEAD PADDING MATERIAL MUST BE USED
1262,9971,2025-06-01T12:20:01+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1262,9971,2025-06-01T12:30:01+00:00,,1,Other,,,,PIT EXIT CLOSED
1262,9971,2025-06-01T12:45:07+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 10%
1262,9971,2025-06-01T12:57:01+00:00,,1,Drs,,,,DRS DISABLED
1262,9971,2025-06-01T13:03:18+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1262,9971,2025-06-01T13:04:41+00:00,,2,Drs,,,,DRS ENABLED
1262,9971,2025-06-01T13:10:00+00:00,,5,Other,,,,LAP 1 TURN 1 INCIDENT INVOLVING CAR 27 (HUL) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE
1262,9971,2025-06-01T13:12:04+00:00,,7,Other,,,,FIA STEWARDS: LAP 1 TURN 1 INCIDENT INVOLVING CAR 27 (HUL) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE
1262,9971,2025-06-01T13:20:25+00:00,,13,Other,,,,CAR 43 (COL) TIME 1:23.037 DELETED - TRACK LIMITS AT TURN 13 LAP 12 15:19:55
1262,9971,2025-06-01T13:21:54+00:00,,14,Other,,,,CAR 14 (ALO) TIME 1:30.665 DELETED - TRACK LIMITS AT TURN 5 LAP 13 15:20:33
1262,9971,2025-06-01T13:22:00+00:00,,14,Other,,,,TURN 5 INCIDENT INVOLVING CAR 14 (ALO) NOTED - REJOINING UNSAFELY
1262,9971,2025-06-01T13:23:10+00:00,,15,Other,,,,CAR 12 (ANT) TIME 1:22.313 DELETED - TRACK LIMITS AT TURN 10 LAP 14 15:22:08
1262,9971,2025-06-01T13:24:25+00:00,,16,Other,,,,FIA STEWARDS: TURN 5 INCIDENT INVOLVING CAR 14 (ALO) REVIEWED NO FURTHER INVESTIGATION - REJOINING UNSAFELY
1262,9971,2025-06-01T13:32:54+00:00,,22,Other,,,,CAR 44 (HAM) TIME 1:20.755 DELETED - TRACK LIMITS AT TURN 10 LAP 20 15:30:34
1262,9971,2025-06-01T13:34:43+00:00,,24,Other,,,,CAR 44 (HAM) TIME 1:20.755 WILL BE REINSTATED
1262,9971,2025-06-01T13:37:18+00:00,,26,Other,,,,TURN 1 INCIDENT INVOLVING CARS 23 (ALB) AND 30 (LAW) NOTED
1262,9971,2025-06-01T13:37:25+00:00,,26,Other,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 23 (ALB) AND 30 (LAW) UNDER INVESTIGATION
1262,9971,2025-06-01T13:38:36+00:00,,27,Other,,,,CAR 23 (ALB) TIME 1:23.477 DELETED - TRACK LIMITS AT TURN 2 LAP 24 15:35:34
1262,9971,2025-06-01T13:39:31+00:00,,27,Other,,,,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 23 (ALB) -LEAVING THE TRACK AND GAINING AN ADVANTAGE 
1262,9971,2025-06-01T13:40:47+00:00,,28,Other,,,,TURN 1 INCIDENT INVOLVING CARS 23 (ALB) AND 30 (LAW) NOTED - CAUSING A COLLISION
1262,9971,2025-06-01T13:41:03+00:00,,28,Other,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 23 (ALB) AND 30 (LAW) UNDER INVESTIGATION - CAUSING A COLLISION
1262,9971,2025-06-01T13:42:34+00:00,,29,Other,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 23 (ALB) AND 30 (LAW) NO FURTHER ACTION - CAUSING A COLLISION
1262,9971,2025-06-01T13:43:02+00:00,,30,Other,,,,FIA STEWARDS: PENALTY SERVED - 10 SECOND TIME PENALTY FOR CAR 23 (ALB)
1262,9971,2025-06-01T13:46:30+00:00,,32,Other,,,,TURN 1 INCIDENT INVOLVING CARS 30 (LAW) AND 87 (BEA) NOTED - CAUSING A COLLISION
1262,9971,2025-06-01T13:46:39+00:00,,33,Other,,,,CAR 87 (BEA) TIME 1:23.130 DELETED - TRACK LIMITS AT TURN 2 LAP 31 15:45:05
1262,9971,2025-06-01T13:46:45+00:00,,33,Other,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 30 (LAW) AND 87 (BEA) UNDER INVESTIGATION - CAUSING A COLLISION
1262,9971,2025-06-01T13:47:50+00:00,43.0,33,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:47:50
1262,9971,2025-06-01T13:47:55+00:00,43.0,33,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:47:55
1262,9971,2025-06-01T13:49:30+00:00,43.0,35,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:49:30
1262,9971,2025-06-01T13:49:32+00:00,,35,Other,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 30 (LAW) AND 87 (BEA) NO FURTHER ACTION - CAUSING A COLLISION
1262,9971,2025-06-01T13:51:52+00:00,43.0,36,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:51:52
