position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,81,66,25.0,False,False,False,5577.375,0.0,1262,9971
2.0,4,66,18.0,False,False,False,5579.846,2.471,1262,9971
3.0,16,66,15.0,False,False,False,5587.83,10.455,1262,9971
4.0,63,66,12.0,False,False,False,5588.734,11.359,1262,9971
5.0,27,66,10.0,False,False,False,5591.023,13.648,1262,9971
6.0,44,66,8.0,False,False,False,5592.883,15.508,1262,9971
7.0,6,66,6.0,False,False,False,5593.397,16.022,1262,9971
8.0,10,66,4.0,False,False,False,5595.257,17.882,1262,9971
9.0,14,66,2.0,False,False,False,5598.939,21.564,1262,9971
10.0,1,66,1.0,False,False,False,5599.201,21.826,1262,9971
11.0,30,66,0.0,False,False,False,5602.907,25.532,1262,9971
12.0,5,66,0.0,False,False,False,5603.371,25.996,1262,9971
13.0,22,66,0.0,False,False,False,5606.197,28.822,1262,9971
14.0,55,66,0.0,False,False,False,5606.684,29.309,1262,9971
15.0,43,66,0.0,False,False,False,5608.756,31.381,1262,9971
16.0,31,66,0.0,False,False,False,5609.572,32.197,1262,9971
17.0,87,66,0.0,False,False,False,5614.44,37.065,1262,9971
,12,53,0.0,True,False,False,,,1262,9971
,23,27,0.0,True,False,False,,,1262,9971
