meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1262,9971,1,23,1,6,SOFT,3
1262,9971,1,87,1,8,SOFT,0
1262,9971,1,22,1,8,MEDIUM,0
1262,9971,1,27,1,9,SOFT,0
1262,9971,1,55,1,9,SOFT,0
1262,9971,1,10,1,10,SOFT,2
1262,9971,1,1,1,13,SOFT,3
1262,9971,1,43,1,14,SOFT,0
1262,9971,1,14,1,15,SOFT,2
1262,9971,1,44,1,16,SOFT,3
1262,9971,1,16,1,17,SOFT,1
1262,9971,1,30,1,18,SOFT,0
1262,9971,1,6,1,19,SOFT,3
1262,9971,1,5,1,19,SOFT,3
1262,9971,1,63,1,20,SOFT,3
1262,9971,1,31,1,20,SOFT,0
1262,9971,1,4,1,21,SOFT,0
1262,9971,1,12,1,21,SOFT,3
1262,9971,1,81,1,22,SOFT,0
1262,9971,2,22,9,24,SOFT,0
1262,9971,2,23,7,26,SOFT,0
1262,9971,3,23,27,27,SOFT,20
1262,9971,2,1,14,29,SOFT,0
1262,9971,2,10,11,31,SOFT,3
1262,9971,2,55,10,34,SOFT,0
1262,9971,2,87,9,35,MEDIUM,0
1262,9971,2,16,18,40,MEDIUM,0
1262,9971,2,43,15,39,MEDIUM,0
1262,9971,2,63,21,41,MEDIUM,0
1262,9971,2,14,16,42,MEDIUM,1
1262,9971,2,31,21,43,MEDIUM,0
1262,9971,2,30,19,44,MEDIUM,0
1262,9971,3,22,25,44,SOFT,0
1262,9971,2,27,10,45,MEDIUM,0
1262,9971,2,44,17,46,MEDIUM,0
1262,9971,3,1,30,47,MEDIUM,0
1262,9971,2,4,22,48,MEDIUM,0
1262,9971,2,6,20,48,MEDIUM,0
1262,9971,2,81,23,49,MEDIUM,0
1262,9971,2,12,22,49,MEDIUM,0
1262,9971,2,5,20,49,MEDIUM,0
1262,9971,3,12,50,53,SOFT,3
1262,9971,3,81,50,55,SOFT,3
1262,9971,3,4,49,55,SOFT,3
1262,9971,4,1,48,55,SOFT,3
1262,9971,3,14,43,54,SOFT,3
1262,9971,3,87,36,54,MEDIUM,0
1262,9971,4,22,45,54,SOFT,0
1262,9971,3,16,41,55,MEDIUM,0
1262,9971,3,63,42,55,SOFT,0
1262,9971,3,44,47,55,SOFT,3
1262,9971,3,43,40,54,SOFT,0
1262,9971,3,6,49,55,SOFT,0
1262,9971,3,10,32,55,MEDIUM,0
1262,9971,3,55,35,55,MEDIUM,0
1262,9971,3,27,46,56,SOFT,0
1262,9971,4,81,56,66,SOFT,3
1262,9971,4,4,56,66,SOFT,3
1262,9971,4,16,56,66,SOFT,3
1262,9971,4,63,56,66,SOFT,0
1262,9971,5,1,56,66,HARD,0
1262,9971,4,27,57,66,SOFT,0
1262,9971,4,44,56,66,SOFT,3
1262,9971,4,6,56,66,SOFT,3
1262,9971,4,10,56,66,SOFT,3
1262,9971,4,14,55,66,SOFT,3
1262,9971,3,30,45,66,SOFT,0
1262,9971,3,5,50,66,SOFT,0
1262,9971,4,87,55,66,SOFT,6
1262,9971,5,22,55,66,SOFT,3
1262,9971,4,55,56,66,SOFT,0
1262,9971,4,43,55,66,SOFT,1
1262,9971,3,31,44,66,MEDIUM,0
