meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1277,9947,81,1,1,216.0,234.0
1277,9947,4,2,2,201.0,226.0
1277,9947,1,3,3,155.0,165.0
1277,9947,63,4,4,146.0,147.0
1277,9947,16,5,5,119.0,119.0
1277,9947,44,6,6,91.0,103.0
1277,9947,12,7,7,63.0,63.0
1277,9947,23,8,8,42.0,46.0
1277,9947,27,10,9,22.0,37.0
1277,9947,31,9,10,23.0,23.0
1277,9947,6,11,11,21.0,21.0
1277,9947,18,12,12,14.0,20.0
1277,9947,10,16,13,11.0,19.0
1277,9947,14,13,14,14.0,16.0
1277,9947,55,14,15,13.0,13.0
1277,9947,30,15,16,12.0,12.0
1277,9947,22,17,17,10.0,10.0
1277,9947,87,18,18,6.0,6.0
1277,9947,5,19,19,4.0,4.0
1277,9947,43,20,20,0.0,0.0
1277,9947,7,21,21,0.0,0.0
