meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1277,9947,44,63,2025-07-06T14:04:02.552000+00:00,4
1277,9947,14,16,2025-07-06T14:04:02.943000+00:00,6
1277,9947,14,63,2025-07-06T14:04:02.943000+00:00,5
1277,9947,10,16,2025-07-06T14:04:03.166000+00:00,7
1277,9947,10,63,2025-07-06T14:04:03.166000+00:00,6
1277,9947,55,16,2025-07-06T14:04:03.520000+00:00,8
1277,9947,55,63,2025-07-06T14:04:03.520000+00:00,7
1277,9947,12,16,2025-07-06T14:04:04.191000+00:00,9
1277,9947,12,63,2025-07-06T14:04:04.191000+00:00,8
1277,9947,23,6,2025-07-06T14:04:04.367000+00:00,12
1277,9947,23,22,2025-07-06T14:04:04.367000+00:00,11
1277,9947,23,16,2025-07-06T14:04:04.367000+00:00,10
1277,9947,23,63,2025-07-06T14:04:04.367000+00:00,9
1277,9947,30,31,2025-07-06T14:04:04.602000+00:00,14
1277,9947,30,6,2025-07-06T14:04:04.602000+00:00,13
1277,9947,30,22,2025-07-06T14:04:04.602000+00:00,12
1277,9947,30,16,2025-07-06T14:04:04.602000+00:00,11
1277,9947,30,63,2025-07-06T14:04:04.602000+00:00,10
1277,9947,22,16,2025-07-06T14:04:04.646000+00:00,12
1277,9947,22,63,2025-07-06T14:04:04.646000+00:00,11
1277,9947,31,6,2025-07-06T14:04:04.809000+00:00,14
1277,9947,31,16,2025-07-06T14:04:04.809000+00:00,13
1277,9947,31,63,2025-07-06T14:04:04.809000+00:00,12
1277,9947,18,5,2025-07-06T14:04:05.391000+00:00,16
1277,9947,18,6,2025-07-06T14:04:05.391000+00:00,15
1277,9947,18,16,2025-07-06T14:04:05.391000+00:00,14
1277,9947,18,63,2025-07-06T14:04:05.391000+00:00,13
1277,9947,27,87,2025-07-06T14:04:05.614000+00:00,18
1277,9947,27,5,2025-07-06T14:04:05.614000+00:00,17
1277,9947,27,6,2025-07-06T14:04:05.614000+00:00,16
1277,9947,27,16,2025-07-06T14:04:05.614000+00:00,15
