meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1277,9947,2025-07-06T13:19:04+00:00,,1,Other,,,,AWNINGS MAY BE USED
1277,9947,2025-07-06T13:20:01+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1277,9947,2025-07-06T13:30:01+00:00,,1,Other,,,,PIT EXIT CLOSED
1277,9947,2025-07-06T13:31:23+00:00,,1,Flag,YELLOW,Sector,13.0,YELLOW IN TRACK SECTOR 13
1277,9947,2025-07-06T13:31:24+00:00,,1,Other,,,,DRS DISABLED IN ZONE 2
1277,9947,2025-07-06T13:31:29+00:00,,1,Flag,YELLOW,Sector,7.0,YELLOW IN TRACK SECTOR 7
1277,9947,2025-07-06T13:31:30+00:00,,1,Flag,YELLOW,Sector,12.0,YELLOW IN TRACK SECTOR 12
1277,9947,2025-07-06T13:31:30+00:00,,1,Other,,,,DRS DISABLED IN ZONE 1
1277,9947,2025-07-06T13:31:43+00:00,,1,Flag,DOUBLE YELLOW,Sector,8.0,DOUBLE YELLOW IN TRACK SECTOR 8
1277,9947,2025-07-06T13:32:01+00:00,,1,Flag,YELLOW,Sector,16.0,YELLOW IN TRACK SECTOR 16
1277,9947,2025-07-06T13:32:07+00:00,,1,Flag,YELLOW,Sector,6.0,YELLOW IN TRACK SECTOR 6
1277,9947,2025-07-06T13:32:19+00:00,,1,Flag,DOUBLE YELLOW,Sector,9.0,DOUBLE YELLOW IN TRACK SECTOR 9
1277,9947,2025-07-06T13:32:27+00:00,,1,Flag,DOUBLE YELLOW,Sector,10.0,DOUBLE YELLOW IN TRACK SECTOR 10
1277,9947,2025-07-06T13:32:27+00:00,,1,Flag,YELLOW,Sector,11.0,YELLOW IN TRACK SECTOR 11
1277,9947,2025-07-06T13:32:36+00:00,,1,Flag,YELLOW,Sector,4.0,YELLOW IN TRACK SECTOR 4
1277,9947,2025-07-06T13:32:37+00:00,,1,Flag,DOUBLE YELLOW,Sector,11.0,DOUBLE YELLOW IN TRACK SECTOR 11
1277,9947,2025-07-06T13:32:52+00:00,,1,Flag,DOUBLE YELLOW,Sector,6.0,DOUBLE YELLOW IN TRACK SECTOR 6
1277,9947,2025-07-06T13:33:05+00:00,,1,Flag,DOUBLE YELLOW,Sector,7.0,DOUBLE YELLOW IN TRACK SECTOR 7
1277,9947,2025-07-06T13:33:58+00:00,,1,Flag,YELLOW,Sector,6.0,YELLOW IN TRACK SECTOR 6
1277,9947,2025-07-06T13:34:00+00:00,,1,Flag,CLEAR,Sector,4.0,CLEAR IN TRACK SECTOR 4
1277,9947,2025-07-06T13:34:04+00:00,,1,Flag,DOUBLE YELLOW,Sector,15.0,DOUBLE YELLOW IN TRACK SECTOR 15
1277,9947,2025-07-06T13:34:13+00:00,,1,Flag,CLEAR,Sector,9.0,CLEAR IN TRACK SECTOR 9
1277,9947,2025-07-06T13:34:43+00:00,,1,Flag,YELLOW,Sector,5.0,YELLOW IN TRACK SECTOR 5
1277,9947,2025-07-06T13:35:50+00:00,,1,Flag,CLEAR,Sector,7.0,CLEAR IN TRACK SECTOR 7
1277,9947,2025-07-06T13:35:51+00:00,,1,Flag,YELLOW,Sector,9.0,YELLOW IN TRACK SECTOR 9
1277,9947,2025-07-06T13:35:57+00:00,,1,Flag,CLEAR,Sector,6.0,CLEAR IN TRACK SECTOR 6
1277,9947,2025-07-06T13:36:03+00:00,,1,Flag,YELLOW,Sector,8.0,YELLOW IN TRACK SECTOR 8
1277,9947,2025-07-06T13:36:44+00:00,,1,Flag,CLEAR,Sector,8.0,CLEAR IN TRACK SECTOR 8
1277,9947,2025-07-06T13:36:55+00:00,,1,Flag,YELLOW,Sector,17.0,YELLOW IN TRACK SECTOR 17
1277,9947,2025-07-06T13:37:10+00:00,,1,Flag,CLEAR,Sector,5.0,CLEAR IN TRACK SECTOR 5
1277,9947,2025-07-06T13:37:10+00:00,,1,Other,,,,DRS ENABLED IN ZONE 1
1277,9947,2025-07-06T13:37:16+00:00,,1,Flag,CLEAR,Sector,10.0,CLEAR IN TRACK SECTOR 10
