meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1277,9947,1,30,1,1,INTERMEDIATE,0
1277,9947,1,43,1,1,HARD,0
1277,9947,1,12,1,2,INTERMEDIATE,0
1277,9947,1,5,1,3,MEDIUM,0
1277,9947,1,18,1,6,INTERMEDIATE,0
1277,9947,1,27,1,9,INTERMEDIATE,0
1277,9947,2,12,3,9,HARD,0
1277,9947,2,18,7,10,SOFT,0
1277,9947,1,63,1,10,HARD,0
1277,9947,1,16,1,10,MEDIUM,0
1277,9947,1,6,1,10,MEDIUM,0
1277,9947,1,87,1,10,HARD,0
1277,9947,1,81,1,11,INTERMEDIATE,0
1277,9947,1,4,1,11,INTERMEDIATE,0
1277,9947,1,1,1,11,INTERMEDIATE,0
1277,9947,1,44,1,11,INTERMEDIATE,0
1277,9947,1,10,1,11,INTERMEDIATE,0
1277,9947,1,14,1,11,INTERMEDIATE,0
1277,9947,1,55,1,11,INTERMEDIATE,0
1277,9947,1,22,1,11,INTERMEDIATE,0
1277,9947,1,23,1,12,INTERMEDIATE,0
1277,9947,2,6,11,17,INTERMEDIATE,0
1277,9947,1,31,1,18,INTERMEDIATE,0
1277,9947,3,12,10,20,INTERMEDIATE,0
1277,9947,4,12,21,23,INTERMEDIATE,0
1277,9947,2,14,12,37,INTERMEDIATE,0
1277,9947,2,63,11,38,INTERMEDIATE,0
1277,9947,2,44,12,41,INTERMEDIATE,0
1277,9947,3,18,11,41,INTERMEDIATE,0
1277,9947,2,1,12,41,INTERMEDIATE,0
1277,9947,2,10,12,41,INTERMEDIATE,0
1277,9947,2,55,12,41,INTERMEDIATE,0
1277,9947,2,87,11,41,INTERMEDIATE,0
1277,9947,2,22,12,41,INTERMEDIATE,0
1277,9947,2,27,10,42,INTERMEDIATE,0
1277,9947,2,16,11,42,INTERMEDIATE,0
1277,9947,2,23,13,42,INTERMEDIATE,0
1277,9947,2,31,19,42,INTERMEDIATE,0
1277,9947,2,81,12,43,INTERMEDIATE,0
1277,9947,2,4,12,44,INTERMEDIATE,0
1277,9947,3,4,45,52,MEDIUM,0
1277,9947,3,81,44,52,MEDIUM,0
1277,9947,3,22,42,51,MEDIUM,0
1277,9947,3,27,43,52,MEDIUM,0
1277,9947,3,44,42,52,SOFT,3
1277,9947,3,1,42,52,MEDIUM,0
1277,9947,3,10,42,52,MEDIUM,0
1277,9947,4,18,42,52,SOFT,0
1277,9947,3,23,43,52,MEDIUM,0
1277,9947,3,14,38,52,MEDIUM,1
1277,9947,3,63,39,52,HARD,0
1277,9947,3,87,42,52,MEDIUM,0
1277,9947,3,55,42,52,MEDIUM,0
1277,9947,3,31,43,52,MEDIUM,0
1277,9947,3,16,43,52,SOFT,3
