date,session_key,meeting_key,rainfall,wind_direction,wind_speed,pressure,air_temperature,humidity,track_temperature
2025-07-06T13:08:00.335000+00:00,9947,1277,0,174,0.7,988.6,18.0,85.0,24.2
2025-07-06T13:09:00.287000+00:00,9947,1277,0,111,0.9,988.5,18.0,83.0,24.6
2025-07-06T13:10:00.295000+00:00,9947,1277,0,61,2.2,988.6,18.1,82.0,24.6
2025-07-06T13:11:00.297000+00:00,9947,1277,0,71,3.1,988.6,18.0,81.0,24.1
2025-07-06T13:12:00.295000+00:00,9947,1277,0,28,3.0,988.5,18.0,79.0,23.9
2025-07-06T13:13:00.297000+00:00,9947,1277,0,23,0.9,988.7,17.9,82.0,24.0
2025-07-06T13:14:00.281000+00:00,9947,1277,0,248,1.9,988.6,18.0,78.0,24.2
2025-07-06T13:15:00.296000+00:00,9947,1277,0,25,1.3,988.5,18.1,79.0,25.4
2025-07-06T13:16:00.297000+00:00,9947,1277,0,310,1.3,988.6,18.3,78.0,25.9
2025-07-06T13:17:00.291000+00:00,9947,1277,0,344,1.1,988.5,18.4,78.0,26.0
2025-07-06T13:18:00.291000+00:00,9947,1277,0,210,1.2,988.6,18.4,78.0,26.0
2025-07-06T13:19:00.298000+00:00,9947,1277,0,78,1.6,988.7,18.5,77.0,24.9
2025-07-06T13:20:00.296000+00:00,9947,1277,0,63,1.9,988.6,18.5,77.0,24.6
2025-07-06T13:21:00.299000+00:00,9947,1277,0,316,1.7,988.6,18.4,78.0,24.0
2025-07-06T13:22:00.301000+00:00,9947,1277,1,82,1.2,988.7,18.3,78.0,24.0
2025-07-06T13:23:00.300000+00:00,9947,1277,1,352,2.6,988.8,18.3,78.0,23.9
2025-07-06T13:24:00.350000+00:00,9947,1277,1,319,1.0,988.6,18.3,77.0,22.6
2025-07-06T13:25:00.306000+00:00,9947,1277,1,0,1.9,988.7,18.1,78.0,22.3
2025-07-06T13:26:00.301000+00:00,9947,1277,1,6,1.0,988.7,18.1,79.0,21.8
2025-07-06T13:27:00.298000+00:00,9947,1277,1,296,1.2,988.7,18.0,79.0,21.4
2025-07-06T13:28:00.302000+00:00,9947,1277,1,18,2.0,988.6,17.8,81.0,21.4
2025-07-06T13:29:00.321000+00:00,9947,1277,1,13,1.1,988.7,17.6,81.0,21.6
2025-07-06T13:30:00.333000+00:00,9947,1277,1,15,1.0,988.8,17.6,82.0,21.7
2025-07-06T13:31:00.344000+00:00,9947,1277,1,62,0.9,988.7,17.5,83.0,21.9
2025-07-06T13:32:00.365000+00:00,9947,1277,1,94,0.7,988.8,17.5,84.0,21.9
2025-07-06T13:33:00.372000+00:00,9947,1277,1,284,1.2,988.7,17.5,85.0,23.4
2025-07-06T13:34:00.360000+00:00,9947,1277,1,69,1.1,988.8,17.4,85.0,22.3
2025-07-06T13:35:00.368000+00:00,9947,1277,1,89,1.0,988.8,17.3,85.0,22.3
2025-07-06T13:36:00.366000+00:00,9947,1277,1,52,1.7,988.7,17.3,85.0,22.8
2025-07-06T13:37:00.374000+00:00,9947,1277,1,42,1.8,988.8,17.2,86.0,22.8
2025-07-06T13:38:00.376000+00:00,9947,1277,1,72,0.5,988.8,17.2,86.0,22.2
2025-07-06T13:39:00.410000+00:00,9947,1277,0,287,0.6,988.7,17.2,87.0,22.2
2025-07-06T13:40:00.419000+00:00,9947,1277,0,52,0.8,988.7,17.3,87.0,22.8
2025-07-06T13:41:00.449000+00:00,9947,1277,0,301,1.0,988.6,17.3,87.0,24.4
2025-07-06T13:42:00.426000+00:00,9947,1277,0,154,0.7,988.7,17.4,88.0,23.9
2025-07-06T13:43:00.432000+00:00,9947,1277,0,334,0.7,988.7,17.5,87.0,23.5
2025-07-06T13:44:00.437000+00:00,9947,1277,0,318,0.8,988.6,17.4,87.0,23.4
2025-07-06T13:45:00.438000+00:00,9947,1277,0,266,0.9,988.6,17.4,85.0,23.4
2025-07-06T13:46:00.432000+00:00,9947,1277,0,350,0.7,988.7,17.2,86.0,23.6
2025-07-06T13:47:00.446000+00:00,9947,1277,0,81,1.1,988.6,17.1,85.0,24.5
2025-07-06T13:48:00.442000+00:00,9947,1277,0,70,1.3,988.6,17.2,85.0,25.9
2025-07-06T13:49:00.462000+00:00,9947,1277,0,102,1.0,988.7,17.1,85.0,26.4
2025-07-06T13:50:00.433000+00:00,9947,1277,0,9,1.4,988.7,17.1,84.0,24.5
2025-07-06T13:51:00.440000+00:00,9947,1277,0,313,0.6,988.6,17.1,84.0,24.5
2025-07-06T13:52:00.446000+00:00,9947,1277,0,238,1.2,988.6,17.3,83.0,25.2
2025-07-06T13:53:00.449000+00:00,9947,1277,0,213,0.6,988.6,17.3,83.0,24.2
2025-07-06T13:54:00.447000+00:00,9947,1277,0,261,0.8,988.6,17.4,84.0,24.3
2025-07-06T13:55:00.440000+00:00,9947,1277,0,301,0.8,988.7,17.5,83.0,24.7
2025-07-06T13:56:00.438000+00:00,9947,1277,0,148,0.8,988.7,17.7,83.0,26.1
2025-07-06T13:57:00.450000+00:00,9947,1277,0,7,0.9,988.7,17.7,84.0,26.0
2025-07-06T13:58:00.445000+00:00,9947,1277,0,167,0.7,988.7,17.7,83.0,26.0
2025-07-06T13:59:00.448000+00:00,9947,1277,0,272,1.3,988.7,17.7,82.0,26.5
2025-07-06T14:00:00.447000+00:00,9947,1277,0,205,0.6,988.6,18.0,84.0,26.8
2025-07-06T14:01:00.453000+00:00,9947,1277,0,285,1.0,988.7,17.9,82.0,27.7
2025-07-06T14:02:00.450000+00:00,9947,1277,0,89,1.1,988.7,18.1,83.0,29.6
2025-07-06T14:03:00.456000+00:00,9947,1277,0,93,1.3,988.7,18.2,82.0,26.3
2025-07-06T14:04:00.459000+00:00,9947,1277,0,0,0.9,988.7,18.3,80.0,24.1
2025-07-06T14:05:00.469000+00:00,9947,1277,0,260,1.2,988.7,18.3,80.0,24.1
2025-07-06T14:06:00.477000+00:00,9947,1277,0,8,1.0,988.6,18.5,82.0,24.5
2025-07-06T14:07:00.489000+00:00,9947,1277,0,289,1.1,988.6,18.5,78.0,24.5
2025-07-06T14:08:00.492000+00:00,9947,1277,0,66,1.5,988.6,18.4,80.0,24.5
2025-07-06T14:09:00.493000+00:00,9947,1277,0,121,1.2,988.7,18.5,80.0,24.8
2025-07-06T14:10:00.511000+00:00,9947,1277,0,332,1.1,988.7,18.6,78.0,24.8
2025-07-06T14:11:00.498000+00:00,9947,1277,0,0,1.3,988.7,18.7,75.0,24.8
2025-07-06T14:12:00.523000+00:00,9947,1277,0,313,0.9,988.7,18.6,75.0,24.9
2025-07-06T14:13:00.546000+00:00,9947,1277,0,156,0.7,988.7,18.6,75.0,24.9
2025-07-06T14:14:00.544000+00:00,9947,1277,0,93,1.2,988.8,18.8,77.0,25.2
2025-07-06T14:15:00.548000+00:00,9947,1277,0,274,1.5,988.7,19.1,74.0,25.0
2025-07-06T14:16:00.558000+00:00,9947,1277,0,82,1.3,988.7,19.1,75.0,24.4
2025-07-06T14:17:00.557000+00:00,9947,1277,0,16,2.6,988.6,19.1,73.0,24.0
2025-07-06T14:18:00.560000+00:00,9947,1277,0,186,1.1,988.7,19.2,74.0,24.0
2025-07-06T14:19:00.556000+00:00,9947,1277,0,40,1.0,988.6,19.2,75.0,24.2
