meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1266,9928,81,1,1,266.0,284.0
1266,9928,4,2,2,250.0,275.0
1266,9928,1,3,3,185.0,187.0
1266,9928,63,4,4,157.0,172.0
1266,9928,16,5,5,139.0,151.0
1266,9928,44,6,6,109.0,109.0
1266,9928,12,7,7,63.0,64.0
1266,9928,23,8,8,54.0,54.0
1266,9928,27,9,9,37.0,37.0
1266,9928,31,10,10,27.0,27.0
1266,9928,14,15,11,16.0,26.0
1266,9928,18,13,12,20.0,26.0
1266,9928,6,11,13,22.0,22.0
1266,9928,10,12,14,20.0,20.0
1266,9928,30,14,15,16.0,20.0
1266,9928,55,16,16,16.0,16.0
1266,9928,5,19,17,6.0,14.0
1266,9928,22,17,18,10.0,10.0
1266,9928,87,18,19,8.0,8.0
1266,9928,43,20,20,0.0,0.0
1266,9928,7,21,21,0.0,0.0
