meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1266,9928,16,1,2025-08-03T13:03:06.039000+00:00,34.26,29.783,23.702,271.0,234.0,False,87.745,"[2048, 2049, 2051, 2051, 2049, 2049, 2049]","[2051, 2051, 2051, 2051, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051]",242.0
1266,9928,81,1,2025-08-03T13:03:06.039000+00:00,34.815,30.32,23.249,265.0,238.0,False,88.384,"[2048, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2049, 2051]",243.0
1266,9928,4,1,2025-08-03T13:03:06.039000+00:00,35.879,31.396,23.329,248.0,236.0,False,90.604,"[2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051]",243.0
1266,9928,5,1,2025-08-03T13:03:06.039000+00:00,36.087,31.697,23.417,255.0,235.0,False,91.201,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049]",264.0
1266,9928,63,1,2025-08-03T13:03:06.039000+00:00,35.264,30.379,23.283,268.0,238.0,False,88.926,"[2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]","[2051, 2049, 2049, 2049, 2051, 2051]",249.0
1266,9928,1,1,2025-08-03T13:03:06.039000+00:00,36.737,32.379,23.649,260.0,229.0,False,92.765,"[2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",252.0
1266,9928,30,1,2025-08-03T13:03:06.039000+00:00,36.56,32.199,23.587,247.0,235.0,False,92.346,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",262.0
1266,9928,14,1,2025-08-03T13:03:06.039000+00:00,35.455,31.021,23.419,257.0,235.0,False,89.895,"[2048, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",253.0
1266,9928,6,1,2025-08-03T13:03:06.039000+00:00,37.275,32.391,24.18,246.0,233.0,False,93.846,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",258.0
1266,9928,18,1,2025-08-03T13:03:06.039000+00:00,36.4,31.903,23.566,250.0,234.0,False,91.869,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",247.0
1266,9928,87,1,2025-08-03T13:03:06.039000+00:00,37.098,32.316,23.869,265.0,229.0,False,93.283,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",269.0
1266,9928,44,1,2025-08-03T13:03:06.039000+00:00,38.091,33.267,24.035,265.0,231.0,False,95.393,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",267.0
1266,9928,12,1,2025-08-03T13:03:06.039000+00:00,37.728,33.158,23.928,241.0,233.0,False,94.814,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",271.0
1266,9928,43,1,2025-08-03T13:03:06.039000+00:00,38.879,33.886,24.612,266.0,230.0,False,97.377,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",267.0
1266,9928,55,1,2025-08-03T13:03:06.039000+00:00,37.496,32.795,24.023,250.0,232.0,False,94.314,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",271.0
1266,9928,10,1,2025-08-03T13:03:06.039000+00:00,39.09,34.097,24.456,225.0,220.0,False,97.643,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",268.0
1266,9928,31,1,2025-08-03T13:03:06.039000+00:00,38.259,33.49,24.019,246.0,232.0,False,95.768,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",279.0
1266,9928,27,1,2025-08-03T13:03:06.039000+00:00,38.639,33.842,24.271,231.0,231.0,False,96.752,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",267.0
1266,9928,23,1,2025-08-03T13:03:06.039000+00:00,38.425,33.707,24.261,234.0,225.0,False,96.393,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",279.0
1266,9928,22,1,2025-08-03T13:03:06.039000+00:00,41.765,31.87,24.586,252.0,233.0,False,98.221,"[None, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",
1266,9928,16,2,2025-08-03T13:04:33.783000+00:00,30.16,29.384,23.285,272.0,237.0,False,82.829,"[2049, 2049, 2049, 2048, 2049, 2048, 2049]","[2051, 2051, 2048, 2051, 2051, 2049, 2051, 2051]","[2049, 2051, 2049, 2049, 2049, 2049]",281.0
