meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1266,9928,63,4,2025-08-03T13:03:17.236000+00:00,3
1266,9928,14,4,2025-08-03T13:03:17.293000+00:00,4
1266,9928,5,18,2025-08-03T13:03:17.621000+00:00,6
1266,9928,30,1,2025-08-03T13:03:18.169000+00:00,8
1266,9928,30,18,2025-08-03T13:03:18.169000+00:00,7
1266,9928,87,6,2025-08-03T13:03:18.525000+00:00,10
1266,9928,87,1,2025-08-03T13:03:18.525000+00:00,9
1266,9928,55,44,2025-08-03T13:03:18.632000+00:00,12
1266,9928,55,6,2025-08-03T13:03:18.632000+00:00,11
1266,9928,31,10,2025-08-03T13:03:19.046000+00:00,16
1266,9928,23,27,2025-08-03T13:03:19.125000+00:00,18
1266,9928,23,10,2025-08-03T13:03:19.125000+00:00,17
1266,9928,27,10,2025-08-03T13:03:19.218000+00:00,18
1266,9928,18,30,2025-08-03T13:03:25.121000+00:00,7
1266,9928,6,55,2025-08-03T13:03:25.980000+00:00,11
1266,9928,12,43,2025-08-03T13:03:26.480000+00:00,14
1266,9928,27,23,2025-08-03T13:03:26.746000+00:00,17
1266,9928,27,31,2025-08-03T13:03:26.746000+00:00,16
1266,9928,23,31,2025-08-03T13:03:26.746000+00:00,17
1266,9928,1,87,2025-08-03T13:03:31.903000+00:00,9
1266,9928,31,23,2025-08-03T13:03:33.433000+00:00,17
1266,9928,12,44,2025-08-03T13:03:37.590000+00:00,13
1266,9928,23,27,2025-08-03T13:03:38.177000+00:00,17
1266,9928,23,43,2025-08-03T13:03:38.177000+00:00,16
1266,9928,27,43,2025-08-03T13:03:38.212000+00:00,17
1266,9928,55,12,2025-08-03T13:03:41.180000+00:00,12
1266,9928,23,27,2025-08-03T13:03:41.959000+00:00,16
1266,9928,23,31,2025-08-03T13:04:02.539000+00:00,15
1266,9928,31,23,2025-08-03T13:04:11.625000+00:00,15
1266,9928,1,30,2025-08-03T13:05:25.147000+00:00,8
1266,9928,4,14,2025-08-03T13:06:03.860000+00:00,4
