date,session_key,meeting_key,stop_duration,pit_duration,lap_number,lane_duration,driver_number
2025-08-03T13:10:42.523000+00:00,9928,1266,,21.5,5,21.5,27
2025-08-03T13:22:01.414000+00:00,9928,1266,11.1,30.248,13,30.248,43
2025-08-03T13:23:14.814000+00:00,9928,1266,2.6,21.345,14,21.345,23
2025-08-03T13:23:15.143000+00:00,9928,1266,3.1,22.444,14,22.444,31
2025-08-03T13:24:35.579000+00:00,9928,1266,2.7,21.67,15,21.67,55
2025-08-03T13:27:14.953000+00:00,9928,1266,2.3,21.433,17,21.433,1
2025-08-03T13:28:15.303000+00:00,9928,1266,2.1,21.145,18,21.145,81
2025-08-03T13:29:34.867000+00:00,9928,1266,2.0,21.13,19,21.13,16
2025-08-03T13:29:41.506000+00:00,9928,1266,2.9,21.703,19,21.703,63
2025-08-03T13:31:41.726000+00:00,9928,1266,2.1,21.295,20,21.295,22
2025-08-03T13:32:58.761000+00:00,9928,1266,3.2,22.328,21,22.328,12
2025-08-03T13:45:32.129000+00:00,9928,1266,2.8,21.754,30,21.754,87
2025-08-03T13:46:07.537000+00:00,9928,1266,1.9,20.94,31,20.94,4
2025-08-03T13:48:23.595000+00:00,9928,1266,2.6,21.699,32,21.699,10
2025-08-03T13:49:42.725000+00:00,9928,1266,2.2,21.096,33,21.096,6
2025-08-03T13:52:42.991000+00:00,9928,1266,7.2,26.28,35,26.28,43
2025-08-03T13:53:38.463000+00:00,9928,1266,2.4,21.464,36,21.464,18
2025-08-03T13:55:26.296000+00:00,9928,1266,2.4,21.541,37,21.541,22
2025-08-03T13:56:46.767000+00:00,9928,1266,3.8,22.726,38,22.726,23
2025-08-03T13:57:35.927000+00:00,9928,1266,2.9,22.204,39,22.204,14
2025-08-03T13:58:22.592000+00:00,9928,1266,2.0,21.136,40,21.136,16
2025-08-03T13:59:03.655000+00:00,9928,1266,2.6,21.773,40,21.773,5
2025-08-03T13:59:09.858000+00:00,9928,1266,3.0,22.136,40,22.136,30
2025-08-03T14:00:56.554000+00:00,9928,1266,,28.7,41,28.7,27
2025-08-03T14:02:07.096000+00:00,9928,1266,2.3,21.15,42,21.15,44
2025-08-03T14:02:38.276000+00:00,9928,1266,2.9,21.45,43,21.45,63
2025-08-03T14:05:10.901000+00:00,9928,1266,1.9,20.94,45,20.94,81
2025-08-03T14:10:05.385000+00:00,9928,1266,2.2,21.258,48,21.258,1
2025-08-03T14:14:40.796000+00:00,9928,1266,2.6,21.423,51,21.423,55
