meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1266,9928,2025-08-03T12:30:00+00:00,,1,Other,,,,PIT EXIT CLOSED
1266,9928,2025-08-03T12:31:37+00:00,,1,Flag,YELLOW,Sector,3.0,YELLOW IN TRACK SECTOR 3
1266,9928,2025-08-03T12:31:38+00:00,,1,Other,,,,DRS DISABLED IN ZONE 1
1266,9928,2025-08-03T12:31:39+00:00,,1,Other,,,,DRS DISABLED IN ZONE 2
1266,9928,2025-08-03T12:32:28+00:00,,1,Other,,,,DRS ENABLED IN ZONE 2
1266,9928,2025-08-03T12:32:28+00:00,,1,Flag,CLEAR,Sector,3.0,CLEAR IN TRACK SECTOR 3
1266,9928,2025-08-03T12:43:44+00:00,,1,Other,,,,PINK HEAD PADDING MATERIAL MUST BE USED
1266,9928,2025-08-03T12:45:14+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 20 %
1266,9928,2025-08-03T12:47:21+00:00,,1,Flag,YELLOW,Sector,3.0,YELLOW IN TRACK SECTOR 3
1266,9928,2025-08-03T12:47:22+00:00,,1,Other,,,,DRS DISABLED IN ZONE 2
1266,9928,2025-08-03T12:47:46+00:00,,1,Other,,,,DRS ENABLED IN ZONE 2
1266,9928,2025-08-03T12:47:46+00:00,,1,Flag,CLEAR,Sector,3.0,CLEAR IN TRACK SECTOR 3
1266,9928,2025-08-03T12:57:05+00:00,,1,Drs,,,,DRS DISABLED
1266,9928,2025-08-03T13:03:06+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1266,9928,2025-08-03T13:04:34+00:00,,2,Drs,,,,DRS ENABLED
1266,9928,2025-08-03T13:06:37+00:00,,3,Other,,,,CAR 10 (GAS) TIME 1:25.330 DELETED - TRACK LIMITS AT TURN 1 LAP 2 15:04:55
1266,9928,2025-08-03T13:08:27+00:00,,4,Other,,,,INCIDENT INVOLVING CAR 5 (BOR) NOTED - FALSE START - MOVING BEFORE SIGNAL
