meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1260,9987,81,1,1,131.0,146.0
1260,9987,4,2,2,115.0,133.0
1260,9987,1,3,3,99.0,124.0
1260,9987,63,4,4,93.0,99.0
1260,9987,16,5,5,53.0,61.0
1260,9987,44,7,6,41.0,53.0
1260,9987,12,6,7,48.0,48.0
1260,9987,23,8,8,30.0,40.0
1260,9987,31,9,9,14.0,14.0
1260,9987,18,10,10,14.0,14.0
1260,9987,55,13,11,7.0,11.0
1260,9987,22,11,12,9.0,10.0
1260,9987,10,12,13,7.0,7.0
1260,9987,6,16,14,5.0,7.0
1260,9987,27,14,15,6.0,6.0
1260,9987,87,15,16,6.0,6.0
1260,9987,14,17,17,0.0,0.0
1260,9987,30,18,18,0.0,0.0
1260,9987,7,19,19,0.0,0.0
1260,9987,5,20,20,0.0,0.0
1260,9987,43,21,21,0.0,0.0
