meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1260,9987,63,1,2025-05-18T13:03:43.622000+00:00,2
1260,9987,14,4,2025-05-18T13:03:43.747000+00:00,4
1260,9987,10,6,2025-05-18T13:03:44.322000+00:00,9
1260,9987,16,6,2025-05-18T13:03:44.423000+00:00,10
1260,9987,44,6,2025-05-18T13:03:44.551000+00:00,11
1260,9987,12,6,2025-05-18T13:03:44.742000+00:00,12
1260,9987,6,12,2025-05-18T13:03:44.984000+00:00,12
1260,9987,6,44,2025-05-18T13:03:44.984000+00:00,11
1260,9987,43,30,2025-05-18T13:03:45.032000+00:00,15
1260,9987,43,5,2025-05-18T13:03:45.032000+00:00,14
1260,9987,27,30,2025-05-18T13:03:45.153000+00:00,16
1260,9987,27,5,2025-05-18T13:03:45.153000+00:00,15
1260,9987,5,27,2025-05-18T13:03:45.296000+00:00,15
1260,9987,5,43,2025-05-18T13:03:45.296000+00:00,14
1260,9987,30,27,2025-05-18T13:03:45.311000+00:00,16
1260,9987,30,43,2025-05-18T13:03:45.311000+00:00,15
1260,9987,1,63,2025-05-18T13:03:46.298000+00:00,2
1260,9987,4,14,2025-05-18T13:03:46.967000+00:00,4
1260,9987,18,23,2025-05-18T13:03:47.566000+00:00,7
1260,9987,44,16,2025-05-18T13:03:48.269000+00:00,11
1260,9987,16,44,2025-05-18T13:03:48.378000+00:00,11
1260,9987,12,5,2025-05-18T13:03:48.566000+00:00,13
1260,9987,12,44,2025-05-18T13:03:48.566000+00:00,12
1260,9987,27,43,2025-05-18T13:03:48.909000+00:00,16
1260,9987,27,30,2025-05-18T13:03:48.909000+00:00,15
1260,9987,31,43,2025-05-18T13:03:49.066000+00:00,17
1260,9987,31,30,2025-05-18T13:03:49.066000+00:00,16
1260,9987,30,31,2025-05-18T13:03:49.144000+00:00,16
1260,9987,30,27,2025-05-18T13:03:49.144000+00:00,15
1260,9987,43,31,2025-05-18T13:03:49.222000+00:00,17
1260,9987,43,27,2025-05-18T13:03:49.222000+00:00,16
1260,9987,1,81,2025-05-18T13:03:51.831000+00:00,1
1260,9987,23,18,2025-05-18T13:03:53.050000+00:00,7
1260,9987,10,6,2025-05-18T13:03:53.675000+00:00,9
1260,9987,31,27,2025-05-18T13:03:54.862000+00:00,17
