date,session_key,driver_number,lane_duration,stop_duration,pit_duration,meeting_key,lap_number
2025-05-18T13:05:35.954000+00:00,9987,31,30.506,2.6,30.506,1260,1
2025-05-18T13:16:32.985000+00:00,9987,10,31.488,3.7,31.488,1260,9
2025-05-18T13:17:48.791000+00:00,9987,16,29.634,2.0,29.634,1260,10
2025-05-18T13:17:54.304000+00:00,9987,30,29.695,2.2,29.695,1260,10
2025-05-18T13:19:09.863000+00:00,9987,63,29.784,2.4,29.784,1260,11
2025-05-18T13:19:11.457000+00:00,9987,55,30.08,3.4,30.08,1260,11
2025-05-18T13:20:32.826000+00:00,9987,14,30.163,2.6,30.163,1260,12
2025-05-18T13:20:40.339000+00:00,9987,5,30.906,3.4,30.906,1260,12
2025-05-18T13:21:45.574000+00:00,9987,81,30.973,3.6,30.973,1260,13
2025-05-18T13:23:21.071000+00:00,9987,18,31.218,3.6,31.218,1260,14
2025-05-18T13:34:31.375000+00:00,9987,43,30.317,2.8,30.317,1260,22
2025-05-18T13:42:09.669000+00:00,9987,4,29.513,2.1,29.513,1260,28
2025-05-18T13:43:28.454000+00:00,9987,1,29.991,2.3,29.991,1260,29
2025-05-18T13:44:04.660000+00:00,9987,23,30.471,2.9,30.471,1260,29
2025-05-18T13:44:16.270000+00:00,9987,6,30.123,2.5,30.123,1260,29
2025-05-18T13:44:16.613000+00:00,9987,12,30.051,2.5,30.051,1260,29
2025-05-18T13:44:16.991000+00:00,9987,44,29.949,2.3,29.949,1260,29
2025-05-18T13:44:24.145000+00:00,9987,16,31.898,2.8,31.898,1260,29
2025-05-18T13:44:27.364000+00:00,9987,27,30.184,2.6,30.184,1260,29
2025-05-18T13:44:30.255000+00:00,9987,63,30.754,2.7,30.754,1260,29
2025-05-18T13:44:30.614000+00:00,9987,87,31.414,2.9,31.414,1260,29
2025-05-18T13:44:36.052000+00:00,9987,22,29.807,2.2,29.807,1260,29
2025-05-18T13:44:37.333000+00:00,9987,55,30.635,3.0,30.635,1260,29
2025-05-18T13:44:52.195000+00:00,9987,10,32.003,3.2,32.003,1260,29
2025-05-18T13:44:53.898000+00:00,9987,30,30.291,2.3,30.291,1260,29
2025-05-18T13:44:56.898000+00:00,9987,5,30.605,3.1,30.605,1260,29
2025-05-18T13:46:06.139000+00:00,9987,81,30.609,3.3,30.609,1260,30
2025-05-18T13:48:38.350000+00:00,9987,87,56.757,29.0,56.757,1260,31
2025-05-18T14:07:31.467000+00:00,9987,1,29.657,2.1,29.657,1260,46
2025-05-18T14:08:00.101000+00:00,9987,4,31.675,4.4,31.675,1260,46
2025-05-18T14:08:32.132000+00:00,9987,44,29.95,2.1,29.95,1260,46
2025-05-18T14:08:41.836000+00:00,9987,6,30.096,2.6,30.096,1260,46
2025-05-18T14:09:17.721000+00:00,9987,14,30.886,3.1,30.886,1260,46
2025-05-18T14:09:24.776000+00:00,9987,18,34.496,4.1,34.496,1260,46
2025-05-18T14:09:28.081000+00:00,9987,43,31.107,3.2,31.107,1260,46
2025-05-18T14:09:30.819000+00:00,9987,5,29.917,2.3,29.917,1260,46
2025-05-18T14:10:16.509000+00:00,9987,23,29.786,2.5,29.786,1260,47
