position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,1,63,25.0,False,False,False,5493.199,0.0,1260,9987
2.0,4,63,18.0,False,False,False,5499.308,6.109,1260,9987
3.0,81,63,15.0,False,False,False,5506.155,12.956,1260,9987
4.0,44,63,12.0,False,False,False,5507.555,14.356,1260,9987
5.0,23,63,10.0,False,False,False,5511.144,17.945,1260,9987
6.0,16,63,8.0,False,False,False,5513.973,20.774,1260,9987
7.0,63,63,6.0,False,False,False,5515.233,22.034,1260,9987
8.0,55,63,4.0,False,False,False,5516.097,22.898,1260,9987
9.0,6,63,2.0,False,False,False,5516.785,23.586,1260,9987
10.0,22,63,1.0,False,False,False,5519.645,26.446,1260,9987
11.0,14,63,0.0,False,False,False,5520.449,27.25,1260,9987
12.0,27,63,0.0,False,False,False,5523.495,30.296,1260,9987
13.0,10,63,0.0,False,False,False,5524.623,31.424,1260,9987
14.0,30,63,0.0,False,False,False,5525.71,32.511,1260,9987
15.0,18,63,0.0,False,False,False,5526.192,32.993,1260,9987
16.0,43,63,0.0,False,False,False,5526.61,33.411,1260,9987
17.0,87,63,0.0,False,False,False,5527.007,33.808,1260,9987
18.0,5,63,0.0,False,False,False,5531.771,38.572,1260,9987
,12,44,0.0,True,False,False,,,1260,9987
,31,27,0.0,True,False,False,,,1260,9987
