meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1260,9987,1,31,1,1,MEDIUM,0
1260,9987,1,10,1,9,MEDIUM,0
1260,9987,1,16,1,10,MEDIUM,0
1260,9987,1,30,1,10,MEDIUM,0
1260,9987,1,63,1,11,MEDIUM,3
1260,9987,1,55,1,11,MEDIUM,0
1260,9987,1,14,1,12,MEDIUM,3
1260,9987,1,5,1,12,MEDIUM,0
1260,9987,1,81,1,13,MEDIUM,0
1260,9987,1,18,1,14,MEDIUM,3
1260,9987,1,43,1,22,MEDIUM,0
1260,9987,2,31,2,27,HARD,0
1260,9987,1,4,1,28,MEDIUM,0
1260,9987,1,1,1,29,MEDIUM,0
1260,9987,1,23,1,29,MEDIUM,0
1260,9987,1,6,1,29,MEDIUM,0
1260,9987,1,12,1,29,HARD,0
1260,9987,1,44,1,29,HARD,0
1260,9987,2,16,11,29,HARD,0
1260,9987,1,27,1,29,HARD,0
1260,9987,1,87,1,29,HARD,0
1260,9987,2,63,12,29,HARD,0
1260,9987,1,22,1,29,HARD,0
1260,9987,2,55,12,29,HARD,0
1260,9987,2,10,10,29,HARD,0
1260,9987,2,30,11,29,HARD,0
1260,9987,2,5,13,29,HARD,0
1260,9987,2,81,14,30,HARD,0
1260,9987,2,87,30,31,MEDIUM,0
1260,9987,2,12,30,44,MEDIUM,0
1260,9987,2,1,30,46,HARD,0
1260,9987,2,4,29,46,HARD,0
1260,9987,2,44,30,46,MEDIUM,0
1260,9987,2,6,30,46,HARD,0
1260,9987,2,14,13,46,HARD,1
1260,9987,2,18,15,46,HARD,1
1260,9987,2,43,23,46,HARD,0
1260,9987,3,5,30,46,HARD,0
1260,9987,2,23,30,47,HARD,0
1260,9987,3,1,47,63,HARD,0
1260,9987,3,4,47,63,HARD,1
1260,9987,3,81,31,63,HARD,0
1260,9987,3,44,47,63,HARD,0
1260,9987,3,23,48,63,HARD,0
1260,9987,3,16,30,63,HARD,0
1260,9987,3,63,30,63,HARD,0
1260,9987,3,55,30,63,HARD,0
1260,9987,3,6,47,63,HARD,0
1260,9987,2,22,30,63,MEDIUM,0
1260,9987,3,14,47,63,MEDIUM,4
1260,9987,2,27,30,63,MEDIUM,0
1260,9987,3,10,30,63,HARD,0
1260,9987,3,30,30,63,HARD,0
1260,9987,3,18,47,63,MEDIUM,6
1260,9987,3,43,47,63,HARD,0
1260,9987,3,87,32,63,HARD,0
1260,9987,4,5,47,63,MEDIUM,12
